Time,H2O_ppm,Relative_Uncertainty,W
0.0004,159.61126,0.05,0.040291148
0.000401,71.32231,0.05,0.040291148
0.000402,143.53206,0.05,0.040291148
0.000403,159.61126,0.05,0.040291148
0.000404,151.57696,0.05,0.040291148
0.000405,111.41762,0.05,0.040291148
0.000406,159.61126,0.05,0.040291148
0.000407,167.64813,0.05,0.040291148
0.000408,167.64813,0.05,0.040291148
0.000409,135.50289,0.05,0.040291148
0.00041,119.4391,0.05,0.040291148
0.000411,111.41762,0.05,0.040291148
0.000412,151.57696,0.05,0.040291148
0.000413,191.78735,0.05,0.040291148
0.000414,167.64813,0.05,0.040291148
0.000415,199.8477,0.05,0.040291148
0.000416,191.78735,0.05,0.040291148
0.000417,175.70075,0.05,0.040291148
0.000418,175.70075,0.05,0.040291148
0.000419,191.78735,0.05,0.040291148
0.00042,199.8477,0.05,0.040291148
0.000421,127.46313,0.05,0.040291148
0.000422,183.74276,0.05,0.040291148
0.000423,167.64813,0.05,0.040291148
0.000424,183.74276,0.05,0.040291148
0.000425,183.74276,0.05,0.040291148
0.000426,191.78735,0.05,0.040291148
0.000427,175.70075,0.05,0.040291148
0.000428,167.64813,0.05,0.040291148
0.000429,175.70075,0.05,0.040291148
0.00043,215.94976,0.05,0.040291148
0.000431,199.8477,0.05,0.040291148
0.000432,232.07535,0.05,0.040291148
0.000433,207.89744,0.05,0.040291148
0.000434,240.13542,0.05,0.040291148
0.000435,240.13542,0.05,0.040291148
0.000436,224.01787,0.05,0.040291148
0.000437,256.27653,0.05,0.040291148
0.000438,232.07535,0.05,0.040291148
0.000439,248.21129,0.05,0.040291148
0.00044,248.21129,0.05,0.040291148
0.000441,256.27653,0.05,0.040291148
0.000442,272.42801,0.05,0.040291148
0.000443,288.58987,0.05,0.040291148
0.000444,224.01787,0.05,0.040291148
0.000445,264.34436,0.05,0.040291148
0.000446,288.58987,0.05,0.040291148
0.000447,280.50102,0.05,0.040291148
0.000448,288.58987,0.05,0.040291148
0.000449,312.84553,0.05,0.040291148
0.00045,312.84553,0.05,0.040291148
0.000451,256.27653,0.05,0.040291148
0.000452,296.66807,0.05,0.040291148
0.000453,296.66807,0.05,0.040291148
0.000454,304.74887,0.05,0.040291148
0.000455,312.84553,0.05,0.040291148
0.000456,288.58987,0.05,0.040291148
0.000457,280.50102,0.05,0.040291148
0.000458,320.93153,0.05,0.040291148
0.000459,329.02013,0.05,0.040291148
0.00046,304.74887,0.05,0.040291148
0.000461,320.93153,0.05,0.040291148
0.000462,288.58987,0.05,0.040291148
0.000463,304.74887,0.05,0.040291148
0.000464,320.93153,0.05,0.040291148
0.000465,353.31484,0.05,0.040291148
0.000466,345.21842,0.05,0.040291148
0.000467,377.63304,0.05,0.040291148
0.000468,361.42715,0.05,0.040291148
0.000469,369.52879,0.05,0.040291148
0.00047,385.7532,0.05,0.040291148
0.000471,353.31484,0.05,0.040291148
0.000472,385.7532,0.05,0.040291148
0.000473,385.7532,0.05,0.040291148
0.000474,418.22015,0.05,0.040291148
0.000475,361.42715,0.05,0.040291148
0.000476,385.7532,0.05,0.040291148
0.000477,434.47602,0.05,0.040291148
0.000478,410.10281,0.05,0.040291148
0.000479,418.22015,0.05,0.040291148
0.00048,401.97479,0.05,0.040291148
0.000481,426.34012,0.05,0.040291148
0.000482,401.97479,0.05,0.040291148
0.000483,434.47602,0.05,0.040291148
0.000484,426.34012,0.05,0.040291148
0.000485,442.60124,0.05,0.040291148
0.000486,442.60124,0.05,0.040291148
0.000487,475.15506,0.05,0.040291148
0.000488,442.60124,0.05,0.040291148
0.000489,458.87288,0.05,0.040291148
0.00049,450.74241,0.05,0.040291148
0.000491,467.00599,0.05,0.040291148
0.000492,499.59144,0.05,0.040291148
0.000493,499.59144,0.05,0.040291148
0.000494,507.73773,0.05,0.040291148
0.000495,499.59144,0.05,0.040291148
0.000496,467.00599,0.05,0.040291148
0.000497,524.05159,0.05,0.040291148
0.000498,507.73773,0.05,0.040291148
0.000499,524.05159,0.05,0.040291148
0.0005,532.20581,0.05,0.040291148
0.000501,515.88666,0.05,0.040291148
0.000502,524.05159,0.05,0.040291148
0.000503,532.20581,0.05,0.040291148
0.000504,556.69772,0.05,0.040291148
0.000505,581.21351,0.05,0.040291148
0.000506,573.04339,0.05,0.040291148
0.000507,573.04339,0.05,0.040291148
0.000508,548.53556,0.05,0.040291148
0.000509,564.86253,0.05,0.040291148
0.00051,556.69772,0.05,0.040291148
0.000511,605.75322,0.05,0.040291148
0.000512,613.9474,0.05,0.040291148
0.000513,573.04339,0.05,0.040291148
0.000514,638.51909,0.05,0.040291148
0.000515,630.31691,0.05,0.040291148
0.000516,622.13082,0.05,0.040291148
0.000517,638.51909,0.05,0.040291148
0.000518,663.11482,0.05,0.040291148
0.000519,646.71052,0.05,0.040291148
0.00052,638.51909,0.05,0.040291148
0.000521,695.94212,0.05,0.040291148
0.000522,679.51639,0.05,0.040291148
0.000523,679.51639,0.05,0.040291148
0.000524,654.90462,0.05,0.040291148
0.000525,695.94212,0.05,0.040291148
0.000526,695.94212,0.05,0.040291148
0.000527,695.94212,0.05,0.040291148
0.000528,695.94212,0.05,0.040291148
0.000529,704.15227,0.05,0.040291148
0.00053,671.31427,0.05,0.040291148
0.000531,704.15227,0.05,0.040291148
0.000532,720.59411,0.05,0.040291148
0.000533,728.81232,0.05,0.040291148
0.000534,745.27029,0.05,0.040291148
0.000535,778.21858,0.05,0.040291148
0.000536,761.73904,0.05,0.040291148
0.000537,745.27029,0.05,0.040291148
0.000538,737.0467,0.05,0.040291148
0.000539,769.97071,0.05,0.040291148
0.00054,819.44447,0.05,0.040291148
0.000541,761.73904,0.05,0.040291148
0.000542,778.21858,0.05,0.040291148
0.000543,769.97071,0.05,0.040291148
0.000544,794.69542,0.05,0.040291148
0.000545,835.96188,0.05,0.040291148
0.000546,852.49016,0.05,0.040291148
0.000547,819.44447,0.05,0.040291148
0.000548,835.96188,0.05,0.040291148
0.000549,819.44447,0.05,0.040291148
0.00055,827.70858,0.05,0.040291148
0.000551,885.56577,0.05,0.040291148
0.000552,852.49016,0.05,0.040291148
0.000553,860.7516,0.05,0.040291148
0.000554,885.56577,0.05,0.040291148
0.000555,877.29618,0.05,0.040291148
0.000556,877.29618,0.05,0.040291148
0.000557,910.40446,0.05,0.040291148
0.000558,910.40446,0.05,0.040291148
0.000559,885.56577,0.05,0.040291148
0.00056,918.69853,0.05,0.040291148
0.000561,918.69853,0.05,0.040291148
0.000562,943.56999,0.05,0.040291148
0.000563,926.98176,0.05,0.040291148
0.000564,926.98176,0.05,0.040291148
0.000565,993.38682,0.05,0.040291148
0.000566,968.46607,0.05,0.040291148
0.000567,968.46607,0.05,0.040291148
0.000568,976.76571,0.05,0.040291148
0.000569,1018.3323,0.05,0.040291148
0.00057,985.06808,0.05,0.040291148
0.000571,993.38682,0.05,0.040291148
0.000572,1034.98092,0.05,0.040291148
0.000573,1026.64841,0.05,0.040291148
0.000574,1043.30255,0.05,0.040291148
0.000575,1010.00531,0.05,0.040291148
0.000576,1018.3323,0.05,0.040291148
0.000577,1076.63028,0.05,0.040291148
0.000578,993.38682,0.05,0.040291148
0.000579,1034.98092,0.05,0.040291148
0.00058,1076.63028,0.05,0.040291148
0.000581,1068.29762,0.05,0.040291148
0.000582,1076.63028,0.05,0.040291148
0.000583,1126.71168,0.05,0.040291148
