Time,H2O_ppm,Relative_Uncertainty,W
0.00202,10.48556,0.05,0.013575634
0.002022,29.40215,0.05,0.013575634
0.002025,1.04434,0.05,0.013575634
0.002026,1.04434,0.05,0.013575634
0.002027,19.94074,0.05,0.013575634
0.002028,5.76418,0.05,0.013575634
0.002029,1.04434,0.05,0.013575634
0.00203,15.21625,0.05,0.013575634
0.002031,10.48556,0.05,0.013575634
0.002032,1.04434,0.05,0.013575634
0.002033,1.04434,0.05,0.013575634
0.002036,5.76418,0.05,0.013575634
0.002037,1.04434,0.05,0.013575634
0.002038,15.21625,0.05,0.013575634
0.002039,1.04434,0.05,0.013575634
0.002041,1.04434,0.05,0.013575634
0.002042,15.21625,0.05,0.013575634
0.002046,15.21625,0.05,0.013575634
0.002047,1.04434,0.05,0.013575634
0.00205,34.13132,0.05,0.013575634
0.002051,19.94074,0.05,0.013575634
0.002052,1.04434,0.05,0.013575634
0.002055,19.94074,0.05,0.013575634
0.002057,5.76418,0.05,0.013575634
0.002058,1.04434,0.05,0.013575634
0.002059,10.48556,0.05,0.013575634
0.00206,1.04434,0.05,0.013575634
0.002061,15.21625,0.05,0.013575634
0.002063,5.76418,0.05,0.013575634
0.002067,5.76418,0.05,0.013575634
0.002073,1.04434,0.05,0.013575634
0.002075,10.48556,0.05,0.013575634
0.002078,10.48556,0.05,0.013575634
0.002079,15.21625,0.05,0.013575634
0.00208,1.04434,0.05,0.013575634
0.002081,5.76418,0.05,0.013575634
0.002082,15.21625,0.05,0.013575634
0.002083,5.76418,0.05,0.013575634
0.002084,5.76418,0.05,0.013575634
0.002085,34.13132,0.05,0.013575634
0.002086,1.04434,0.05,0.013575634
0.002091,29.40215,0.05,0.013575634
0.002092,10.48556,0.05,0.013575634
0.002093,10.48556,0.05,0.013575634
0.002096,19.94074,0.05,0.013575634
0.002097,5.76418,0.05,0.013575634
0.002099,5.76418,0.05,0.013575634
0.002102,5.76418,0.05,0.013575634
0.002104,5.76418,0.05,0.013575634
0.002105,10.48556,0.05,0.013575634
0.002106,1.04434,0.05,0.013575634
0.002111,15.21625,0.05,0.013575634
0.002114,1.04434,0.05,0.013575634
0.002115,15.21625,0.05,0.013575634
0.002119,10.48556,0.05,0.013575634
0.00212,1.04434,0.05,0.013575634
0.002121,5.76418,0.05,0.013575634
0.002122,24.67454,0.05,0.013575634
0.002124,1.04434,0.05,0.013575634
0.002128,1.04434,0.05,0.013575634
0.002129,5.76418,0.05,0.013575634
0.00213,5.76418,0.05,0.013575634
0.002131,5.76418,0.05,0.013575634
0.002132,10.48556,0.05,0.013575634
0.002136,1.04434,0.05,0.013575634
0.002137,19.94074,0.05,0.013575634
0.002138,1.04434,0.05,0.013575634
0.002139,19.94074,0.05,0.013575634
0.002143,1.04434,0.05,0.013575634
0.002144,1.04434,0.05,0.013575634
0.002145,24.67454,0.05,0.013575634
0.002146,1.04434,0.05,0.013575634
0.002147,10.48556,0.05,0.013575634
0.002148,5.76418,0.05,0.013575634
0.002149,24.67454,0.05,0.013575634
0.002151,34.13132,0.05,0.013575634
0.002152,15.21625,0.05,0.013575634
0.002154,10.48556,0.05,0.013575634
0.002156,10.48556,0.05,0.013575634
0.002158,5.76418,0.05,0.013575634
0.00216,5.76418,0.05,0.013575634
0.002161,5.76418,0.05,0.013575634
0.002162,15.21625,0.05,0.013575634
0.002166,10.48556,0.05,0.013575634
0.002167,15.21625,0.05,0.013575634
0.002171,15.21625,0.05,0.013575634
0.002173,10.48556,0.05,0.013575634
0.002177,15.21625,0.05,0.013575634
0.002179,10.48556,0.05,0.013575634
0.002182,1.04434,0.05,0.013575634
0.002184,1.04434,0.05,0.013575634
0.002186,5.76418,0.05,0.013575634
0.002188,5.76418,0.05,0.013575634
0.002191,29.40215,0.05,0.013575634
0.002192,10.48556,0.05,0.013575634
0.002193,1.04434,0.05,0.013575634
0.002194,5.76418,0.05,0.013575634
0.002195,15.21625,0.05,0.013575634
0.002198,10.48556,0.05,0.013575634
0.0022,15.21625,0.05,0.013575634
0.002201,5.76418,0.05,0.013575634
0.002204,10.48556,0.05,0.013575634
0.002205,15.21625,0.05,0.013575634
0.002207,15.21625,0.05,0.013575634
0.002208,15.21625,0.05,0.013575634
0.00221,15.21625,0.05,0.013575634
0.002211,5.76418,0.05,0.013575634
0.002212,1.04434,0.05,0.013575634
0.002213,10.48556,0.05,0.013575634
0.002215,1.04434,0.05,0.013575634
0.002217,1.04434,0.05,0.013575634
0.002218,1.04434,0.05,0.013575634
0.002219,1.04434,0.05,0.013575634
0.002221,15.21625,0.05,0.013575634
0.002223,29.40215,0.05,0.013575634
0.002224,1.04434,0.05,0.013575634
0.002226,15.21625,0.05,0.013575634
0.002227,1.04434,0.05,0.013575634
0.002228,10.48556,0.05,0.013575634
0.002229,1.04434,0.05,0.013575634
0.00223,29.40215,0.05,0.013575634
0.002232,10.48556,0.05,0.013575634
0.002233,19.94074,0.05,0.013575634
0.002234,15.21625,0.05,0.013575634
0.002235,24.67454,0.05,0.013575634
0.002236,1.04434,0.05,0.013575634
0.002237,19.94074,0.05,0.013575634
0.002238,10.48556,0.05,0.013575634
0.002239,10.48556,0.05,0.013575634
0.00224,5.76418,0.05,0.013575634
0.002241,1.04434,0.05,0.013575634
0.002242,24.67454,0.05,0.013575634
0.002243,15.21625,0.05,0.013575634
0.002244,10.48556,0.05,0.013575634
0.002245,24.67454,0.05,0.013575634
0.002246,1.04434,0.05,0.013575634
0.002247,34.13132,0.05,0.013575634
0.002248,15.21625,0.05,0.013575634
0.002249,34.13132,0.05,0.013575634
0.00225,1.04434,0.05,0.013575634
0.002251,34.13132,0.05,0.013575634
0.002253,24.67454,0.05,0.013575634
0.002254,19.94074,0.05,0.013575634
0.002256,15.21625,0.05,0.013575634
0.002257,15.21625,0.05,0.013575634
0.002258,24.67454,0.05,0.013575634
0.002259,43.60209,0.05,0.013575634
0.00226,19.94074,0.05,0.013575634
0.002261,24.67454,0.05,0.013575634
0.002262,1.04434,0.05,0.013575634
0.002263,10.48556,0.05,0.013575634
0.002264,15.21625,0.05,0.013575634
0.002265,48.33594,0.05,0.013575634
0.002266,10.48556,0.05,0.013575634
0.002267,48.33594,0.05,0.013575634
0.002269,15.21625,0.05,0.013575634
0.00227,57.81608,0.05,0.013575634
0.002272,29.40215,0.05,0.013575634
0.002273,34.13132,0.05,0.013575634
0.002274,38.8698,0.05,0.013575634
0.002275,38.8698,0.05,0.013575634
0.002276,24.67454,0.05,0.013575634
0.002277,57.81608,0.05,0.013575634
0.002278,15.21625,0.05,0.013575634
0.002279,24.67454,0.05,0.013575634
0.00228,15.21625,0.05,0.013575634
0.002281,10.48556,0.05,0.013575634
0.002282,34.13132,0.05,0.013575634
0.002283,34.13132,0.05,0.013575634
0.002284,1.04434,0.05,0.013575634
0.002285,24.67454,0.05,0.013575634
0.002286,24.67454,0.05,0.013575634
0.002287,15.21625,0.05,0.013575634
0.002288,24.67454,0.05,0.013575634
0.002289,19.94074,0.05,0.013575634
0.00229,5.76418,0.05,0.013575634
0.002291,5.76418,0.05,0.013575634
0.002292,24.67454,0.05,0.013575634
0.002293,24.67454,0.05,0.013575634
0.002295,34.13132,0.05,0.013575634
0.002298,1.04434,0.05,0.013575634
0.002299,1.04434,0.05,0.013575634
0.0023,19.94074,0.05,0.013575634
0.002301,10.48556,0.05,0.013575634
0.002302,10.48556,0.05,0.013575634
0.002303,19.94074,0.05,0.013575634
0.002304,19.94074,0.05,0.013575634
0.002305,1.04434,0.05,0.013575634
0.002308,15.21625,0.05,0.013575634
0.002309,15.21625,0.05,0.013575634
0.00231,15.21625,0.05,0.013575634
0.002311,1.04434,0.05,0.013575634
0.002312,5.76418,0.05,0.013575634
0.002313,15.21625,0.05,0.013575634
0.002315,5.76418,0.05,0.013575634
0.002317,1.04434,0.05,0.013575634
0.002319,24.67454,0.05,0.013575634
0.00232,5.76418,0.05,0.013575634
0.002322,1.04434,0.05,0.013575634
0.002323,34.13132,0.05,0.013575634
0.002324,5.76418,0.05,0.013575634
0.002325,1.04434,0.05,0.013575634
0.002326,5.76418,0.05,0.013575634
0.002327,1.04434,0.05,0.013575634
0.002328,10.48556,0.05,0.013575634
0.002329,15.21625,0.05,0.013575634
0.002331,1.04434,0.05,0.013575634
0.002333,15.21625,0.05,0.013575634
0.002334,1.04434,0.05,0.013575634
0.002335,5.76418,0.05,0.013575634
0.002337,5.76418,0.05,0.013575634
0.002338,1.04434,0.05,0.013575634
0.002339,1.04434,0.05,0.013575634
0.00234,5.76418,0.05,0.013575634
0.002342,15.21625,0.05,0.013575634
0.002344,19.94074,0.05,0.013575634
0.002345,15.21625,0.05,0.013575634
0.002346,5.76418,0.05,0.013575634
0.002347,1.04434,0.05,0.013575634
0.002348,1.04434,0.05,0.013575634
0.002351,15.21625,0.05,0.013575634
0.002353,1.04434,0.05,0.013575634
0.002354,15.21625,0.05,0.013575634
0.002356,10.48556,0.05,0.013575634
0.002359,15.21625,0.05,0.013575634
0.00236,24.67454,0.05,0.013575634
0.002361,1.04434,0.05,0.013575634
0.002362,1.04434,0.05,0.013575634
0.002363,1.04434,0.05,0.013575634
0.002364,1.04434,0.05,0.013575634
0.002367,1.04434,0.05,0.013575634
0.002368,5.76418,0.05,0.013575634
0.002371,24.67454,0.05,0.013575634
0.002372,1.04434,0.05,0.013575634
0.002374,19.94074,0.05,0.013575634
0.002377,1.04434,0.05,0.013575634
0.002381,10.48556,0.05,0.013575634
0.002384,5.76418,0.05,0.013575634
0.002385,1.04434,0.05,0.013575634
0.002386,1.04434,0.05,0.013575634
0.002388,5.76418,0.05,0.013575634
