Time,OH_mol/cm^3,Relative_Uncertainty,W
0.000109318,1.92E-11,.05,0.1924500897
0.00011969,1.83E-11,.05,0.1924500897
0.000145287,1.72E-11,.05,0.1924500897
0.000175915,1.61E-11,.05,0.1924500897
0.000211631,1.49E-11,.05,0.1924500897
0.000232213,1.37E-11,.05,0.1924500897
0.000252758,1.26E-11,.05,0.1924500897
0.000288528,1.12E-11,.05,0.1924500897
0.000319102,1.03E-11,.05,0.1924500897
0.000364973,8.93E-12,.05,0.1924500897
0.000405847,7.38E-12,.05,0.1924500897
0.000471955,5.90E-12,.05,0.1924500897
0.000522695,5.13E-12,.05,0.1924500897
0.00061402,3.76E-12,.05,0.1924500897
0.000705272,2.63E-12,.05,0.1924500897
0.000831769,1.86E-12,.05,1e-10
0.000932959,1.27E-12,.05,1e-10
0.001039182,7.39E-13,.05,1e-10
0.001160411,6.83E-13,.05,1e-10
0.001337268,3.91E-13,.05,1e-10
0.0014989,3.36E-13,.05,1e-10
0.001650432,2.81E-13,.05,1e-10
0.001822148,2.86E-13,.05,1e-10
0.001963561,2.90E-13,.05,1e-10
0.002094855,3.54E-13,.05,1e-10
0.002211033,2.98E-13,.05,1e-10
0.002317111,2.41E-13,.05,1e-10
