Time,H_mol/cm^3,Relative_Uncertainty,W2
7.23E-06,1.59E-13,0.1,1.00E-10
1.68E-06,7.36E-14,0.1,1.00E-10
1.63E-05,2.50E-13,0.1,1.00E-10
2.19E-05,3.37E-13,0.1,1.00E-10
2.76E-05,4.30E-13,0.1,1.00E-10
3.31E-05,5.03E-13,0.1,1.00E-10
4.10E-05,5.80E-13,0.1,1.00E-10
4.56E-05,6.43E-13,0.1,1.00E-10
5.33E-05,7.26E-13,0.1,1.00E-10
5.92E-05,8.07E-13,0.1,1.00E-10
6.81E-05,8.98E-13,0.1,1.00E-10
7.49E-05,1.01E-12,0.1,1.00E-10
8.62E-05,1.11E-12,0.1,1.00E-10
9.39E-05,1.21E-12,0.1,1.00E-10
0.000105167,1.29E-12,0.1,1.00E-10
0.000109041,1.36E-12,0.1,1.00E-10
0.000119373,1.46E-12,0.1,1.00E-10
0.000121314,1.38E-12,0.1,1.00E-10
0.00013124,1.56E-12,0.1,1.00E-10
0.000134389,1.48E-12,0.1,1.00E-10
0.000143411,1.65E-12,0.1,1.00E-10
0.000154368,1.72E-12,0.1,1.00E-10
0.000160226,1.77E-12,0.1,1.00E-10
0.000150394,1.58E-12,0.1,1.00E-10
0.000162028,1.67E-12,0.1,1.00E-10
0.000168835,1.87E-12,0.1,1.00E-10
0.000173275,1.74E-12,0.1,1.00E-10
0.000175234,1.81E-12,0.1,1.00E-10
0.000186641,1.94E-12,0.1,1.00E-10
0.000186321,1.89E-12,0.1,1.00E-10
0.000185735,1.77E-12,0.1,1.00E-10
0.000202552,1.97E-12,0.1,1.00E-10
0.000206526,2.04E-12,0.1,1.00E-10
0.000200885,1.86E-12,0.1,1.00E-10
0.000221463,2.11E-12,0.1,1.00E-10
0.000218636,2.03E-12,0.1,1.00E-10
0.000221904,1.96E-12,0.1,1.00E-10
0.000236256,2.16E-12,0.1,1.00E-10
0.000250872,2.24E-12,0.1,1.00E-10
0.000260618,2.17E-12,0.1,1.00E-10
0.000269203,2.28E-12,0.1,1.00E-10
0.000272374,2.22E-12,0.1,1.00E-10
0.000284165,2.37E-12,0.1,1.00E-10
0.000285978,2.27E-12,0.1,1.00E-10
0.000302387,2.40E-12,0.1,1.00E-10
0.000293434,2.35E-12,0.1,1.00E-10
0.000319888,2.45E-12,0.1,1.00E-10
0.000322463,2.38E-12,0.1,1.00E-10
0.000333003,2.50E-12,0.1,1.00E-10
0.000337154,2.43E-12,0.1,1.00E-10
0.00035166,2.51E-12,0.1,1.00E-10
0.000364615,2.56E-12,0.1,1.00E-10
0.000369158,2.51E-12,0.1,1.00E-10
0.000378054,2.64E-12,0.1,1.00E-10
0.000381551,2.56E-12,0.1,1.00E-10
0.000396,2.66E-12,0.1,1.00E-10
0.000393772,2.60E-12,0.1,1.00E-10
0.000404082,2.58E-12,0.1,1.00E-10
0.000415553,2.65E-12,0.1,1.00E-10
0.000429298,2.69E-12,0.1,1.00E-10
0.00043314,2.63E-12,0.1,1.00E-10
0.00044606,2.72E-12,0.1,1.00E-10
0.000449567,2.65E-12,0.1,1.00E-10
0.00046544,2.76E-12,0.1,1.00E-10
0.000463688,2.70E-12,0.1,1.00E-10
0.000482905,2.76E-12,0.1,1.00E-10
0.000494576,2.73E-12,0.1,1.00E-10
0.000508323,2.78E-12,0.1,1.00E-10
0.000525907,2.79E-12,0.1,1.00E-10
0.000522516,2.73E-12,0.1,1.00E-10
0.000544722,2.79E-12,0.1,1.00E-10
0.000538922,2.75E-12,0.1,1.00E-10
0.000561583,2.82E-12,0.1,1.00E-10
0.000561518,2.76E-12,0.1,1.00E-10
0.00057997,2.81E-12,0.1,1.00E-10
0.000584182,2.75E-12,0.1,1.00E-10
0.000599077,2.84E-12,0.1,1.00E-10
0.000607522,2.76E-12,0.1,1.00E-10
0.00061835,2.82E-12,0.1,1.00E-10
0.000628916,2.77E-12,0.1,1.00E-10
0.000636343,2.83E-12,0.1,1.00E-10
0.000654534,2.84E-12,0.1,1.00E-10
0.000652976,2.78E-12,0.1,1.00E-10
0.000671484,2.87E-12,0.1,1.00E-10
0.00066912,2.80E-12,0.1,1.00E-10
0.000691299,2.89E-12,0.1,1.00E-10
0.000694571,2.83E-12,0.1,1.00E-10
0.000709617,2.89E-12,0.1,1.00E-10
0.000725934,2.87E-12,0.1,1.00E-10
0.000729743,2.94E-12,0.1,1.00E-10
0.000746372,2.93E-12,0.1,1.00E-10
0.000751228,2.88E-12,0.1,1.00E-10
0.000769725,2.90E-12,0.1,1.00E-10
0.000786809,2.92E-12,0.1,1.00E-10
0.0008059,2.91E-12,0.1,1.00E-10
0.000802626,2.98E-12,0.1,1.00E-10
0.000824311,2.92E-12,0.1,1.00E-10
0.000828892,2.98E-12,0.1,1.00E-10
0.000843622,2.93E-12,0.1,1.00E-10
0.000848786,2.97E-12,0.1,1.00E-10
0.000866807,2.95E-12,0.1,1.00E-10
0.000883176,3.00E-12,0.1,1.00E-10
0.000884534,2.93E-12,0.1,1.00E-10
0.000902332,2.99E-12,0.1,1.00E-10
0.000902934,2.93E-12,0.1,1.00E-10
0.000921621,2.95E-12,0.1,1.00E-10
0.000940245,2.95E-12,0.1,1.00E-10
0.000961107,2.97E-12,0.1,1.00E-10
0.000953953,2.93E-12,0.1,1.00E-10
0.000975153,2.98E-12,0.1,1.00E-10
0.000981973,2.93E-12,0.1,1.00E-10
0.000997743,2.98E-12,0.1,1.00E-10
0.000992428,2.94E-12,0.1,1.00E-10
