Time,OH_ppm
6.21E-07,25.04979232
9.11E-07,25.39210567
1.82632E-06,24.48002074
2.61766E-06,23.86971207
3.35944E-06,23.0769864
3.94812E-06,22.41201405
4.96341E-06,21.58972495
5.78595E-06,20.74835476
6.55538E-06,20.2149379
7.55026E-06,19.43315082
8.21085E-06,18.79131328
9.05897E-06,18.24135985
1.01149E-05,17.52619089
1.09706E-05,17.00092434
1.18462E-05,16.30786264
1.30333E-05,15.55264404
1.39998E-05,14.9974085
1.50953E-05,14.45094723
1.56827E-05,13.89307941
1.68704E-05,13.45317672
1.74991E-05,12.94721356
1.8754E-05,12.48729255
1.99199E-05,11.92423166
2.12649E-05,11.3358099
2.26099E-05,10.75657187
2.40892E-05,10.16489388
2.55684E-05,9.581882919
2.70474E-05,9.05319441
2.8526E-05,8.614656607
3.00046E-05,8.16014964
3.14833E-05,7.705642673
3.29618E-05,7.2978148
3.44402E-05,6.9082374
3.59186E-05,6.493039144
3.73967E-05,6.175059752
3.88749E-05,5.829470671
4.03526E-05,5.609997036
4.18311E-05,5.197255575
4.33089E-05,4.9220946
4.47866E-05,4.707370768
4.62643E-05,4.479871605
4.77421E-05,4.218796252
4.92199E-05,3.963944778
5.06975E-05,3.741850563
5.21749E-05,3.592968821
5.36525E-05,3.391511679
5.51298E-05,3.239190425
5.66073E-05,3.057387639
5.80845E-05,2.934547918
5.9562E-05,2.75765872
6.10391E-05,2.654473354
6.25164E-05,2.519349662
6.3994E-05,2.320817275
6.54712E-05,2.187682415
6.69484E-05,2.07876453
6.84256E-05,1.971484507
6.99025E-05,1.92185726
7.13794E-05,1.868299141
7.28564E-05,1.799508898
7.43336E-05,1.695586494
7.58108E-05,1.575940606
7.72878E-05,1.507150362
7.87645E-05,1.502236773
8.02416E-05,1.399542767
8.17187E-05,1.303002445
8.31956E-05,1.259014126
8.46723E-05,1.261470921
8.61496E-05,1.126347228
8.76269E-05,0.986309946
8.91036E-05,0.974025974
9.05803E-05,0.978939563
9.20571E-05,0.969112385
9.3534E-05,0.907692525
9.50109E-05,0.870840609
9.64877E-05,0.843113929
9.79646E-05,0.802050365
9.91732E-05,0.708481595
