Time,H_mol/cm^3,Relative_Uncertainty,W
3.14433E-05,1.08821E-12,.05,1e-10
4.63918E-05,1.86261E-12,.05,1e-10
5.92784E-05,2.71309E-12,.05,1e-10
7.21649E-05,3.87103E-12,.05,.123
8.29897E-05,5.33564E-12,.05,.123
9.89691E-05,7.34029E-12,.05,.123
0.000109278,9.0353E-12,.05,.123
0.00012732,1.16557E-11,.05,.123
0.000149485,1.50463E-11,.05,.123
0.000173196,1.86681E-11,.05,.123
0.000189175,2.19795E-11,.05,.123
0.000203608,2.4291E-11,.05,.123
0.000223711,2.65278E-11,.05,.123
0.000234536,2.84536E-11,.05,.123
0.000252062,3.09969E-11,.05,.123
0.000265979,3.2309E-11,.05,.123
