Time,H_mol/cm^3, Relative_Uncertainty,W
1.52303E-05,	1.94982E-13,	0.05,	1.00E-10
3.30028E-05,	5.14044E-13,	0.05,	1.00E-10
6.60116E-05,	1.16989E-12,	0.05,	1.00E-10
9.94463E-05,	1.89664E-12,	0.05,	1.00E-10
0.000132026,	2.41069E-12,	0.05,	0.166666667
0.000152756,	2.65885E-12,	0.05,	0.166666667
0.000185755,	3.10199E-12,	0.05,	0.166666667
0.000210718,	3.47423E-12,	0.05,	0.166666667
0.000242023,	3.82874E-12,	0.05,	0.166666667
0.000270787,	4.09462E-12,	0.05,	0.166666667
0.000298707,	4.39596E-12,	0.05,	0.166666667
0.000329579,	4.53777E-12,	0.05,	0.166666667
0.000359188,	4.7682E-12,	0.05,	0.166666667
0.000384148,	5.06953E-12,	0.05,	0.166666667
