Time_O2,Mole_Fraction_O2,,Time_H2,Mole_Fraction_H2,,Time_H2O,Mole_Fraction_H2O,,,Time_NO2,Mole_Fraction_NO2,,,Time_NO,Mole_Fraction_NO
0.040057225,0.02,,0.021526288,0.01015625,,0.120205204,7.8125E-05,,,0.054424908,3.512544803,,,0.017142857,107.1480144
0.131516005,0.019765625,,0.107229077,0.00984375,,0.180324571,0.00015625,,,0.074668882,14.05017921,,,0.054285714,106.1371841
0.203013233,0.0196875,,0.184381706,0.009609375,,0.26053961,0.000390625,,,0.080524661,20.5734767,,,0.071428571,97.03971119
0.288816613,0.019609375,,0.278802307,0.009609375,,0.320658977,0.00046875,,,0.089323714,31.11111111,,,0.08,85.92057762
0.377447693,0.019453125,,0.375983548,0.009375,,0.409457707,0.000703125,,,0.095323068,44.65949821,,,0.088571429,74.29602888
0.477590755,0.019453125,,0.48174848,0.009140625,,0.489706277,0.001015625,,,0.101271145,55.69892473,,,0.091428571,65.19855596
0.554810443,0.019375,,0.5703125,0.008828125,,0.578471477,0.001171875,,,0.115925977,72.75985663,,,0.102857143,53.57400722
0.646302754,0.01921875,,0.664666041,0.008671875,,0.661581277,0.001484375,,,0.12472503,83.29749104,,,0.108571429,40.433213
0.746311695,0.01890625,,0.776119903,0.008359375,,0.781853541,0.00171875,,,0.139215777,92.3297491,,,0.114285714,28.80866426
0.843559996,0.018828125,,0.881817775,0.00796875,,0.856379649,0.00203125,,,0.16800242,100.8602151,,,0.134285714,15.66787004
0.935119367,0.018828125,,0.998960569,0.007578125,,0.925183298,0.00234375,,,0.225268048,102.8673835,,,0.145714286,9.602888087
1.020855687,0.01859375,,1.121758763,0.00703125,,1.002503577,0.0025,,,0.293958087,103.8709677,,,0.168571429,6.570397112
1.129515379,0.0184375,,1.241628666,0.006328125,,1.085680436,0.00296875,,,0.339737772,103.8709677,,,0.202857143,4.0433213
1.240969242,0.018125,,1.335781026,0.005703125,,1.163134835,0.0034375,,,0.402674584,103.3691756,,,0.248571429,3.032490975
1.360973265,0.017734375,,1.435655848,0.005078125,,1.249139396,0.003828125,,,0.465621651,103.3691756,,,0.297142857,3.032490975
1.475254828,0.01734375,,1.54983682,0.004453125,,1.349550697,0.004453125,,,0.557181022,103.3691756,,,0.36,3.032490975
1.555268687,0.017109375,,1.675429185,0.00375,,1.45854569,0.005078125,,,0.640146446,102.8673835,,,0.425714286,3.032490975
1.649555168,0.016796875,,1.795232028,0.002890625,,1.579153255,0.00609375,,,0.720260895,102.8673835,,,0.5,3.032490975
1.743841649,0.016484375,,1.932235783,0.002109375,,1.670947335,0.006640625,,,0.817522216,101.8637993,,,0.56,3.537906137
1.832439199,0.01625,,,,,1.808621692,0.007421875,,,0.94055512,101.8637993,,,0.64,3.537906137
1.909591828,0.016015625,,,,,1.906104703,0.007890625,,,1.060716538,101.3620072,,,0.708571429,3.537906137
1.986710926,0.015703125,,,,,1.980563752,0.008046875,,,1.218043185,99.35483871,,,0.788571429,3.537906137
,,,,,,,,,,1.326739172,97.84946237,,,0.888571429,4.548736462
,,,,,,,,,,1.441147364,95.84229391,,,0.971428571,5.559566787
,,,,,,,,,,1.546992375,94.83870968,,,1.042857143,6.064981949
,,,,,,,,,,1.664272053,93.33333333,,,1.102857143,6.064981949
,,,,,,,,,,1.78153122,90.82437276,,,1.191428571,7.075812274
,,,,,,,,,,1.850190492,90.32258065,,,1.26,8.592057762
,,,,,,,,,,1.953174274,89.31899642,,,1.331428571,9.602888087
,,,,,,,,,,,,,,1.397142857,10.61371841
,,,,,,,,,,,,,,1.462857143,10.61371841
,,,,,,,,,,,,,,1.542857143,11.62454874
,,,,,,,,,,,,,,1.622857143,13.64620939
,,,,,,,,,,,,,,1.702857143,14.15162455
,,,,,,,,,,,,,,1.785714286,15.66787004
,,,,,,,,,,,,,,1.862857143,17.68953069
,,,,,,,,,,,,,,1.945714286,18.19494585
