T,k(T) with TUN. ,k
200,2.92E-20,1.76E+04
300,8.18E-18,4.93E+06
400,2.47E-16,1.49E+08
500,2.39E-15,1.44E+09
600,1.21E-14,7.29E+09
700,4.09E-14,2.46E+10
800,1.06E-13,6.38E+10
900,2.29E-13,1.38E+11
1000,4.33E-13,2.61E+11
1100,7.42E-13,4.47E+11
1200,1.18E-12,7.11E+11
1300,1.76E-12,1.06E+12
1400,2.51E-12,1.51E+12
1500,3.44E-12,2.07E+12
1600,4.55E-12,2.74E+12
1700,5.87E-12,3.54E+12
1800,7.39E-12,4.45E+12
1900,9.11E-12,5.49E+12
2000,1.10E-11,6.63E+12
2100,1.32E-11,7.95E+12
2200,1.55E-11,9.34E+12
2300,1.81E-11,1.09E+13
2400,2.08E-11,1.25E+13
2500,2.38E-11,1.43E+13
2600,2.69E-11,1.62E+13
2700,3.02E-11,1.82E+13
2800,3.37E-11,2.03E+13
2900,3.73E-11,2.25E+13
3000,4.12E-11,2.48E+13
3100,4.51E-11,2.72E+13
3200,4.92E-11,2.96E+13
3300,5.35E-11,3.22E+13
3400,5.79E-11,3.49E+13
3500,6.24E-11,3.76E+13
3600,6.70E-11,4.04E+13
