Time,OH_ppm,W
-1.81E-06,0.448336054,1.00E-09
-1.35E-06,0.967380043,1.00E-09
-1.11E-06,1.634114935,1.00E-09
-8.83E-07,2.303164999,1.00E-09
-6.52E-07,3.006942631,1.00E-09
-5.36E-07,3.463014153,1.00E-09
-5.36E-07,4.889159641,1.00E-09
-4.20E-07,6.185638325,1.00E-09
6.22E-07,13.41807838,1.00E-09
7.37E-07,14.8164246,1.00E-09
1.24E-06,17.4710797,1.00E-09
1.35E-06,17.94953121,1.00E-09
1.47E-06,18.42798272,1.00E-09
2.13E-06,18.88562761,1.00E-09
3.17E-06,19.14837993,0.120385853
4.44E-06,18.93266919,0.120385853
5.71E-06,18.97289011,0.120385853
6.99E-06,18.74539304,0.120385853
8.26E-06,18.87380094,0.120385853
9.53E-06,18.93359557,0.120385853
1.05E-05,18.83102047,0.120385853
1.15E-05,18.3153627,0.120385853
1.51E-05,18.16834189,0.120385853
1.64E-05,18.10922091,0.120385853
1.76E-05,18.0959034,0.120385853
1.88E-05,17.73188408,0.120385853
2.13E-05,17.52589947,0.120385853
2.26E-05,17.41289815,0.120385853
2.39E-05,17.16687971,0.120385853
2.51E-05,16.99276303,0.120385853
2.64E-05,16.91225312,0.120385853
2.74E-05,16.74239232,0.120385853
2.94E-05,16.48936868,0.120385853
3.06E-05,15.97546239,0.120385853
3.19E-05,15.79679438,0.120385853
3.31E-05,15.69894691,0.120385853
3.41E-05,15.64863313,0.120385853
3.63E-05,15.39035391,0.120385853
3.75E-05,15.2032671,0.120385853
3.88E-05,15.16098373,0.120385853
4.01E-05,14.99073454,0.120385853
4.14E-05,14.87099817,0.120385853
4.26E-05,14.78325326,0.120385853
4.39E-05,14.67361945,0.120385853
4.52E-05,14.52189163,0.120385853
4.65E-05,14.33480482,0.120385853
4.77E-05,14.65664336,0.120385853
4.85E-05,14.26602778,0.120385853
5.10E-05,14.34591983,0.120385853
5.19E-05,14.17908549,0.120385853
5.46E-05,13.68703571,0.120385853
5.58E-05,13.56393182,0.120385853
5.71E-05,13.44251169,0.120385853
5.84E-05,13.23690351,0.120385853
5.97E-05,13.19125262,0.120385853
6.09E-05,13.108559,0.120385853
6.17E-05,13.10338722,0.120385853
6.36E-05,12.89432546,0.120385853
6.49E-05,12.70892241,0.120385853
6.61E-05,12.58076724,0.120385853
6.74E-05,12.41051804,0.120385853
6.87E-05,12.51135435,0.120385853
7.00E-05,12.44886585,0.120385853
7.12E-05,12.18264229,0.120385853
7.25E-05,12.08816233,0.120385853
7.38E-05,12.09134051,0.120385853
7.51E-05,12.02211697,0.120385853
7.63E-05,11.72221818,0.120385853
7.76E-05,11.79779808,0.120385853
7.89E-05,11.72520701,0.120385853
8.01E-05,11.86590094,0.120385853
8.28E-05,11.51246789,0.120385853
8.41E-05,11.42640674,0.120385853
8.54E-05,11.35381567,0.120385853
8.66E-05,11.22229298,0.120385853
8.79E-05,11.02173609,0.120385853
8.92E-05,10.94240998,0.120385853
9.05E-05,10.98431466,0.120385853
9.17E-05,10.87131333,0.120385853
9.27E-05,10.8175673,0.120385853
9.37E-05,11.1943028,0.120385853
9.77E-05,10.55723872,0.120385853
9.90E-05,10.45770748,0.120385853
