Time,OH_ppm
2.6087E-06,19.02077151
5.21739E-06,17.53709199
7.3913E-06,16.05341246
7.3913E-06,15.0148368
9.13043E-06,13.97626113
1E-05,13.16023739
1.26087E-05,12.04747774
1.3913E-05,11.23145401
1.73913E-05,9.747774481
1.95652E-05,9.080118694
2.17391E-05,8.264094955
2.52174E-05,6.854599407
2.86957E-05,6.112759644
3.17391E-05,5.519287834
3.43478E-05,4.851632047
3.78261E-05,4.40652819
4.13043E-05,4.035608309
4.6087E-05,3.664688427
5.17391E-05,3.145400593
5.56522E-05,2.774480712
5.91304E-05,2.477744807
6.3913E-05,2.255192878
6.73913E-05,1.958456973
7.3913E-05,1.587537092
