Time,CO_ppm,Relative_Uncertainty,W
2.08E-04,79.36283571,0.05,1.00E-10
2.34E-04,123.1153972,0.05,1.00E-10
0.000265652,171.8549527,0.05,1.00E-10
0.000293355,240.7486137,0.05,1.00E-10
0.000320237,349.5144298,0.05,1.00E-10
0.00034437,481.9059991,0.05,1.00E-10
0.000369357,590.3841832,0.05,1.00E-10
0.000387573,731.1297162,0.05,1.00E-10
0.00040612,855.6050886,0.05,1.00E-10
0.000418538,974.3753398,0.05,1.00E-10
0.000434778,1078.623464,0.05,1.00E-10
0.000445489,1226.149831,0.05,1.00E-10
0.000456054,1343.133631,0.05,1.00E-10
0.000467778,1467.032728,0.05,1.00E-10
0.000478199,1590.355551,0.05,1.00E-10
0.000489778,1713.102099,0.05,1.00E-10
0.000502831,1838.206134,0.05,1.00E-10
0.000513805,1970.26476,0.05,1.00E-10
0.000525528,2094.307926,0.05,1.00E-10
0.000536918,2228.82378,0.05,1.00E-10
0.000546738,2366.464817,0.05,1.00E-10
0.000559364,2508.893368,0.05,1.00E-10
0.000570469,2654.014896,0.05,1.00E-10
0.000581809,2788.962956,0.05,1.00E-10
0.000594234,2928.99775,0.05,1.00E-10
0.000604121,3064.178536,0.05,1.00E-10
0.000614195,3193.148853,0.05,1.00E-10
0.000623516,3312.264869,0.05,1.00E-10
0.000633213,3432.634283,0.05,1.00E-10
0.000643634,3546.736708,0.05,1.00E-10
0.000654055,3663.432369,0.05,1.00E-10
0.000665779,3784.925519,0.05,1.00E-10
0.000677503,3906.548331,0.05,1.00E-10
0.000689227,4027.652495,0.05,1.00E-10
0.000702253,4143.82951,0.05,1.00E-10
0.000715516,4277.027588,0.05,1.00E-10
0.000733516,4407.581653,0.05,1.00E-10
0.000749669,4554.598239,0.05,1.00E-10
0.000761306,4643.114059,0.05,1.00E-10
0.000786688,4732.651457,0.05,1.00E-10
0.000815103,4826.396766,0.05,1.00E-10
0.000844742,4875.920242,0.05,1.00E-10
0.0008711,4844.991379,0.05,0.142857143
0.000899794,4801.291342,0.05,0.142857143
0.000922475,4724.104407,0.05,0.142857143
0.000947521,4665.975706,0.05,0.142857143
0.000962408,4572.82499,0.05,0.142857143
0.000985426,4520.447303,0.05,0.142857143
0.000999081,4430.122866,0.05,0.142857143
0.001022865,4356.799092,0.05,0.142857143
0.001040776,4258.580244,0.05,0.142857143
0.001064693,4197.829855,0.05,0.142857143
0.001085042,4107.894655,0.05,0.142857143
0.001108839,4051.12129,0.05,0.142857143
0.00112675,3967.489399,0.05,0.142857143
0.001151586,3911.96362,0.05,0.142857143
0.001172582,3839.963159,0.05,0.142857143
0.001200078,3770.403392,0.05,0.142857143
0.001222348,3661.760414,0.05,0.142857143
0.001246919,3602.815456,0.05,0.142857143
0.001268714,3554.05334,0.05,0.142857143
0.001291965,3498.571145,0.05,0.142857143
0.001315958,3432.310128,0.05,0.142857143
0.001340719,3378.651734,0.05,0.142857143
0.001365556,3289.098619,0.05,0.142857143
0.00139749,3212.758664,0.05,0.142857143
0.001423914,3176.368003,0.05,0.142857143
0.001450769,3138.068691,0.05,0.142857143
0.001458565,3072.304012,0.05,0.142857143
0.001486441,3073.058408,0.05,0.142857143
0.001514298,2997.618789,0.05,0.142857143
0.001539719,2918.784386,0.05,0.142857143
0.001565178,2890.143525,0.05,0.142857143
0.001589692,2835.473238,0.05,0.142857143
0.001614273,2803.644667,0.05,0.142857143
0.001629558,2736.566272,0.05,0.142857143
0.001655164,2720.759875,0.05,0.142857143
0.001682457,2678.774134,0.05,0.142857143
0.001708903,2655.311515,0.05,0.142857143
0.001737106,2613.819724,0.05,0.142857143
0.001752006,2545.358269,0.05,0.142857143
0.001776587,2530.56317,0.05,0.142857143
0.00180072,2486.068684,0.05,0.142857143
0.001826087,2474.330874,0.05,0.142857143
0.00185022,2432.335601,0.05,0.142857143
0.001874801,2425.377841,0.05,0.142857143
0.001890085,2362.10286,0.05,0.142857143
0.001916312,2355.863374,0.05,0.142857143
0.001943324,2337.039452,0.05,0.142857143
0.001966029,2320.783951,0.05,0.142857143
0.001985351,2328.563662,0.05,0.142857143
