Time,CO_ppm,Relative_Uncertainty,W
5.6e-06,1,0.05,0.020336296
6.4e-06,1,0.05,0.020336296
7.6e-06,1,0.05,0.020336296
8e-06,4,0.05,0.020336296
8.4e-06,8,0.05,0.020336296
8.8e-06,6,0.05,0.020336296
1.1599999999999999e-05,6,0.05,0.020336296
1.32e-05,6,0.05,0.020336296
1.36e-05,1,0.05,0.020336296
1.4400000000000001e-05,9,0.05,0.020336296
1.4800000000000002e-05,6,0.05,0.020336296
1.52e-05,8,0.05,0.020336296
1.56e-05,9,0.05,0.020336296
1.64e-05,6,0.05,0.020336296
1.76e-05,3,0.05,0.020336296
1.8e-05,6,0.05,0.020336296
1.84e-05,3,0.05,0.020336296
1.88e-05,8,0.05,0.020336296
1.92e-05,4,0.05,0.020336296
2.08e-05,4,0.05,0.020336296
2.2e-05,9,0.05,0.020336296
2.3199999999999998e-05,8,0.05,0.020336296
2.36e-05,4,0.05,0.020336296
2.4e-05,3,0.05,0.020336296
2.44e-05,8,0.05,0.020336296
2.48e-05,1,0.05,0.020336296
2.52e-05,11,0.05,0.020336296
2.56e-05,3,0.05,0.020336296
2.6000000000000002e-05,4,0.05,0.020336296
2.64e-05,3,0.05,0.020336296
2.68e-05,4,0.05,0.020336296
2.72e-05,1,0.05,0.020336296
2.7600000000000003e-05,3,0.05,0.020336296
2.8000000000000003e-05,1,0.05,0.020336296
2.84e-05,1,0.05,0.020336296
2.8800000000000002e-05,3,0.05,0.020336296
2.9199999999999998e-05,3,0.05,0.020336296
2.9600000000000005e-05,11,0.05,0.020336296
2.9999999999999997e-05,6,0.05,0.020336296
3.04e-05,6,0.05,0.020336296
3.0799999999999996e-05,8,0.05,0.020336296
3.12e-05,6,0.05,0.020336296
3.2e-05,8,0.05,0.020336296
3.24e-05,1,0.05,0.020336296
3.28e-05,1,0.05,0.020336296
3.32e-05,8,0.05,0.020336296
3.3600000000000004e-05,8,0.05,0.020336296
3.4e-05,6,0.05,0.020336296
3.4399999999999996e-05,8,0.05,0.020336296
3.48e-05,4,0.05,0.020336296
3.52e-05,6,0.05,0.020336296
3.5600000000000005e-05,8,0.05,0.020336296
3.6e-05,6,0.05,0.020336296
3.64e-05,6,0.05,0.020336296
3.68e-05,4,0.05,0.020336296
3.72e-05,9,0.05,0.020336296
3.76e-05,6,0.05,0.020336296
3.8e-05,4,0.05,0.020336296
3.84e-05,16,0.05,0.020336296
3.8799999999999994e-05,6,0.05,0.020336296
3.9200000000000004e-05,11,0.05,0.020336296
3.96e-05,8,0.05,0.020336296
