Time,CO_ppm,Relative_Uncertainty,W
0.0008044,478,0.05,0.011609087
0.000806,474,0.05,0.011609087
0.0008076,484,0.05,0.011609087
0.0008092,482,0.05,0.011609087
0.0008108,484,0.05,0.011609087
0.0008124,470,0.05,0.011609087
0.000814,482,0.05,0.011609087
0.0008156,482,0.05,0.011609087
0.0008172,474,0.05,0.011609087
0.0008188,478,0.05,0.011609087
0.0008204,476,0.05,0.011609087
0.000822,480,0.05,0.011609087
0.0008236,486,0.05,0.011609087
0.0008252,488,0.05,0.011609087
0.0008268,486,0.05,0.011609087
0.0008284,486,0.05,0.011609087
0.00083,484,0.05,0.011609087
0.0008316,488,0.05,0.011609087
0.0008332,480,0.05,0.011609087
0.0008348,478,0.05,0.011609087
0.0008364,476,0.05,0.011609087
0.000838,474,0.05,0.011609087
0.0008396,476,0.05,0.011609087
0.0008412,470,0.05,0.011609087
0.0008428,472,0.05,0.011609087
0.0008444,476,0.05,0.011609087
0.000846,488,0.05,0.011609087
0.0008476,480,0.05,0.011609087
0.0008492,474,0.05,0.011609087
0.0008508,478,0.05,0.011609087
0.0008524,484,0.05,0.011609087
0.000854,472,0.05,0.011609087
0.0008556,476,0.05,0.011609087
0.0008572,478,0.05,0.011609087
0.0008588,480,0.05,0.011609087
0.0008604,484,0.05,0.011609087
0.000862,480,0.05,0.011609087
0.0008636,472,0.05,0.011609087
0.0008652,478,0.05,0.011609087
0.0008668,480,0.05,0.011609087
0.0008684,476,0.05,0.011609087
0.00087,482,0.05,0.011609087
0.0008716,484,0.05,0.011609087
0.0008732,484,0.05,0.011609087
0.0008748,484,0.05,0.011609087
0.0008764,488,0.05,0.011609087
0.000878,484,0.05,0.011609087
0.0008796,478,0.05,0.011609087
0.0008812,482,0.05,0.011609087
0.0008828,482,0.05,0.011609087
0.0008844,478,0.05,0.011609087
0.000886,484,0.05,0.011609087
0.0008876,480,0.05,0.011609087
0.0008892,488,0.05,0.011609087
0.0008908,486,0.05,0.011609087
0.0008924,486,0.05,0.011609087
0.000894,496,0.05,0.011609087
0.0008956,486,0.05,0.011609087
0.0008972,484,0.05,0.011609087
0.0008988,488,0.05,0.011609087
0.0009004,490,0.05,0.011609087
0.000902,478,0.05,0.011609087
0.0009036,484,0.05,0.011609087
0.0009052,484,0.05,0.011609087
0.0009068,490,0.05,0.011609087
0.0009084,484,0.05,0.011609087
0.00091,484,0.05,0.011609087
0.0009116,482,0.05,0.011609087
0.0009132,484,0.05,0.011609087
0.0009148,484,0.05,0.011609087
0.0009164,488,0.05,0.011609087
0.000918,482,0.05,0.011609087
0.0009196,480,0.05,0.011609087
0.0009212,484,0.05,0.011609087
0.0009228,486,0.05,0.011609087
0.0009244,488,0.05,0.011609087
0.000926,482,0.05,0.011609087
0.0009276,482,0.05,0.011609087
0.0009292,482,0.05,0.011609087
0.0009308,482,0.05,0.011609087
0.0009324,484,0.05,0.011609087
0.000934,478,0.05,0.011609087
0.0009356,476,0.05,0.011609087
0.0009372,484,0.05,0.011609087
0.0009388,486,0.05,0.011609087
0.0009404,484,0.05,0.011609087
0.000942,490,0.05,0.011609087
0.0009436,482,0.05,0.011609087
0.0009452,486,0.05,0.011609087
0.0009468,488,0.05,0.011609087
0.0009484,482,0.05,0.011609087
0.00095,478,0.05,0.011609087
0.0009516,476,0.05,0.011609087
0.0009532,488,0.05,0.011609087
0.0009548,484,0.05,0.011609087
0.0009564,490,0.05,0.011609087
0.000958,494,0.05,0.011609087
0.0009596,482,0.05,0.011609087
0.0009612,492,0.05,0.011609087
0.0009628,480,0.05,0.011609087
0.0009644,488,0.05,0.011609087
0.000966,488,0.05,0.011609087
0.0009676,478,0.05,0.011609087
0.0009692,482,0.05,0.011609087
0.0009708,480,0.05,0.011609087
0.0009724,482,0.05,0.011609087
0.000974,482,0.05,0.011609087
0.0009756,478,0.05,0.011609087
0.0009772,484,0.05,0.011609087
0.0009788,482,0.05,0.011609087
0.0009804,482,0.05,0.011609087
0.000982,488,0.05,0.011609087
0.0009836,478,0.05,0.011609087
0.0009852,480,0.05,0.011609087
0.0009868,476,0.05,0.011609087
0.0009884,486,0.05,0.011609087
0.00099,482,0.05,0.011609087
0.0009916,476,0.05,0.011609087
0.0009932,478,0.05,0.011609087
0.0009948,476,0.05,0.011609087
0.0009964,474,0.05,0.011609087
0.000998,480,0.05,0.011609087
0.0009996,472,0.05,0.011609087
0.0010012,478,0.05,0.011609087
0.0010028,484,0.05,0.011609087
0.0010044,476,0.05,0.011609087
0.001006,480,0.05,0.011609087
0.0010076,482,0.05,0.011609087
0.0010092,476,0.05,0.011609087
0.0010108,478,0.05,0.011609087
0.0010124,474,0.05,0.011609087
0.001014,478,0.05,0.011609087
0.0010156,472,0.05,0.011609087
0.0010172,472,0.05,0.011609087
0.0010188,472,0.05,0.011609087
0.0010204,474,0.05,0.011609087
0.001022,476,0.05,0.011609087
0.0010236,484,0.05,0.011609087
0.0010252,480,0.05,0.011609087
0.0010268,472,0.05,0.011609087
0.0010284,480,0.05,0.011609087
0.00103,480,0.05,0.011609087
0.0010316,480,0.05,0.011609087
0.0010332,474,0.05,0.011609087
0.0010348,480,0.05,0.011609087
0.0010364,478,0.05,0.011609087
0.001038,480,0.05,0.011609087
0.0010396,478,0.05,0.011609087
0.0010412,474,0.05,0.011609087
0.0010428,478,0.05,0.011609087
0.0010444,468,0.05,0.011609087
0.001046,476,0.05,0.011609087
0.0010476,468,0.05,0.011609087
0.0010492,480,0.05,0.011609087
0.0010508,476,0.05,0.011609087
0.0010524,476,0.05,0.011609087
0.001054,468,0.05,0.011609087
0.0010556,480,0.05,0.011609087
0.0010572,484,0.05,0.011609087
0.0010588,476,0.05,0.011609087
0.0010604,474,0.05,0.011609087
0.001062,470,0.05,0.011609087
0.0010636,472,0.05,0.011609087
0.0010652,478,0.05,0.011609087
0.0010668,470,0.05,0.011609087
0.0010684,476,0.05,0.011609087
0.00107,484,0.05,0.011609087
0.0010716,470,0.05,0.011609087
0.0010732,476,0.05,0.011609087
0.0010748,474,0.05,0.011609087
0.0010764,472,0.05,0.011609087
0.001078,464,0.05,0.011609087
0.0010796,480,0.05,0.011609087
0.0010812,472,0.05,0.011609087
0.0010828,478,0.05,0.011609087
0.0010844,474,0.05,0.011609087
0.001086,484,0.05,0.011609087
0.0010876,474,0.05,0.011609087
0.0010892,470,0.05,0.011609087
0.0010908,478,0.05,0.011609087
0.0010924,476,0.05,0.011609087
0.001094,482,0.05,0.011609087
0.0010956,482,0.05,0.011609087
0.0010972,476,0.05,0.011609087
0.0010988,474,0.05,0.011609087
0.0011004,472,0.05,0.011609087
0.001102,482,0.05,0.011609087
0.0011036,470,0.05,0.011609087
0.0011052,470,0.05,0.011609087
0.0011068,476,0.05,0.011609087
0.0011084,476,0.05,0.011609087
0.00111,472,0.05,0.011609087
0.0011116,476,0.05,0.011609087
0.0011132,476,0.05,0.011609087
0.0011148,476,0.05,0.011609087
0.0011164,476,0.05,0.011609087
0.001118,472,0.05,0.011609087
0.0011196,474,0.05,0.011609087
0.0011212,468,0.05,0.011609087
0.0011228,474,0.05,0.011609087
0.0011244,474,0.05,0.011609087
0.001126,470,0.05,0.011609087
0.0011276,466,0.05,0.011609087
0.0011292,474,0.05,0.011609087
0.0011308,474,0.05,0.011609087
0.0011324,468,0.05,0.011609087
0.001134,474,0.05,0.011609087
0.0011356,472,0.05,0.011609087
0.0011372,470,0.05,0.011609087
0.0011388,468,0.05,0.011609087
0.0011404,474,0.05,0.011609087
0.001142,470,0.05,0.011609087
0.0011436,472,0.05,0.011609087
0.0011452,474,0.05,0.011609087
0.0011468,474,0.05,0.011609087
0.0011484,472,0.05,0.011609087
0.00115,466,0.05,0.011609087
0.0011516,468,0.05,0.011609087
0.0011532,472,0.05,0.011609087
0.0011548,470,0.05,0.011609087
0.0011564,478,0.05,0.011609087
0.001158,478,0.05,0.011609087
0.0011596,472,0.05,0.011609087
0.0011612,478,0.05,0.011609087
0.0011628,468,0.05,0.011609087
0.0011644,474,0.05,0.011609087
0.001166,472,0.05,0.011609087
0.0011676,470,0.05,0.011609087
0.0011692,472,0.05,0.011609087
0.0011708,470,0.05,0.011609087
0.0011724,468,0.05,0.011609087
0.001174,472,0.05,0.011609087
0.0011756,466,0.05,0.011609087
0.0011772,468,0.05,0.011609087
0.0011788,470,0.05,0.011609087
0.0011804,476,0.05,0.011609087
0.001182,472,0.05,0.011609087
0.0011836,480,0.05,0.011609087
0.0011852,470,0.05,0.011609087
0.0011868,470,0.05,0.011609087
0.0011884,476,0.05,0.011609087
0.00119,476,0.05,0.011609087
0.0011916,476,0.05,0.011609087
0.0011932,472,0.05,0.011609087
0.0011948,476,0.05,0.011609087
0.0011964,470,0.05,0.011609087
0.001198,470,0.05,0.011609087
0.0011996,474,0.05,0.011609087
0.0012012,482,0.05,0.011609087
0.0012028,468,0.05,0.011609087
0.0012044,476,0.05,0.011609087
0.001206,470,0.05,0.011609087
0.0012076,472,0.05,0.011609087
0.0012092,466,0.05,0.011609087
0.0012108,466,0.05,0.011609087
0.0012124,474,0.05,0.011609087
0.001214,472,0.05,0.011609087
0.0012156,470,0.05,0.011609087
0.0012172,464,0.05,0.011609087
0.0012188,470,0.05,0.011609087
0.0012204,460,0.05,0.011609087
0.001222,468,0.05,0.011609087
0.0012236,470,0.05,0.011609087
0.0012252,468,0.05,0.011609087
0.0012268,466,0.05,0.011609087
0.0012284,468,0.05,0.011609087
0.00123,466,0.05,0.011609087
0.0012316,462,0.05,0.011609087
0.0012332,464,0.05,0.011609087
0.0012348,470,0.05,0.011609087
0.0012364,472,0.05,0.011609087
0.001238,464,0.05,0.011609087
0.0012396,464,0.05,0.011609087
0.0012412,466,0.05,0.011609087
0.0012428,466,0.05,0.011609087
0.0012444,462,0.05,0.011609087
0.001246,466,0.05,0.011609087
0.0012476,464,0.05,0.011609087
0.0012492,464,0.05,0.011609087
0.0012508,470,0.05,0.011609087
0.0012524,462,0.05,0.011609087
0.001254,464,0.05,0.011609087
0.0012556,468,0.05,0.011609087
0.0012572,466,0.05,0.011609087
0.0012588,464,0.05,0.011609087
0.0012604,452,0.05,0.011609087
0.001262,458,0.05,0.011609087
0.0012636,460,0.05,0.011609087
0.0012652,454,0.05,0.011609087
0.0012668,466,0.05,0.011609087
0.0012684,464,0.05,0.011609087
0.00127,468,0.05,0.011609087
0.0012716,458,0.05,0.011609087
0.0012732,464,0.05,0.011609087
0.0012748,460,0.05,0.011609087
0.0012764,456,0.05,0.011609087
0.001278,468,0.05,0.011609087
0.0012796,460,0.05,0.011609087
0.0012812,456,0.05,0.011609087
0.0012828,452,0.05,0.011609087
0.0012844,460,0.05,0.011609087
0.001286,450,0.05,0.011609087
0.0012876,458,0.05,0.011609087
0.0012892,450,0.05,0.011609087
0.0012908,464,0.05,0.011609087
0.0012924,456,0.05,0.011609087
0.001294,458,0.05,0.011609087
0.0012956,462,0.05,0.011609087
0.0012972,452,0.05,0.011609087
0.0012988,462,0.05,0.011609087
0.0013004,454,0.05,0.011609087
0.001302,452,0.05,0.011609087
0.0013036,458,0.05,0.011609087
0.0013052,458,0.05,0.011609087
0.0013068,448,0.05,0.011609087
0.0013084,450,0.05,0.011609087
0.00131,452,0.05,0.011609087
0.0013116,447,0.05,0.011609087
0.0013132,460,0.05,0.011609087
0.0013148,452,0.05,0.011609087
0.0013164,462,0.05,0.011609087
0.001318,452,0.05,0.011609087
0.0013196,458,0.05,0.011609087
0.0013212,445,0.05,0.011609087
0.0013228,447,0.05,0.011609087
0.0013244,445,0.05,0.011609087
0.001326,447,0.05,0.011609087
0.0013276,450,0.05,0.011609087
0.0013292,454,0.05,0.011609087
0.0013308,454,0.05,0.011609087
0.0013324,448,0.05,0.011609087
0.001334,450,0.05,0.011609087
0.0013356,458,0.05,0.011609087
0.0013372,454,0.05,0.011609087
0.0013388,452,0.05,0.011609087
0.0013404,448,0.05,0.011609087
0.001342,445,0.05,0.011609087
0.0013436,448,0.05,0.011609087
0.0013452,452,0.05,0.011609087
0.0013468,448,0.05,0.011609087
0.0013484,445,0.05,0.011609087
0.00135,458,0.05,0.011609087
0.0013516,450,0.05,0.011609087
0.0013532,450,0.05,0.011609087
0.0013548,448,0.05,0.011609087
0.0013564,456,0.05,0.011609087
0.001358,458,0.05,0.011609087
0.0013596,443,0.05,0.011609087
0.0013612,443,0.05,0.011609087
0.0013628,448,0.05,0.011609087
0.0013644,441,0.05,0.011609087
0.001366,441,0.05,0.011609087
0.0013676,450,0.05,0.011609087
0.0013692,447,0.05,0.011609087
0.0013708,439,0.05,0.011609087
0.0013724,443,0.05,0.011609087
0.001374,450,0.05,0.011609087
0.0013756,445,0.05,0.011609087
0.0013772,447,0.05,0.011609087
0.0013788,445,0.05,0.011609087
0.0013804,452,0.05,0.011609087
0.001382,443,0.05,0.011609087
0.0013836,445,0.05,0.011609087
0.0013852,447,0.05,0.011609087
0.0013868,441,0.05,0.011609087
0.0013884,447,0.05,0.011609087
0.00139,445,0.05,0.011609087
0.0013916,445,0.05,0.011609087
0.0013932,431,0.05,0.011609087
0.0013948,447,0.05,0.011609087
0.0013964,443,0.05,0.011609087
0.001398,445,0.05,0.011609087
0.0013996,450,0.05,0.011609087
0.0014012,445,0.05,0.011609087
0.0014028,448,0.05,0.011609087
0.0014044,447,0.05,0.011609087
0.001406,443,0.05,0.011609087
0.0014076,445,0.05,0.011609087
0.0014092,447,0.05,0.011609087
0.0014108,445,0.05,0.011609087
0.0014124,452,0.05,0.011609087
0.001414,441,0.05,0.011609087
0.0014156,439,0.05,0.011609087
0.0014172,445,0.05,0.011609087
0.0014188,439,0.05,0.011609087
0.0014204,443,0.05,0.011609087
0.001422,448,0.05,0.011609087
0.0014236,445,0.05,0.011609087
0.0014252,443,0.05,0.011609087
0.0014268,441,0.05,0.011609087
0.0014284,445,0.05,0.011609087
0.00143,435,0.05,0.011609087
0.0014316,433,0.05,0.011609087
0.0014332,439,0.05,0.011609087
0.0014348,431,0.05,0.011609087
0.0014364,441,0.05,0.011609087
0.001438,437,0.05,0.011609087
0.0014396,445,0.05,0.011609087
0.0014412,435,0.05,0.011609087
0.0014428,439,0.05,0.011609087
0.0014444,431,0.05,0.011609087
0.001446,435,0.05,0.011609087
0.0014476,435,0.05,0.011609087
0.0014492,431,0.05,0.011609087
0.0014508,429,0.05,0.011609087
0.0014524,431,0.05,0.011609087
0.001454,435,0.05,0.011609087
0.0014556,435,0.05,0.011609087
0.0014572,431,0.05,0.011609087
0.0014588,433,0.05,0.011609087
0.0014604,441,0.05,0.011609087
0.001462,435,0.05,0.011609087
0.0014636,437,0.05,0.011609087
0.0014652,435,0.05,0.011609087
0.0014668,441,0.05,0.011609087
0.0014684,441,0.05,0.011609087
0.00147,439,0.05,0.011609087
0.0014716,431,0.05,0.011609087
0.0014732,433,0.05,0.011609087
0.0014748,433,0.05,0.011609087
0.0014764,437,0.05,0.011609087
0.001478,437,0.05,0.011609087
0.0014796,429,0.05,0.011609087
0.0014812,435,0.05,0.011609087
0.0014828,431,0.05,0.011609087
0.0014844,433,0.05,0.011609087
0.001486,427,0.05,0.011609087
0.0014876,433,0.05,0.011609087
0.0014892,439,0.05,0.011609087
0.0014908,435,0.05,0.011609087
0.0014924,441,0.05,0.011609087
0.001494,435,0.05,0.011609087
0.0014956,429,0.05,0.011609087
0.0014972,433,0.05,0.011609087
0.0014988,433,0.05,0.011609087
0.0015004,429,0.05,0.011609087
0.001502,431,0.05,0.011609087
0.0015036,439,0.05,0.011609087
0.0015052,435,0.05,0.011609087
0.0015068,437,0.05,0.011609087
0.0015084,427,0.05,0.011609087
0.00151,433,0.05,0.011609087
0.0015116,431,0.05,0.011609087
0.0015132,429,0.05,0.011609087
0.0015148,437,0.05,0.011609087
0.0015164,431,0.05,0.011609087
0.001518,429,0.05,0.011609087
0.0015196,433,0.05,0.011609087
0.0015212,433,0.05,0.011609087
0.0015228,435,0.05,0.011609087
0.0015244,437,0.05,0.011609087
0.001526,439,0.05,0.011609087
0.0015276,439,0.05,0.011609087
0.0015292,433,0.05,0.011609087
0.0015308,439,0.05,0.011609087
0.0015324,437,0.05,0.011609087
0.001534,437,0.05,0.011609087
0.0015356,427,0.05,0.011609087
0.0015372,427,0.05,0.011609087
0.0015388,433,0.05,0.011609087
0.0015404,431,0.05,0.011609087
0.001542,431,0.05,0.011609087
0.0015436,431,0.05,0.011609087
0.0015452,423,0.05,0.011609087
0.0015468,427,0.05,0.011609087
0.0015484,431,0.05,0.011609087
0.00155,435,0.05,0.011609087
0.0015516,435,0.05,0.011609087
0.0015532,431,0.05,0.011609087
0.0015548,433,0.05,0.011609087
0.0015564,433,0.05,0.011609087
0.001558,425,0.05,0.011609087
0.0015596,427,0.05,0.011609087
0.0015612,427,0.05,0.011609087
0.0015628,427,0.05,0.011609087
0.0015644,421,0.05,0.011609087
0.001566,425,0.05,0.011609087
0.0015676,421,0.05,0.011609087
0.0015692,429,0.05,0.011609087
0.0015708,429,0.05,0.011609087
0.0015724,431,0.05,0.011609087
0.001574,433,0.05,0.011609087
0.0015756,421,0.05,0.011609087
0.0015772,431,0.05,0.011609087
0.0015788,433,0.05,0.011609087
0.0015804,427,0.05,0.011609087
0.001582,429,0.05,0.011609087
0.0015836,425,0.05,0.011609087
0.0015852,429,0.05,0.011609087
0.0015868,423,0.05,0.011609087
0.0015884,425,0.05,0.011609087
0.00159,429,0.05,0.011609087
0.0015916,425,0.05,0.011609087
0.0015932,423,0.05,0.011609087
0.0015948,425,0.05,0.011609087
0.0015964,429,0.05,0.011609087
0.001598,429,0.05,0.011609087
0.0015996,435,0.05,0.011609087
