Time,OH_ppm,Relative_Uncertainty,W
5.20E-06,0.2,0.05,0.015233923
5.60E-06,0.2,0.05,0.015233923
6.40E-06,0.1,0.05,0.015233923
6.80E-06,0.2,0.05,0.015233923
7.20E-06,0.3,0.05,0.015233923
7.60E-06,0.1,0.05,0.015233923
9.20E-06,0.1,0.05,0.015233923
9.60E-06,0.3,0.05,0.015233923
1.00E-05,0.1,0.05,0.015233923
1.04E-05,0.2,0.05,0.015233923
1.12E-05,0.2,0.05,0.015233923
1.16E-05,0.1,0.05,0.015233923
1.56E-05,0.1,0.05,0.015233923
1.76E-05,0.1,0.05,0.015233923
1.92E-05,0.1,0.05,0.015233923
2.00E-05,0.2,0.05,0.015233923
2.12E-05,0.2,0.05,0.015233923
2.16E-05,0.2,0.05,0.015233923
2.20E-05,0.2,0.05,0.015233923
2.24E-05,0.2,0.05,0.015233923
2.28E-05,0.3,0.05,0.015233923
2.32E-05,0.1,0.05,0.015233923
2.36E-05,0.2,0.05,0.015233923
2.40E-05,0.4,0.05,0.015233923
2.44E-05,0.1,0.05,0.015233923
2.48E-05,0.5,0.05,0.015233923
2.52E-05,0.5,0.05,0.015233923
2.56E-05,0.7,0.05,0.015233923
2.60E-05,0.7,0.05,0.015233923
2.64E-05,0.5,0.05,0.015233923
2.68E-05,0.5,0.05,0.015233923
2.72E-05,0.4,0.05,0.015233923
2.76E-05,0.5,0.05,0.015233923
2.80E-05,0.5,0.05,0.015233923
2.84E-05,0.4,0.05,0.015233923
2.88E-05,0.3,0.05,0.015233923
2.92E-05,0.6,0.05,0.015233923
2.96E-05,0.3,0.05,0.015233923
3.12E-05,0.1,0.05,0.015233923
3.16E-05,0.1,0.05,0.015233923
3.28E-05,0.2,0.05,0.015233923
3.48E-05,0.1,0.05,0.015233923
4.08E-05,0.1,0.05,0.015233923
4.12E-05,0.2,0.05,0.015233923
4.16E-05,0.3,0.05,0.015233923
4.28E-05,0.2,0.05,0.015233923
4.52E-05,0.1,0.05,0.015233923
4.84E-05,0.3,0.05,0.015233923
4.88E-05,0.5,0.05,0.015233923
4.92E-05,0.4,0.05,0.015233923
4.96E-05,0.5,0.05,0.015233923
5.04E-05,0.2,0.05,0.015233923
5.08E-05,0.4,0.05,0.015233923
5.12E-05,0.4,0.05,0.015233923
5.16E-05,0.4,0.05,0.015233923
5.20E-05,0.7,0.05,0.015233923
5.24E-05,0.7,0.05,0.015233923
5.28E-05,0.9,0.05,0.015233923
5.32E-05,0.7,0.05,0.015233923
5.36E-05,0.5,0.05,0.015233923
5.40E-05,0.5,0.05,0.015233923
5.44E-05,0.6,0.05,0.015233923
5.48E-05,0.8,0.05,0.015233923
