Time,OH_ppm,Relative_Uncertainty,W
5.20E-06,0.2,0.05,1.00E-10
7.20E-06,0.3,0.05,1.00E-10
1.00E-05,0.1,0.05,1.00E-10
1.56E-05,0.1,0.05,1.00E-10
2.12E-05,0.2,0.05,1.00E-10
2.28E-05,0.3,0.05,1.00E-10
2.44E-05,0.1,0.05,1.00E-10
2.60E-05,0.7,0.05,1.00E-10
2.76E-05,0.5,0.05,1.00E-10
2.92E-05,0.6,0.05,1.00E-10
3.28E-05,0.2,0.05,1.00E-10
4.16E-05,0.3,0.05,1.00E-10
4.88E-05,0.5,0.05,1.00E-10
5.08E-05,0.4,0.05,1.00E-10
5.24E-05,0.7,0.05,1.00E-10
5.40E-05,0.5,0.05,1.00E-10
5.56E-05,0.6,0.05,1.00E-10
5.72E-05,0.5,0.05,1.00E-10
5.88E-05,0.4,0.05,1.00E-10
6.04E-05,0.3,0.05,1.00E-10
6.20E-05,0.2,0.05,1.00E-10
6.36E-05,0.2,0.05,1.00E-10
7.32E-05,0.2,0.05,1.00E-10
7.52E-05,0.2,0.05,1.00E-10
9.64E-05,0.1,0.05,1.00E-10
9.96E-05,0.2,0.05,1.00E-10
0.0001028,0.1,0.05,1.00E-10
0.0001052,0.2,0.05,1.00E-10
0.0001068,0.1,0.05,1.00E-10
0.0001116,0.1,0.05,1.00E-10
0.0001152,0.1,0.05,1.00E-10
0.0001376,0.2,0.05,1.00E-10
0.0001624,0.1,0.05,1.00E-10
0.0001724,0.1,0.05,1.00E-10
0.0001752,0.1,0.05,1.00E-10
0.00018,0.1,0.05,1.00E-10
0.0001864,0.1,0.05,1.00E-10
0.0001896,0.1,0.05,1.00E-10
0.0001924,0.4,0.05,1.00E-10
0.0001948,0.2,0.05,1.00E-10
0.000198,0.3,0.05,1.00E-10
0.0002,0.1,0.05,1.00E-10
0.000202,0.1,0.05,1.00E-10
0.0002228,0.1,0.05,1.00E-10
0.0002272,0.1,0.05,1.00E-10
0.0002316,0.1,0.05,1.00E-10
0.0002432,0.3,0.05,1.00E-10
0.0002452,0.2,0.05,1.00E-10
0.0002468,0.4,0.05,1.00E-10
0.0002488,0.2,0.05,1.00E-10
0.0002504,0.4,0.05,1.00E-10
0.000252,0.3,0.05,1.00E-10
0.0002536,0.3,0.05,1.00E-10
0.0002552,0.3,0.05,1.00E-10
0.0002568,0.2,0.05,1.00E-10
0.0002588,0.4,0.05,1.00E-10
0.0002608,0.3,0.05,1.00E-10
0.0002632,0.1,0.05,1.00E-10
0.0002648,0.4,0.05,1.00E-10
0.0002668,0.2,0.05,1.00E-10
0.0002684,0.2,0.05,1.00E-10
0.00027,0.2,0.05,1.00E-10
0.0002724,0.1,0.05,1.00E-10
0.0002748,0.2,0.05,1.00E-10
0.0002768,0.2,0.05,1.00E-10
0.0002792,0.3,0.05,1.00E-10
0.0002808,0.2,0.05,1.00E-10
0.0002824,0.5,0.05,1.00E-10
0.000284,0.2,0.05,1.00E-10
0.0002856,0.2,0.05,1.00E-10
0.0002872,0.5,0.05,1.00E-10
0.0002888,0.7,0.05,1.00E-10
0.0002908,0.1,0.05,1.00E-10
0.000294,0.1,0.05,1.00E-10
0.0002968,0.1,0.05,1.00E-10
0.0002988,0.2,0.05,1.00E-10
0.0003004,0.3,0.05,1.00E-10
0.0003028,0.2,0.05,1.00E-10
0.0003044,0.1,0.05,1.00E-10
0.0003116,0.1,0.05,1.00E-10
0.000314,0.1,0.05,1.00E-10
0.0003168,0.2,0.05,1.00E-10
0.0003296,0.2,0.05,1.00E-10
0.000332,0.2,0.05,1.00E-10
0.0003548,0.1,0.05,1.00E-10
0.0003568,0.3,0.05,1.00E-10
0.0003584,0.4,0.05,1.00E-10
0.00036,0.2,0.05,1.00E-10
0.0003696,0.4,0.05,1.00E-10
0.0003712,0.3,0.05,1.00E-10
0.0003728,0.2,0.05,1.00E-10
0.0003748,0.2,0.05,1.00E-10
0.0003772,0.1,0.05,1.00E-10
0.0003788,0.1,0.05,1.00E-10
0.0003808,0.3,0.05,1.00E-10
0.0003824,0.2,0.05,1.00E-10
0.000384,0.2,0.05,1.00E-10
0.0003868,0.2,0.05,1.00E-10
0.0003932,0.4,0.05,1.00E-10
0.000398,0.2,0.05,1.00E-10
0.0004008,0.1,0.05,1.00E-10
0.000412,0.1,0.05,1.00E-10
0.0004156,0.1,0.05,1.00E-10
0.0004208,0.2,0.05,1.00E-10
0.0004224,0.3,0.05,1.00E-10
0.000424,0.2,0.05,1.00E-10
0.000426,0.2,0.05,1.00E-10
0.0004276,0.5,0.05,1.00E-10
0.0004292,0.3,0.05,1.00E-10
0.0004312,0.1,0.05,1.00E-10
0.0004328,0.1,0.05,1.00E-10
0.0004368,0.1,0.05,1.00E-10
0.0004396,0.2,0.05,1.00E-10
0.000442,0.2,0.05,1.00E-10
0.0004436,0.4,0.05,1.00E-10
0.0004452,0.3,0.05,1.00E-10
0.0004468,0.2,0.05,1.00E-10
0.0004484,0.6,0.05,1.00E-10
0.00045,0.6,0.05,1.00E-10
0.0004516,0.7,0.05,1.00E-10
0.0004532,0.7,0.05,1.00E-10
0.0004548,0.4,0.05,1.00E-10
0.0004564,0.4,0.05,1.00E-10
0.000458,0.5,0.05,1.00E-10
0.0004596,0.6,0.05,1.00E-10
0.0004612,0.8,0.05,1.00E-10
0.0004628,0.7,0.05,1.00E-10
0.0004644,0.8,0.05,0.014975498
0.000466,0.8,0.05,0.014975498
0.0004676,1.1,0.05,0.014975498
0.0004692,1.4,0.05,0.014975498
0.0004708,1.5,0.05,0.014975498
0.0004724,1.6,0.05,0.014975498
0.000474,1.6,0.05,0.014975498
0.0004756,1.5,0.05,0.014975498
0.0004772,1.6,0.05,0.014975498
0.0004788,1.1,0.05,0.014975498
0.0004804,1,0.05,0.014975498
0.000482,1.1,0.05,0.014975498
0.0004836,1.2,0.05,0.014975498
0.0004852,0.9,0.05,0.014975498
0.0004868,1.2,0.05,0.014975498
0.0004884,1.2,0.05,0.014975498
0.00049,1.4,0.05,0.014975498
0.0004916,1.6,0.05,0.014975498
0.0004932,2.1,0.05,0.014975498
0.0004948,2.2,0.05,0.014975498
0.0004964,1.9,0.05,0.014975498
0.000498,1.8,0.05,0.014975498
0.0004996,1.5,0.05,0.014975498
0.0005012,1.2,0.05,0.014975498
0.0005028,1,0.05,0.014975498
0.0005044,0.8,0.05,0.014975498
0.000506,0.8,0.05,0.014975498
0.0005076,0.8,0.05,0.014975498
0.0005092,0.7,0.05,0.014975498
0.0005108,0.5,0.05,0.014975498
0.0005124,0.8,0.05,0.014975498
0.000514,0.7,0.05,0.014975498
0.0005156,0.9,0.05,0.014975498
0.0005172,0.8,0.05,0.014975498
0.0005188,0.7,0.05,0.014975498
0.0005204,1,0.05,0.014975498
0.000522,0.7,0.05,0.014975498
0.0005236,0.9,0.05,0.014975498
0.0005252,0.8,0.05,0.014975498
0.0005268,0.6,0.05,0.014975498
0.0005284,0.8,0.05,0.014975498
0.00053,1,0.05,0.014975498
0.0005316,1.1,0.05,0.014975498
0.0005332,1.1,0.05,0.014975498
0.0005348,1.3,0.05,0.014975498
0.0005364,0.9,0.05,0.014975498
0.000538,1.3,0.05,0.014975498
0.0005396,1.3,0.05,0.014975498
0.0005412,0.9,0.05,0.014975498
0.0005428,1.1,0.05,0.014975498
0.0005444,1.1,0.05,0.014975498
0.000546,1,0.05,0.014975498
0.0005476,0.8,0.05,0.014975498
0.0005492,1.1,0.05,0.014975498
0.0005508,1,0.05,0.014975498
0.0005524,1.1,0.05,0.014975498
0.000554,1,0.05,0.014975498
0.0005556,1.1,0.05,0.014975498
0.0005572,1.1,0.05,0.014975498
0.0005588,1.1,0.05,0.014975498
0.0005604,1.2,0.05,0.014975498
0.000562,0.8,0.05,0.014975498
0.0005636,1.1,0.05,0.014975498
0.0005652,1,0.05,0.014975498
0.0005668,1.1,0.05,0.014975498
0.0005684,0.8,0.05,0.014975498
0.00057,1.1,0.05,0.014975498
0.0005716,0.9,0.05,0.014975498
0.0005732,0.9,0.05,0.014975498
0.0005748,1.3,0.05,0.014975498
0.0005764,1.1,0.05,0.014975498
0.000578,1.3,0.05,0.014975498
0.0005796,1.3,0.05,0.014975498
0.0005812,1.6,0.05,0.014975498
0.0005828,1.4,0.05,0.014975498
0.0005844,1.2,0.05,0.014975498
0.000586,1.4,0.05,0.014975498
0.0005876,1.5,0.05,0.014975498
0.0005892,1.4,0.05,0.014975498
0.0005908,1.4,0.05,0.014975498
0.0005924,1.3,0.05,0.014975498
0.000594,1.5,0.05,0.014975498
0.0005956,1.5,0.05,0.014975498
0.0005972,1.7,0.05,0.014975498
0.0005988,1.3,0.05,0.014975498
0.0006004,1.4,0.05,0.014975498
0.000602,1.2,0.05,0.014975498
0.0006036,1.3,0.05,0.014975498
0.0006052,1.2,0.05,0.014975498
0.0006068,1.1,0.05,0.014975498
0.0006084,1.1,0.05,0.014975498
0.00061,1.1,0.05,0.014975498
0.0006116,1.1,0.05,0.014975498
0.0006132,1,0.05,0.014975498
0.0006148,1.4,0.05,0.014975498
0.0006164,1.2,0.05,0.014975498
0.000618,1.1,0.05,0.014975498
0.0006196,1.5,0.05,0.014975498
0.0006212,1.2,0.05,0.014975498
0.0006228,1.2,0.05,0.014975498
0.0006244,1.4,0.05,0.014975498
0.000626,1.2,0.05,0.014975498
0.0006276,1.3,0.05,0.014975498
0.0006292,1.1,0.05,0.014975498
0.0006308,1.2,0.05,0.014975498
0.0006324,1.2,0.05,0.014975498
0.000634,1.4,0.05,0.014975498
0.0006356,1,0.05,0.014975498
0.0006372,1.3,0.05,0.014975498
0.0006388,1.2,0.05,0.014975498
0.0006404,1.2,0.05,0.014975498
0.000642,1.8,0.05,0.014975498
0.0006436,1.8,0.05,0.014975498
0.0006452,1.6,0.05,0.014975498
0.0006468,1.9,0.05,0.014975498
0.0006484,1.7,0.05,0.014975498
0.00065,1.6,0.05,0.014975498
0.0006516,1.8,0.05,0.014975498
0.0006532,1.9,0.05,0.014975498
0.0006548,1.9,0.05,0.014975498
0.0006564,1.5,0.05,0.014975498
0.000658,1.9,0.05,0.014975498
0.0006596,1.9,0.05,0.014975498
0.0006612,1.8,0.05,0.014975498
0.0006628,2.1,0.05,0.014975498
0.0006644,1.9,0.05,0.014975498
0.000666,1.9,0.05,0.014975498
0.0006676,2,0.05,0.014975498
0.0006692,1.9,0.05,0.014975498
0.0006708,1.9,0.05,0.014975498
0.0006724,1.5,0.05,0.014975498
0.000674,1.5,0.05,0.014975498
0.0006756,1.4,0.05,0.014975498
0.0006772,1.5,0.05,0.014975498
0.0006788,1.6,0.05,0.014975498
0.0006804,1.5,0.05,0.014975498
0.000682,1.7,0.05,0.014975498
0.0006836,1.6,0.05,0.014975498
0.0006852,1.9,0.05,0.014975498
0.0006868,1.8,0.05,0.014975498
0.0006884,1.6,0.05,0.014975498
0.00069,1.7,0.05,0.014975498
0.0006916,1.6,0.05,0.014975498
0.0006932,1.9,0.05,0.014975498
0.0006948,2,0.05,0.014975498
0.0006964,1.8,0.05,0.014975498
0.000698,1.8,0.05,0.014975498
0.0006996,1.9,0.05,0.014975498
