Time,OH_ppm,Relative_Uncertainty,W
4.00E-06,0.2,0.05,1.00E-10
6.40E-06,0.2,0.05,1.00E-10
8.00E-06,0.1,0.05,1.00E-10
1.12E-05,0.6,0.05,1.00E-10
1.40E-05,0.1,0.05,1.00E-10
2.04E-05,0.2,0.05,1.00E-10
2.72E-05,0.1,0.05,1.00E-10
3.24E-05,0.2,0.05,1.00E-10
3.48E-05,0.3,0.05,1.00E-10
4.20E-05,0.1,0.05,1.00E-10
4.64E-05,0.1,0.05,1.00E-10
5.12E-05,0.1,0.05,1.00E-10
5.32E-05,0.1,0.05,1.00E-10
5.56E-05,0.3,0.05,1.00E-10
5.88E-05,0.1,0.05,1.00E-10
6.20E-05,0.4,0.05,1.00E-10
6.36E-05,0.2,0.05,1.00E-10
7.72E-05,0.2,0.05,1.00E-10
8.08E-05,0.3,0.05,1.00E-10
8.56E-05,0.1,0.05,1.00E-10
8.88E-05,0.1,0.05,1.00E-10
9.28E-05,0.1,0.05,1.00E-10
9.88E-05,0.2,0.05,1.00E-10
0.0001012,0.2,0.05,1.00E-10
0.0001096,0.1,0.05,1.00E-10
0.0001204,0.3,0.05,1.00E-10
0.000122,0.4,0.05,1.00E-10
0.0001236,0.2,0.05,1.00E-10
0.0001252,0.4,0.05,1.00E-10
0.0001272,0.2,0.05,1.00E-10
0.0001316,0.1,0.05,1.00E-10
0.0001408,0.1,0.05,1.00E-10
0.000144,0.2,0.05,1.00E-10
0.000146,0.2,0.05,1.00E-10
0.0001504,0.1,0.05,1.00E-10
0.0001548,0.1,0.05,1.00E-10
0.0001684,0.4,0.05,1.00E-10
0.00017,0.1,0.05,1.00E-10
0.0001724,0.1,0.05,1.00E-10
0.0001748,0.7,0.05,1.00E-10
0.0001768,0.2,0.05,1.00E-10
0.0001784,0.4,0.05,1.00E-10
0.0001812,0.2,0.05,1.00E-10
0.0001828,0.2,0.05,1.00E-10
0.0001844,0.2,0.05,1.00E-10
0.000186,0.1,0.05,1.00E-10
0.0001876,0.9,0.05,1.00E-10
0.0001892,0.4,0.05,1.00E-10
0.0001908,0.6,0.05,1.00E-10
0.0001924,0.6,0.05,1.00E-10
0.000194,0.2,0.05,1.00E-10
0.000196,0.2,0.05,1.00E-10
0.0001984,0.4,0.05,1.00E-10
0.0002004,0.4,0.05,1.00E-10
0.000202,0.2,0.05,1.00E-10
0.0002056,0.3,0.05,1.00E-10
0.0002096,0.2,0.05,1.00E-10
0.0002112,0.4,0.05,1.00E-10
0.0002128,0.7,0.05,1.00E-10
0.0002144,0.5,0.05,1.00E-10
0.000216,0.2,0.05,1.00E-10
0.0002176,0.5,0.05,1.00E-10
0.0002192,0.2,0.05,1.00E-10
0.0002208,0.4,0.05,1.00E-10
0.0002224,0.5,0.05,1.00E-10
0.000224,0.3,0.05,1.00E-10
0.000226,0.3,0.05,1.00E-10
0.0002284,0.3,0.05,1.00E-10
0.0002304,0.2,0.05,1.00E-10
0.0002324,0.2,0.05,1.00E-10
0.0002344,0.2,0.05,1.00E-10
0.0002396,0.1,0.05,1.00E-10
0.0002428,0.1,0.05,1.00E-10
0.0002456,0.1,0.05,1.00E-10
0.0002524,0.4,0.05,1.00E-10
0.0002548,0.3,0.05,1.00E-10
0.0002564,0.5,0.05,1.00E-10
0.000258,0.3,0.05,1.00E-10
0.0002596,0.3,0.05,1.00E-10
0.0002612,0.7,0.05,1.00E-10
0.0002628,0.4,0.05,1.00E-10
0.0002644,0.6,0.05,1.00E-10
0.000266,0.6,0.05,1.00E-10
0.0002676,0.9,0.05,1.00E-10
0.0002692,0.5,0.05,1.00E-10
0.0002708,0.5,0.05,1.00E-10
0.0002724,0.4,0.05,1.00E-10
0.000274,0.4,0.05,1.00E-10
0.0002756,0.7,0.05,1.00E-10
0.0002772,0.7,0.05,1.00E-10
0.0002788,0.8,0.05,1.00E-10
0.0002804,0.7,0.05,1.00E-10
0.000282,0.4,0.05,1.00E-10
0.0002836,0.1,0.05,1.00E-10
0.0002852,0.3,0.05,1.00E-10
0.0002884,0.1,0.05,1.00E-10
0.000294,0.1,0.05,1.00E-10
0.000296,0.2,0.05,1.00E-10
0.0002976,0.3,0.05,1.00E-10
0.0002996,0.3,0.05,1.00E-10
0.0003012,0.5,0.05,1.00E-10
0.0003028,0.4,0.05,1.00E-10
0.0003044,0.4,0.05,1.00E-10
0.000306,0.3,0.05,1.00E-10
0.0003076,0.3,0.05,1.00E-10
0.0003092,0.3,0.05,1.00E-10
0.0003108,0.1,0.05,1.00E-10
0.0003132,0.1,0.05,1.00E-10
0.0003156,0.2,0.05,1.00E-10
0.000318,0.3,0.05,1.00E-10
0.0003196,0.4,0.05,1.00E-10
0.0003212,0.2,0.05,1.00E-10
0.0003228,0.3,0.05,1.00E-10
0.0003244,0.4,0.05,1.00E-10
0.000326,0.2,0.05,1.00E-10
0.000328,0.3,0.05,1.00E-10
0.0003296,0.3,0.05,1.00E-10
0.0003316,0.4,0.05,1.00E-10
0.0003332,0.1,0.05,1.00E-10
0.0003348,0.2,0.05,1.00E-10
0.0003372,0.3,0.05,1.00E-10
0.0003388,0.5,0.05,1.00E-10
0.0003404,0.6,0.05,1.00E-10
0.000342,0.4,0.05,1.00E-10
0.0003436,0.9,0.05,1.00E-10
0.0003452,0.6,0.05,1.00E-10
0.0003468,0.8,0.05,1.00E-10
0.0003484,0.3,0.05,1.00E-10
0.00035,0.5,0.05,1.00E-10
0.0003516,0.4,0.05,1.00E-10
0.0003532,0.4,0.05,1.00E-10
0.0003548,0.7,0.05,1.00E-10
0.0003564,0.6,0.05,1.00E-10
0.000358,0.5,0.05,1.00E-10
0.0003596,0.8,0.05,1.00E-10
0.0003612,0.8,0.05,1.00E-10
0.0003628,0.7,0.05,1.00E-10
0.0003644,0.9,0.05,1.00E-10
0.000366,0.9,0.05,1.00E-10
0.0003676,1,0.05,1.00E-10
0.0003692,1.2,0.05,1.00E-10
0.0003708,1.2,0.05,1.00E-10
0.0003724,1.2,0.05,1.00E-10
0.000374,0.8,0.05,1.00E-10
0.0003756,0.7,0.05,1.00E-10
0.0003772,0.9,0.05,1.00E-10
0.0003788,1.2,0.05,1.00E-10
0.0003804,0.8,0.05,1.00E-10
0.000382,0.6,0.05,1.00E-10
0.0003836,0.7,0.05,1.00E-10
0.0003852,1.1,0.05,1.00E-10
0.0003868,1,0.05,1.00E-10
0.0003884,1.2,0.05,1.00E-10
0.00039,1,0.05,1.00E-10
0.0003916,1.1,0.05,1.00E-10
0.0003932,1,0.05,1.00E-10
0.0003948,0.7,0.05,1.00E-10
0.0003964,1,0.05,1.00E-10
0.000398,0.2,0.05,1.00E-10
