Time,OH_ppm,Relative_Uncertainty,W
6.16E-05,40.99089469,0.05,0.055300126
6.24E-05,42.91900169,0.05,0.055300126
6.32E-05,44.9243943,0.05,0.055300126
6.40E-05,47.0091525,0.05,0.055300126
6.48E-05,49.17531736,0.05,0.055300126
6.56E-05,51.42488049,0.05,0.055300126
6.64E-05,53.75977276,0.05,0.055300126
6.73E-05,56.18185225,0.05,0.055300126
6.81E-05,58.6928916,0.05,0.055300126
6.89E-05,61.29456478,0.05,0.055300126
6.97E-05,63.98843319,0.05,0.055300126
7.05E-05,66.77593132,0.05,0.055300126
7.13E-05,69.65835193,0.05,0.055300126
7.21E-05,72.63683083,0.05,0.055300126
7.29E-05,75.7123315,0.05,0.055300126
7.37E-05,78.88562942,0.05,0.055300126
7.45E-05,82.15729646,0.05,0.055300126
7.53E-05,85.52768538,0.05,0.055300126
7.61E-05,88.99691454,0.05,0.055300126
7.69E-05,92.56485305,0.05,0.055300126
7.77E-05,96.23110658,0.05,0.055300126
7.85E-05,99.99500388,0.05,0.055300126
7.93E-05,103.8555843,0.05,0.055300126
8.01E-05,107.8115866,0.05,0.055300126
8.09E-05,111.8614387,0.05,0.055300126
8.17E-05,116.00325,0.05,0.055300126
8.25E-05,120.234804,0.05,0.055300126
8.33E-05,124.5535541,0.05,0.055300126
8.41E-05,128.9566214,0.05,0.055300126
8.49E-05,133.4407936,0.05,0.055300126
8.57E-05,138.0025282,0.05,0.055300126
8.65E-05,142.6379564,0.05,0.055300126
8.73E-05,147.3428912,0.05,0.055300126
8.81E-05,152.1128367,0.05,0.055300126
8.90E-05,156.9430013,0.05,0.055300126
8.98E-05,161.828313,0.05,0.055300126
9.06E-05,166.7634374,0.05,0.055300126
9.14E-05,171.742798,0.05,0.055300126
9.22E-05,176.7605997,0.05,0.055300126
9.30E-05,181.8108534,0.05,0.055300126
9.38E-05,186.8874034,0.05,0.055300126
9.46E-05,191.9839565,0.05,0.055300126
9.54E-05,197.094112,0.05,0.055300126
9.62E-05,202.2113938,0.05,0.055300126
9.70E-05,207.3292827,0.05,0.055300126
9.78E-05,212.4412497,0.05,0.055300126
9.86E-05,217.5407883,0.05,0.055300126
9.94E-05,222.6214487,0.05,0.055300126
0.000100202,227.6768693,0.05,0.055300126
0.000101006,232.7008092,0.05,0.055300126
0.000101809,237.687178,0.05,0.055300126
0.000102613,242.6300646,0.05,0.055300126
0.000103417,247.5237649,0.05,0.055300126
0.00010422,252.3628063,0.05,0.055300126
0.000105024,257.1419708,0.05,0.055300126
0.000105597,260.510046,0.05,0.055300126
0.00010617,263.8434644,0.05,0.055300126
0.000106743,267.1406029,0.05,0.055300126
0.000107316,270.3999195,0.05,0.055300126
0.000107889,273.6199551,0.05,0.055300126
0.000108462,276.7993358,0.05,0.055300126
0.000109035,279.9367737,0.05,0.055300126
0.000109608,283.0310682,0.05,0.055300126
