Temp,k_original,,Temp_optimized,k_optimized,,,Baldwin_and_Walker_T,Baldwin_and_Walker_k,,,Temp_Kyser,k_Kyser,,Temp_Srindharan,k_Sridharan,,Baldwin_and_Walker_T_reinturp,Baldwin_and_Walker_k_reinturp
250,4.3804E+13,,250,3.91783E+13,,,773,1.83599E+14,,,300,4.93284E+13,,298,4.01132E+13,,773,6.20791E+13
251,4.38114E+13,,251,3.92385E+13,,,,,,,300,4.22032E+13,,298,4.10046E+13,,,
252,4.3819E+13,,252,3.92985E+13,,,,,,,300,4.98765E+13,,298,3.87761E+13,,,
253,4.38267E+13,,253,3.93583E+13,,,,,,,300,4.82322E+13,,298,4.10046E+13,,,
254,4.38346E+13,,254,3.94179E+13,,,,,,,300,5.09726E+13,,298,4.10046E+13,,,
255,4.38425E+13,,255,3.94773E+13,,,,,,,300,4.87803E+13,,298,4.10046E+13,,,
256,4.38507E+13,,256,3.95365E+13,,,,,,,300,4.60398E+13,,298,3.69933E+13,,,
257,4.38589E+13,,257,3.95955E+13,,,,,,,300,4.82322E+13,,298,3.78847E+13,,,
258,4.38673E+13,,258,3.96544E+13,,,,,,,260,4.62133E+13,,298,3.78847E+13,,,
259,4.38758E+13,,259,3.9713E+13,,,,,,,260,4.62133E+13,,298,3.83304E+13,,,
260,4.38845E+13,,260,3.97714E+13,,,,,,,260,4.37017E+13,,298,3.7439E+13,,,
261,4.38932E+13,,261,3.98296E+13,,,,,,,260,4.52086E+13,,298,3.7439E+13,,,
262,4.39021E+13,,262,3.98877E+13,,,,,,,260,4.5711E+13,,298,3.83304E+13,,,
263,4.39111E+13,,263,3.99456E+13,,,,,,,245,4.4999E+13,,298,3.65476E+13,,,
264,4.39203E+13,,264,4.00032E+13,,,,,,,,,,298,4.01132E+13,,,
265,4.39295E+13,,265,4.00607E+13,,,,,,,,,,298,3.96675E+13,,,
266,4.39389E+13,,266,4.0118E+13,,,,,,,,,,298,3.96675E+13,,,
267,4.39484E+13,,267,4.01752E+13,,,,,,,,,,298,4.1896E+13,,,
268,4.3958E+13,,268,4.02321E+13,,,,,,,,,,298,4.10046E+13,,,
269,4.39677E+13,,269,4.02889E+13,,,,,,,,,,298,4.10046E+13,,,
270,4.39775E+13,,270,4.03455E+13,,,,,,,,,,298,4.05589E+13,,,
271,4.39874E+13,,271,4.04019E+13,,,,,,,,,,298,4.05589E+13,,,
272,4.39974E+13,,272,4.04581E+13,,,,,,,,,,298,4.10046E+13,,,
273,4.40075E+13,,273,4.05142E+13,,,,,,,,,,298,3.7439E+13,,,
274,4.40178E+13,,274,4.05701E+13,,,,,,,,,,298,3.78847E+13,,,
275,4.40281E+13,,275,4.06258E+13,,,,,,,,,,298,3.65476E+13,,,
276,4.40385E+13,,276,4.06813E+13,,,,,,,,,,298,3.7439E+13,,,
277,4.4049E+13,,277,4.07367E+13,,,,,,,,,,298,3.65476E+13,,,
278,4.40596E+13,,278,4.07919E+13,,,,,,,,,,298,3.61019E+13,,,
279,4.40703E+13,,279,4.0847E+13,,,,,,,,,,298,3.69933E+13,,,
280,4.40811E+13,,280,4.09018E+13,,,,,,,,,,298,3.78847E+13,,,
281,4.4092E+13,,281,4.09565E+13,,,,,,,,,,298,3.7439E+13,,,
282,4.4103E+13,,282,4.10111E+13,,,,,,,,,,298,3.87761E+13,,,
283,4.41141E+13,,283,4.10655E+13,,,,,,,,,,298,3.87761E+13,,,
284,4.41252E+13,,284,4.11197E+13,,,,,,,,,,,,,,
285,4.41365E+13,,285,4.11738E+13,,,,,,,,,,,,,,
286,4.41478E+13,,286,4.12277E+13,,,,,,,,,,,,,,
287,4.41592E+13,,287,4.12814E+13,,,,,,,,,,,,,,
288,4.41707E+13,,288,4.1335E+13,,,,,,,,,,,,,,
289,4.41822E+13,,289,4.13884E+13,,,,,,,,,,,,,,
290,4.41939E+13,,290,4.14417E+13,,,,,,,,,,,,,,
291,4.42056E+13,,291,4.14948E+13,,,,,,,,,,,,,,
292,4.42174E+13,,292,4.15478E+13,,,,,,,,,,,,,,
293,4.42292E+13,,293,4.16006E+13,,,,,,,,,,,,,,
294,4.42412E+13,,294,4.16533E+13,,,,,,,,,,,,,,
295,4.42532E+13,,295,4.17058E+13,,,,,,,,,,,,,,
296,4.42653E+13,,296,4.17582E+13,,,,,,,,,,,,,,
297,4.42774E+13,,297,4.18104E+13,,,,,,,,,,,,,,
298,4.42896E+13,,298,4.18625E+13,,,,,,,,,,,,,,
299,4.43019E+13,,299,4.19144E+13,,,,,,,,,,,,,,
300,4.43143E+13,,300,4.19662E+13,,,,,,,,,,,,,,
301,4.43267E+13,,301,4.20178E+13,,,,,,,,,,,,,,
302,4.43392E+13,,302,4.20693E+13,,,,,,,,,,,,,,
