Time,OH_mol/cm^3
2.16E-05,3.14E-13
5.29E-05,6.13E-13
9.79E-05,9.55E-13
1.35E-04,1.38E-12
1.74E-04,1.76E-12
2.12E-04,2.06E-12
2.55E-04,2.49E-12
2.92E-04,2.84E-12
3.29E-04,3.05E-12
3.68E-04,3.30E-12
0.000413019,3.68587E-12
0.000446268,3.95152E-12
0.000491191,4.20056E-12
0.000538117,4.54923E-12
0.000577203,4.79827E-12
0.000629966,5.14694E-12
0.000676834,5.39598E-12
0.000719753,5.57862E-12
0.000758809,5.77785E-12
0.000805589,5.91068E-12
0.000852399,6.09331E-12
0.000899238,6.29255E-12
0.000944072,6.42537E-12
0.000992769,6.50838E-12
0.001051252,6.69102E-12
0.001099977,6.80724E-12
0.001156456,6.89025E-12
0.00120704,6.89025E-12
0.001257682,6.98987E-12
