Time,O_ppm
2.79E-14,0.898
2.79E-10,0.897999135
3.07E-09,0.897990481
1.22E-08,0.897962276
3.18E-08,0.897901371
6.87E-08,0.897787085
1.35E-07,0.897583072
2.50E-07,0.897224075
4.58E-07,0.896581727
9.02E-07,0.895208054
1.35E-06,0.893836496
1.79E-06,0.89246705
2.23E-06,0.891099712
3.11E-06,0.888416396
3.98E-06,0.885741203
4.85E-06,0.883074106
5.73E-06,0.880415081
6.60E-06,0.877764103
8.30E-06,0.872634836
1.13E-05,0.863693009
1.33E-05,0.857700831
1.53E-05,0.851750434
1.73E-05,0.845841525
1.94E-05,0.839973815
2.25E-05,0.830870189
2.57E-05,0.821865728
2.88E-05,0.812959347
3.47E-05,0.796721483
4.05E-05,0.780809602
4.64E-05,0.765217142
5.22E-05,0.749937677
5.81E-05,0.734964904
6.74E-05,0.71161878
7.68E-05,0.689018179
8.61E-05,0.667139227
9.55E-05,0.645958822
0.000104857,0.625454608
0.000120211,0.593227658
0.000135566,0.562670776
0.00015092,0.533697234
0.000166274,0.506224821
0.000181628,0.480175615
0.000196982,0.455475754
0.000212336,0.432055221
0.00022769,0.409847646
0.000243044,0.388790112
0.000258398,0.368822976
0.000273752,0.349889697
0.000289106,0.331936673
0.00030446,0.314913089
0.000319814,0.29877077
0.000335168,0.283464045
0.000350522,0.268949613
0.000365876,0.255186423
0.00038123,0.242135554
0.000396584,0.229760107
0.000411938,0.218025097
0.000427292,0.206897353
0.000442647,0.196345426
