H2O2 + OH <=> H2O + HO2,2 HO2 <=> H2O2 + O2,HO2 + OH <=> H2O + O2,2 OH <=> H2O + O,CH3 + HO2 <=> CH4 + O2,CH3 + HO2 <=> CH3O + OH,H + HO2 <=> 2 OH,H + HO2 <=> H2 + O2
3,2.3,2,1.4,2.3,0.262,0.01,0.1
0.03,0.03,0.03,0.03,0.1,1,1.00E-06,2.3
0.1,0.1,0.1,0.1,1,,0.01,1.00E-06
0.18,0.18,0.18,0.18,,,2,0.18
0.18,0.18,0.18,0.18,,,0.7,
1,1,1,1,,,0.7,
0.1,0.405465108,0.405465108,1.4,,,1.00E-06,
0.262,,2,0.03,,,1.00E-06,
,,0.03,0.1,,,2,
,,0.1,0.18,,,0.1,
,,0.18,,,,0.7,
,,0.405465108,,,,0.1,
,,0.693147181,,,,0.7,
,,,,,,1.00E-06,
,,,,,,1.00E-06,
,,,,,,1.00E-06,
,,,,,,1.00E-02,
,,,,,,1.00E-06,
,,,,,,1.00E-06,
,,,,,,7.00E-01,
