Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
﻿2 OH (+M) <=> H2O2 (+M),1.098612289,3,12552
H2O2 + OH <=> H2O + HO2,1.00E-06,1.00E-09,1.00E-09
2 HO2 <=> H2O2 + O2,1.00E-06,1.00E-09,1.00E-09
HO2 + OH <=> H2O + O2,1.00E-06,1.00E-09,1.00E-09
2 OH <=> H2O + O,1.00E-06,1.00E-09,1.00E-09
H + HO2 <=> H2 + O2,0.693147181,1.00E-09,1.00E-09
H + HO2 <=> 2 OH,0.693147181,1.00E-09,1.00E-09
H + O2 <=> O + OH,0.139761942,1.00E-09,1.00E-09
H2 + O <=> H + OH,0.470003629,1.00E-09,1.00E-09
H2 + O <=> H + OH,0.470003629,1.00E-09,1.00E-09
H2 + OH <=> H + H2O,0.182321557,1.00E-09,1.00E-09
H2 + M <=> 2 H + M,1.098612289,1.00E-09,1.00E-09
AR + H2 <=> AR + 2 H,0.693147181,1.00E-09,1.00E-09
H2 + HE <=> 2 H + HE,1.098612289,1.00E-09,1.00E-09
2 O + M <=> O2 + M,0.262364264,1.00E-09,1.00E-09
AR + 2 O <=> AR + O2,0.693147181,1.00E-09,1.00E-09
HE + 2 O <=> HE + O2,1.609437912,1.00E-09,1.00E-09
H + O + M <=> OH + M,1.609437912,1.00E-09,1.00E-09
H2O + M <=> H + OH + M,1.16315081,1.00E-09,1.00E-09
2 H2O <=> H + H2O + OH,1.16315081,1.00E-09,1.00E-09
H + O2 (+M) <=> HO2 (+M),0.693147181,1.00E-09,1.00E-09
HO2 + O <=> O2 + OH,1.098612289,1.00E-09,1.00E-09
H + H2O2 <=> H2O + OH,0.693147181,1.00E-09,1.00E-09
H + H2O2 <=> H2 + HO2,0.693147181,1.00E-09,1.00E-09
H2O2 + O <=> HO2 + OH,1.098612289,1.00E-09,1.00E-09
