Time,H2O_ppm,Relative_Uncertainty,W
1.16E-05,3.02797542,0.05,1.00E-09
1.94E-05,2.955206986,0.05,1.00E-09
2.72E-05,2.882438551,0.05,1.00E-09
3.75E-05,2.785413972,0.05,1.00E-09
4.79E-05,2.688389392,0.05,1.00E-09
5.43E-05,2.62774903,0.05,1.00E-09
6.34E-05,2.542852523,0.05,1.00E-09
7.12E-05,2.470084088,0.05,1.00E-09
7.89E-05,2.397315653,0.05,1.00E-09
8.67E-05,2.324547219,0.05,1.00E-09
9.70E-05,2.227522639,0.05,1.00E-09
1.09E-04,2.118369987,0.05,1.00E-09
1.20E-04,2.009217335,0.05,1.00E-09
1.31E-04,1.912192755,0.05,1.00E-09
1.40E-04,1.827296248,0.05,1.00E-09
1.50E-04,1.730271669,0.05,1.00E-09
1.63E-04,1.608990944,0.05,1.00E-09
1.75E-04,1.499838292,0.05,1.00E-09
1.86E-04,1.39068564,0.05,1.00E-09
2.01E-04,1.257276843,0.05,1.00E-09
2.13E-04,10.51099612,0.05,1.00E-09
2.26E-04,1.014715395,0.05,1.00E-09
2.37E-04,10.29269082,0.05,1.00E-09
2.48E-04,10.18353816,0.05,1.00E-09
2.60E-04,10.07438551,0.05,1.00E-09
2.73E-04,9.953104787,0.05,1.00E-09
2.85E-04,19.21895213,0.05,1.00E-09
2.96E-04,19.10979948,0.05,1.00E-09
3.08E-04,28.37564683,0.05,1.00E-09
3.25E-04,28.21798189,0.05,1.00E-09
3.38E-04,37.47170116,0.05,1.00E-09
3.48E-04,56.12467658,0.05,1.00E-09
3.61E-04,74.75339586,0.05,1.00E-09
3.75E-04,93.36998706,0.05,1.20E-01
3.87E-04,102.6358344,0.05,1.20E-01
3.95E-04,121.313066,0.05,1.20E-01
4.09E-04,139.9296572,0.05,1.20E-01
4.17E-04,158.6068887,0.05,1.20E-01
4.26E-04,186.6469922,0.05,1.20E-01
4.33E-04,214.6992238,0.05,1.20E-01
4.44E-04,242.7271992,0.05,1.20E-01
4.53E-04,289.5173027,0.05,1.20E-01
4.62E-04,308.1824062,0.05,1.20E-01
4.70E-04,345.6096378,0.05,1.20E-01
4.76E-04,373.6739974,0.05,1.20E-01
4.84E-04,411.101229,0.05,1.20E-01
4.90E-04,448.5405886,0.05,1.20E-01
4.97E-04,485.9799483,0.05,1.20E-01
5.05E-04,532.7821798,0.05,1.20E-01
5.14E-04,579.5722833,0.05,1.20E-01
5.20E-04,626.3866429,0.05,1.20E-01
5.28E-04,682.5638745,0.05,1.20E-01
5.36E-04,729.3661061,0.05,1.20E-01
5.43E-04,785.5433376,0.05,1.20E-01
5.51E-04,841.7205692,0.05,1.20E-01
5.59E-04,907.2728008,0.05,1.20E-01
5.67E-04,963.4500323,0.05,1.20E-01
5.74E-04,1019.627264,0.05,1.20E-01
5.83E-04,1094.542367,0.05,1.20E-01
5.91E-04,1141.344599,0.05,1.20E-01
5.98E-04,1197.533959,0.05,1.20E-01
6.07E-04,1263.074062,0.05,1.20E-01
6.14E-04,1309.876294,0.05,1.20E-01
6.24E-04,1366.041397,0.05,1.20E-01
6.33E-04,1422.206501,0.05,1.20E-01
6.40E-04,1478.383732,0.05,1.20E-01
6.52E-04,1534.52458,0.05,1.20E-01
6.62E-04,1581.302555,0.05,1.20E-01
6.70E-04,1609.354787,0.05,1.20E-01
6.78E-04,1646.782018,0.05,1.20E-01
6.84E-04,1684.221378,0.05,1.20E-01
6.95E-04,1721.624353,0.05,1.20E-01
7.04E-04,1749.664457,0.05,1.20E-01
7.13E-04,1768.32956,0.05,1.20E-01
7.21E-04,1787.006792,0.05,1.20E-01
7.30E-04,1815.046895,0.05,1.20E-01
7.44E-04,1833.663486,0.05,1.20E-01
7.54E-04,1861.691462,0.05,1.20E-01
7.66E-04,1870.957309,0.05,1.20E-01
7.75E-04,1889.622413,0.05,1.20E-01
7.85E-04,1898.900388,0.05,1.20E-01
7.96E-04,1898.803364,0.05,1.20E-01
8.03E-04,1908.105595,0.05,1.20E-01
8.12E-04,1917.395699,0.05,1.20E-01
8.24E-04,1926.661546,0.05,1.20E-01
8.34E-04,1935.939521,0.05,1.20E-01
8.43E-04,1945.229625,0.05,1.20E-01
8.51E-04,1945.156856,0.05,1.20E-01
8.60E-04,1935.69696,0.05,1.20E-01
8.71E-04,1944.974935,0.05,1.20E-01
8.81E-04,1944.877911,0.05,1.20E-01
8.91E-04,1944.780886,0.05,1.20E-01
9.04E-04,1954.034605,0.05,1.20E-01
9.13E-04,1963.324709,0.05,1.20E-01
9.26E-04,1953.828428,0.05,1.20E-01
9.38E-04,1953.719276,0.05,1.20E-01
9.47E-04,1953.634379,0.05,1.20E-01
9.59E-04,1953.525226,0.05,1.20E-01
9.70E-04,1953.416074,0.05,1.20E-01
9.79E-04,1962.706177,0.05,1.20E-01
9.91E-04,1962.597025,0.05,1.20E-01
1.00E-03,1962.512128,0.05,1.20E-01
