Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
_2 OH (+M) <=> H2O2 (+M),1.098612289,3,12552
H2O2 + OH <=> H2O + HO2,1.00E-06,1.00E-09,1.00E-09
2 HO2 <=> H2O2 + O2,1.00E-06,1.00E-09,1.00E-09
HO2 + OH <=> H2O + O2,1.00E-06,1.00E-09,1.00E-09
2 OH <=> H2O + O,1.00E-06,1.00E-09,1.00E-09
CH3 + HO2 <=> CH4 + O2,1.00E-06,1.00E-09,1.00E-09
CH3 + HO2 <=> CH3O + OH,1.00E-06,1.00E-09,1.00E-09
CH4 + OH <=> CH3 + H2O,1.098612289,3,12552
H + O2 => O + OH,1.00E-09,1.00E-09,1.00E-09
O + OH => H + O2,1.00E-09,1.00E-09,1.00E-09
H2 + O => H + OH,1.00E-09,1.00E-09,1.00E-09
H + OH => H2 + O,1.00E-09,1.00E-09,1.00E-09
H2 + OH => H + H2O,1.00E-09,1.00E-09,1.00E-09
H + H2O => H2 + OH,1.00E-09,1.00E-09,1.00E-09
H2O + O => 2 OH,1.00E-09,1.00E-09,1.00E-09
H2 + M => 2 H + M,1.00E-09,1.00E-09,1.00E-09
2 H + M => H2 + M,1.00E-09,1.00E-09,1.00E-09
O2 + M => 2 O + M,1.00E-09,1.00E-09,1.00E-09
2 O + M => O2 + M,1.00E-09,1.00E-09,1.00E-09
OH + M => H + O + M,1.00E-09,1.00E-09,1.00E-09
H + O + M => OH + M,1.00E-09,1.00E-09,1.00E-09
H2O + M => H + OH + M,1.00E-09,1.00E-09,1.00E-09
H + OH + M => H2O + M,1.00E-09,1.00E-09,1.00E-09
H + O2 (+M) <=> HO2 (+M),1.00E-09,1.00E-09,1.00E-09
H + HO2 <=> H2 + O2,1.10E+00,1.00E-09,4.18E+06
H + HO2 <=> 2 OH,1.10E+00,1.00E-09,4.18E+06
H + HO2 <=> H2O + O,1.10E+00,1.00E-09,4.18E+06
HO2 + O => O2 + OH,6.93E-01,1.00E-09,1.00E-09
O2 + OH => HO2 + O,6.93E-01,1.00E-09,1.00E-09
H2O + O2 => HO2 + OH,6.93E-01,1.00E-09,1.00E-09
H2O2 + O2 => 2 HO2,6.93E-01,1.00E-09,1.00E-09
2 HO2 => H2O2 + O2,6.93E-01,1.00E-09,1.00E-09
H2O2 + O2 => 2 HO2,6.93E-01,1.00E-09,1.00E-09
2 HO2 => H2O2 + O2,6.93E-01,1.00E-09,1.00E-09
H + H2O2 => H2O + OH,6.93E-01,1.00E-09,1.00E-09
H2O + OH => H + H2O2,6.93E-01,1.00E-09,1.00E-09
H + H2O2 => H2 + HO2,6.93E-01,1.00E-09,1.00E-09
H2 + HO2 => H + H2O2,6.93E-01,1.00E-09,1.00E-09
H2O2 + O => HO2 + OH,6.93E-01,1.00E-09,1.00E-09
HO2 + OH => H2O2 + O,6.93E-01,1.00E-09,1.00E-09
CO + O (+M) <=> CO2 (+M),6.93E-01,1.00E-09,1.00E-09
CO + O2 => CO2 + O,6.93E-01,1.00E-09,1.00E-09
CO2 + O => CO + O2,6.93E-01,1.00E-09,1.00E-09
CO + OH => CO2 + H,6.93E-01,1.00E-09,1.00E-09
CO2 + H => CO + OH,6.93E-01,1.00E-09,1.00E-09
CO + HO2 => CO2 + OH,6.93E-01,1.00E-09,1.00E-09
CO2 + OH => CO + HO2,6.93E-01,1.00E-09,1.00E-09
HCO + M => CO + H + M,6.93E-01,1.00E-09,1.00E-09
CO + H + M => HCO + M,6.93E-01,1.00E-09,1.00E-09
HCO + O2 => CO + HO2,6.93E-01,1.00E-09,1.00E-09
CO + HO2 => HCO + O2,6.93E-01,1.00E-09,1.00E-09
H + HCO => CO + H2,6.93E-01,1.00E-09,1.00E-09
CO + H2 => H + HCO,6.93E-01,1.00E-09,1.00E-09
HCO + O => CO + OH,6.93E-01,1.00E-09,1.00E-09
CO + OH => HCO + O,6.93E-01,1.00E-09,1.00E-09
HCO + O => CO2 + H,6.93E-01,1.00E-09,1.00E-09
CO2 + H => HCO + O,6.93E-01,1.00E-09,1.00E-09
HCO + OH => CO + H2O,6.93E-01,1.00E-09,1.00E-09
CO + H2O => HCO + OH,6.93E-01,1.00E-09,1.00E-09
CH3 + HCO => CH4 + CO,6.93E-01,1.00E-09,1.00E-09
CH4 + CO => CH3 + HCO,6.93E-01,1.00E-09,1.00E-09
HCO + HO2 => CH2O + O2,6.93E-01,1.00E-09,1.00E-09
CH2O + O2 => HCO + HO2,6.93E-01,1.00E-09,1.00E-09
HCO + HO2 => CO2 + H + OH,6.93E-01,1.00E-09,1.00E-09
O2CHO => HCO + O2,6.93E-01,1.00E-09,1.00E-09
HCO + O2 => O2CHO,6.93E-01,1.00E-09,1.00E-09
CH2O + O2CHO => HCO + HO2CHO,6.93E-01,1.00E-09,1.00E-09
HCO + HO2CHO => CH2O + O2CHO,6.93E-01,1.00E-09,1.00E-09
HO2CHO => OCHO + OH,6.93E-01,1.00E-09,1.00E-09
OCHO + OH => HO2CHO,6.93E-01,1.00E-09,1.00E-09
OCHO + M => CO2 + H + M,6.93E-01,1.00E-09,1.00E-09
CO2 + H + M => OCHO + M,6.93E-01,1.00E-09,1.00E-09
CH2O + CO => 2 HCO,6.93E-01,1.00E-09,1.00E-09
2 HCO => CH2O + CO,6.93E-01,1.00E-09,1.00E-09
2 HCO => 2 CO + H2,6.93E-01,1.00E-09,1.00E-09
H + HCO (+M) <=> CH2O (+M),6.93E-01,1.00E-09,1.00E-09
CO + H2 (+M) <=> CH2O (+M),6.93E-01,1.00E-09,1.00E-09
CH2O + OH => H2O + HCO,6.93E-01,1.00E-09,1.00E-09
H2O + HCO => CH2O + OH,6.93E-01,1.00E-09,1.00E-09
CH2O + H => H2 + HCO,6.93E-01,1.00E-09,1.00E-09
H2 + HCO => CH2O + H,6.93E-01,1.00E-09,1.00E-09
CH2O + O => HCO + OH,6.93E-01,1.00E-09,1.00E-09
HCO + OH => CH2O + O,6.93E-01,1.00E-09,1.00E-09
CH2O + CH3 => CH4 + HCO,6.93E-01,1.00E-09,1.00E-09
CH4 + HCO => CH2O + CH3,6.93E-01,1.00E-09,1.00E-09
CH2O + HO2 => H2O2 + HCO,6.93E-01,1.00E-09,1.00E-09
H2O2 + HCO => CH2O + HO2,6.93E-01,1.00E-09,1.00E-09
HOCH2O => CH2O + OH,6.93E-01,1.00E-09,1.00E-09
CH2O + OH => HOCH2O,6.93E-01,1.00E-09,1.00E-09
HOCH2O => H + HOCHO,6.93E-01,1.00E-09,1.00E-09
H + HOCHO => HOCH2O,6.93E-01,1.00E-09,1.00E-09
HOCHO => CO + H2O,6.93E-01,1.00E-09,1.00E-09
CO + H2O => HOCHO,6.93E-01,1.00E-09,1.00E-09
HOCHO => CO2 + H2,6.93E-01,1.00E-09,1.00E-09
CO2 + H2 => HOCHO,6.93E-01,1.00E-09,1.00E-09
HOCHO => HCO + OH,6.93E-01,1.00E-09,1.00E-09
HCO + OH => HOCHO,6.93E-01,1.00E-09,1.00E-09
HOCHO + O2 => HO2 + OCHO,6.93E-01,1.00E-09,1.00E-09
HO2 + OCHO => HOCHO + O2,6.93E-01,1.00E-09,1.00E-09
HOCHO + OH => CO2 + H + H2O,6.93E-01,1.00E-09,1.00E-09
HOCHO + OH => CO + H2O + OH,6.93E-01,1.00E-09,1.00E-09
H + HOCHO => CO2 + H + H2,6.93E-01,1.00E-09,1.00E-09
H + HOCHO => CO + H2 + OH,6.93E-01,1.00E-09,1.00E-09
CH3 + HOCHO => CH4 + CO + OH,6.93E-01,1.00E-09,1.00E-09
HO2 + HOCHO => H2O2 + OCHO,6.93E-01,1.00E-09,1.00E-09
H2O2 + OCHO => HO2 + HOCHO,6.93E-01,1.00E-09,1.00E-09
HO2 + HOCHO => CO + H2O2 + OH,6.93E-01,1.00E-09,1.00E-09
HOCHO + O => CO + 2 OH,6.93E-01,1.00E-09,1.00E-09
HCO + HOCHO => CH2O + OCHO,6.93E-01,1.00E-09,1.00E-09
CH2O + OCHO => HCO + HOCHO,6.93E-01,1.00E-09,1.00E-09
CH3O (+M) <=> CH2O + H (+M),6.93E-01,1.00E-09,1.00E-09
CH3O + O2 => CH2O + HO2,6.93E-01,1.00E-09,1.00E-09
CH2O + HO2 => CH3O + O2,6.93E-01,1.00E-09,1.00E-09
CH2O + CH3O => CH3OH + HCO,6.93E-01,1.00E-09,1.00E-09
CH3OH + HCO => CH2O + CH3O,6.93E-01,1.00E-09,1.00E-09
CH3O + CH4 => CH3 + CH3OH,6.93E-01,1.00E-09,1.00E-09
CH3 + CH3OH => CH3O + CH4,6.93E-01,1.00E-09,1.00E-09
CH3 + CH3O => CH2O + CH4,6.93E-01,1.00E-09,1.00E-09
CH2O + CH4 => CH3 + CH3O,6.93E-01,1.00E-09,1.00E-09
CH3O + H => CH2O + H2,6.93E-01,1.00E-09,1.00E-09
CH2O + H2 => CH3O + H,6.93E-01,1.00E-09,1.00E-09
CH3O + HO2 => CH2O + H2O2,6.93E-01,1.00E-09,1.00E-09
CH2O + H2O2 => CH3O + HO2,6.93E-01,1.00E-09,1.00E-09
CH2O + H (+M) <=> CH2OH (+M),6.93E-01,1.00E-09,1.00E-09
CH2OH + O2 => CH2O + HO2,6.93E-01,1.00E-09,1.00E-09
CH2O + HO2 => CH2OH + O2,6.93E-01,1.00E-09,1.00E-09
CH2OH + O2 => CH2O + HO2,6.93E-01,1.00E-09,1.00E-09
CH2O + HO2 => CH2OH + O2,6.93E-01,1.00E-09,1.00E-09
CH2OH + H => CH2O + H2,6.93E-01,1.00E-09,1.00E-09
CH2O + H2 => CH2OH + H,6.93E-01,1.00E-09,1.00E-09
CH2OH + HO2 => CH2O + H2O2,6.93E-01,1.00E-09,1.00E-09
CH2O + H2O2 => CH2OH + HO2,6.93E-01,1.00E-09,1.00E-09
CH2OH + HCO => 2 CH2O,6.93E-01,1.00E-09,1.00E-09
2 CH2O => CH2OH + HCO,6.93E-01,1.00E-09,1.00E-09
CH2OH + CH3O => CH2O + CH3OH,6.93E-01,1.00E-09,1.00E-09
CH2O + CH3OH => CH2OH + CH3O,6.93E-01,1.00E-09,1.00E-09
CH2O + CH2OH => CH3OH + HCO,6.93E-01,1.00E-09,1.00E-09
CH3OH + HCO => CH2O + CH2OH,6.93E-01,1.00E-09,1.00E-09
CH2OH + OH => CH2O + H2O,6.93E-01,1.00E-09,1.00E-09
