Time,HCO_ppm,Relative_Uncertainty,W2
3.21E-06,16.98036859,0.05,1.00E-10
5.80E-06,27.36800696,0.05,1.00E-10
5.51E-06,21.73329578,0.05,1.00E-10
4.84E-06,17.26049956,0.05,1.00E-10
7.95E-06,34.69724426,0.05,1.00E-10
7.44E-06,25.82687492,0.05,1.00E-10
8.68E-06,38.78036804,0.05,1.00E-10
9.70E-06,42.02348427,0.05,1.00E-10
8.30E-06,27.67722149,0.05,1.00E-10
1.12E-05,45.07729061,0.05,1.00E-10
9.74E-06,31.3625,0.05,1.00E-10
1.31E-05,49.49288199,0.05,1.00E-10
1.61E-05,52.11163153,0.05,1.00E-10
1.67E-05,54.34568966,0.05,1.00E-10
1.93E-05,51.81067731,0.05,1.00E-10
1.97E-05,56.02551775,0.05,1.00E-10
2.14E-05,54.45122047,0.05,1.00E-10
2.39E-05,56.23713604,0.05,1.00E-10
2.69E-05,55.81936629,0.05,1.00E-10
2.82E-05,54.19006134,0.05,1.00E-10
3.06E-05,56.2120133,0.05,1.00E-10
3.15E-05,54.22487597,0.05,1.00E-10
3.39E-05,52.43636153,0.05,1.00E-10
3.68E-05,51.22319277,0.05,1.00E-10
3.76E-05,48.76485826,0.05,1.00E-10
4.03E-05,47.66272981,0.05,1.00E-10
4.23E-05,45.55406938,0.05,1.00E-10
4.52E-05,44.98876856,0.05,1.00E-10
4.50E-05,43.17780172,0.05,1.00E-10
4.77E-05,46.37129476,0.05,1.00E-10
4.88E-05,42.39675508,0.05,1.00E-10
5.14E-05,38.70618027,0.05,1.00E-10
5.46E-05,39.04483097,0.05,1.00E-10
5.61E-05,36.11112339,0.05,1.00E-10
5.88E-05,35.7885693,0.05,1.00E-10
5.91E-05,33.49772049,0.05,1.00E-10
6.24E-05,33.53922137,0.05,1.00E-10
6.24E-05,32.29004476,0.05,1.00E-10
6.49E-05,32.40486387,0.05,1.00E-10
6.66E-05,30.63337722,0.05,1.00E-10
6.82E-05,28.57703611,0.05,1.00E-10
7.11E-05,29.15939592,0.05,1.00E-10
7.07E-05,26.68950044,0.05,1.00E-10
7.31E-05,28.64063487,0.05,1.00E-10
7.50E-05,26.59750682,0.05,1.00E-10
7.76E-05,25.12008294,0.05,1.00E-10
7.91E-05,26.33650578,0.05,1.00E-10
8.09E-05,23.80736285,0.05,1.00E-10
8.37E-05,22.37363081,0.05,1.00E-10
8.68E-05,21.25108748,0.05,1.00E-10
8.62E-05,24.46781978,0.05,1.00E-10
9.01E-05,20.05431118,0.05,1.00E-10
9.31E-05,19.12119311,0.05,1.00E-10
9.40E-05,22.23599445,0.05,1.00E-10
9.64E-05,17.9377347,0.05,1.00E-10
9.94E-05,17.31705021,0.05,1.00E-10
0.000102521,16.52711965,0.05,1.00E-10
0.000105776,16.01651055,0.05,1.00E-10
0.000109553,14.30148652,0.05,1.00E-10
0.000112808,13.1372271,0.05,1.00E-10
0.000115901,13.0624875,0.05,1.00E-10
0.000119077,11.81372466,0.05,1.00E-10
0.000122213,10.85024784,0.05,1.00E-10
0.000125497,10.09574435,0.05,1.00E-10
0.000128558,9.088095142,0.05,1.00E-10
0.00013173,8.667373192,0.05,1.00E-10
0.000134404,7.485909493,0.05,1.00E-10
0.0001358,8.709429018,0.05,1.00E-10
0.000139139,6.952181588,0.05,1.00E-10
0.000142227,6.394830288,0.05,1.00E-10
0.000140814,4.893236074,0.05,1.00E-10
0.000145428,5.747709636,0.05,1.00E-10
0.000148399,5.743292756,0.05,1.00E-10
0.000151781,5.630487075,0.05,1.00E-10
0.000154825,5.175960848,0.05,1.00E-10
0.000156572,6.89177185,0.05,1.00E-10
0.000158239,4.962670246,0.05,1.00E-10
0.000161269,4.861221106,0.05,1.00E-10
0.000164503,4.087850718,0.05,1.00E-10
0.000167721,4.147326849,0.05,1.00E-10
0.000170497,4.540626776,0.05,1.00E-10
0.000171268,2.72688992,0.05,1.00E-10
0.000174478,3.150198939,0.05,1.00E-10
0.000177607,3.312744069,0.05,1.00E-10
0.00018089,3.37928382,0.05,1.00E-10
0.000184024,2.784991158,0.05,1.00E-10
0.000184908,4.800274094,0.05,1.00E-10
0.000187504,2.87555531,0.05,1.00E-10
0.000190734,2.502785146,0.05,1.00E-10
0.000193694,2.224452549,0.05,1.00E-10
0.000195546,3.853737737,0.05,1.00E-10
0.000197062,2.363568544,0.05,1.00E-10
0.000199933,3.274701592,0.05,1.00E-10
