Time,H2O_ppm,Relative_Uncertainty,W
1.84532E-05,18.41696769,0.05,0.188982237
4.95713E-05,19.37444691,0.05,0.188982237
8.06894E-05,20.33192613,0.05,0.188982237
0.000121709,21.59405783,0.05,0.188982237
0.000158477,12.46899073,0.05,0.188982237
0.000192432,23.77014696,0.05,0.188982237
0.000237687,14.90621056,0.05,0.188982237
0.000275885,26.33793214,0.05,0.188982237
0.000318347,68.67011939,0.05,0.188982237
0.000356552,90.35847442,0.05,0.188982237
0.000404702,173.8912826,0.05,0.188982237
0.000442965,277.6327052,0.05,0.188982237
0.000469912,381.0259535,0.05,0.188982237
0.000499717,525.5327792,0.05,0.188982237
0.00052813,700.7659834,0.05,0.188982237
0.000545197,834.6244796,0.05,0.188982237
0.000570795,1030.283907,0.05,0.188982237
0.000599201,1195.260478,0.05,0.188982237
0.000623377,1380.61975,0.05,0.188982237
0.000646132,1555.678867,0.05,0.188982237
0.000681595,1700.35978,0.05,0.188982237
0.000715614,1803.970637,0.05,0.188982237
0.000748197,1876.768072,0.05,0.188982237
0.00078501,1929.182806,0.05,0.188982237
0.000820393,1961.040751,0.05,0.188982237
0.000857183,1982.685584,0.05,0.188982237
0.000889738,2014.456485,0.05,0.188982237
0.00093075,2005.461984,0.05,0.188982237
0.000964704,2016.76314,0.05,0.188982237
