Time,H_mol/cm^3,Relative_Uncertainty,W
1.54639E-05,6.2087E-13,.05,1e-10
2.52577E-05,1.23956E-12,.05,1e-10
3.50515E-05,1.78139E-12,.05,1e-10
4.74227E-05,2.86226E-12,.05,1e-10
5.46392E-05,3.78743E-12,.05,.1
6.13402E-05,4.94299E-12,.05,.1
6.85567E-05,5.94502E-12,.05,.1
7.73196E-05,7.17824E-12,.05,.1
8.65979E-05,8.64226E-12,.05,.1
9.27835E-05,1.01051E-11,.05,.1
0.000105155,1.21084E-11,.05,.1
0.000112887,1.36486E-11,.05,.1
0.000123711,1.56513E-11,.05,.1
0.000136082,1.82695E-11,.05,.1
0.000146392,2.05026E-11,.05,.1
0.000162371,2.35834E-11,.05,.1
0.00018299,2.6589E-11,.05,.1
0.000198454,2.89778E-11,.05,.1
0.000215464,3.17515E-11,.05,.1
