Time,H_mol/cm^3,Relative_Uncertainty,W
1.90523E-05,	5.84946E-13,	0.05,	1.00E-10
4.02353E-05	,1.55986E-12,	0.05,	0.149071198
6.01551E-05,	2.65885E-12,	0.05,	0.149071198
8.00689E-05,	3.61603E-12,	0.05,	0.149071198
9.99774E-05,	4.44914E-12,	0.05,	0.149071198
0.000120734,	5.33542E-12,	0.05,	0.149071198
0.000150386,	6.61167E-12,	0.05,	0.149071198
0.000180438,	7.32069E-12,	0.05,	0.149071198
0.000209205,	7.65748E-12,	0.05,	0.149071198
0.000232888,	7.76383E-12,	0.05,	0.149071198
0.000259537,	8.01199E-12,	0.05,	0.149071198
0.000304799,	8.45513E-12,	0.05,	0.149071198
0.000328483,	8.57921E-12,	0.05,	0.149071198
0.000348359,	8.66784E-12,	0.05,	0.149071198
0.000372891,	8.82737E-12,	0.05,	0.149071198
0.000386848,	8.916E-12,	0.05,	0.149071198
