Time,OH_mol/cm^3
5.30526E-05,7.76245E-13
8.84211E-05,1.42312E-12
0.000136421,2.28561E-12
0.000169263,2.84623E-12
0.000209684,3.6656E-12
0.000255158,4.5281E-12
0.000303158,5.21809E-12
0.000356211,6.20996E-12
0.000414316,7.24495E-12
0.000462316,8.0212E-12
0.000500211,8.49557E-12
0.000560842,9.27182E-12
0.000593684,9.87556E-12
0.000641684,1.07812E-11
0.000682105,1.14712E-11
0.000714947,1.19456E-11
0.000760421,1.26355E-11
0.000788211,1.30668E-11
0.000826105,1.36274E-11
0.000876632,1.4533E-11
0.000942316,1.5568E-11
