Time,OH_ppm,Relative_Uncertainty,W
3.17381E-06,4.766268878,.05,.2
4.67672E-06,7.920317423,.05,.2
4.17645E-06,6.435082155,.05,.2
6.77787E-06,9.565099447,.05,.2
8.18698E-06,11.26738955,.05,.2
9.62944E-06,12.85237335,.05,.2
1.07451E-05,14.40600761,.05,.2
1.18306E-05,15.49032358,.05,.2
1.41979E-05,16.61020956,.05,.2
1.59642E-05,18.00774385,.05,.2
1.85277E-05,19.47379076,.05,.2
2.1167E-05,20.67748153,.05,.2
2.43375E-05,21.95918844,.05,.2
2.79145E-05,22.82008303,.05,.2
3.14914E-05,23.43645123,.05,.2
3.50684E-05,23.78375378,.05,.2
3.86454E-05,23.88170456,.05,.2
4.22223E-05,23.86718722,.05,.2
4.57993E-05,23.7814442,.05,.2
4.90511E-05,23.25514948,.05,.2
