Time,CO_ppm,Relative_Uncertainty,W
4.40E-06,2,0.05,0.028583098
5.20E-06,4,0.05,0.028583098
6.40E-06,9,0.05,0.028583098
7.20E-06,2,0.05,0.028583098
7.60E-06,4,0.05,0.028583098
8.00E-06,5,0.05,0.028583098
8.40E-06,2,0.05,0.028583098
9.20E-06,2,0.05,0.028583098
1.00E-05,2,0.05,0.028583098
1.04E-05,4,0.05,0.028583098
1.16E-05,2,0.05,0.028583098
1.20E-05,2,0.05,0.028583098
1.28E-05,2,0.05,0.028583098
1.40E-05,4,0.05,0.028583098
1.44E-05,7,0.05,0.028583098
1.48E-05,5,0.05,0.028583098
1.60E-05,4,0.05,0.028583098
1.64E-05,7,0.05,0.028583098
1.68E-05,9,0.05,0.028583098
1.72E-05,5,0.05,0.028583098
1.76E-05,9,0.05,0.028583098
1.80E-05,4,0.05,0.028583098
1.84E-05,11,0.05,0.028583098
1.88E-05,7,0.05,0.028583098
1.92E-05,2,0.05,0.028583098
1.96E-05,7,0.05,0.028583098
2.00E-05,5,0.05,0.028583098
2.04E-05,5,0.05,0.028583098
2.08E-05,2,0.05,0.028583098
2.12E-05,4,0.05,0.028583098
2.20E-05,2,0.05,0.028583098
2.28E-05,5,0.05,0.028583098
2.32E-05,4,0.05,0.028583098
2.36E-05,11,0.05,0.028583098
2.40E-05,9,0.05,0.028583098
2.44E-05,4,0.05,0.028583098
2.48E-05,9,0.05,0.028583098
2.52E-05,11,0.05,0.028583098
2.56E-05,13,0.05,0.028583098
2.60E-05,11,0.05,0.028583098
2.64E-05,15,0.05,0.028583098
2.68E-05,9,0.05,0.028583098
2.72E-05,7,0.05,0.028583098
2.76E-05,5,0.05,0.028583098
2.80E-05,11,0.05,0.028583098
2.84E-05,9,0.05,0.028583098
2.88E-05,13,0.05,0.028583098
2.92E-05,15,0.05,0.028583098
2.96E-05,16,0.05,0.028583098
3.00E-05,13,0.05,0.028583098
3.04E-05,13,0.05,0.028583098
3.08E-05,15,0.05,0.028583098
3.12E-05,7,0.05,0.028583098
3.16E-05,7,0.05,0.028583098
3.20E-05,7,0.05,0.028583098
3.24E-05,13,0.05,0.028583098
3.28E-05,16,0.05,0.028583098
3.32E-05,4,0.05,0.028583098
3.36E-05,15,0.05,0.028583098
3.40E-05,15,0.05,0.028583098
3.44E-05,5,0.05,0.028583098
3.48E-05,9,0.05,0.028583098
3.52E-05,9,0.05,0.028583098
3.56E-05,11,0.05,0.028583098
3.60E-05,7,0.05,0.028583098
3.64E-05,13,0.05,0.028583098
3.68E-05,11,0.05,0.028583098
3.72E-05,13,0.05,0.028583098
3.76E-05,15,0.05,0.028583098
3.80E-05,13,0.05,0.028583098
3.84E-05,15,0.05,0.028583098
3.88E-05,9,0.05,0.028583098
3.92E-05,11,0.05,0.028583098
3.96E-05,13,0.05,0.028583098
4.00E-05,15,0.05,0.028583098
4.04E-05,18,0.05,0.028583098
4.08E-05,11,0.05,0.028583098
4.12E-05,11,0.05,0.028583098
4.16E-05,15,0.05,0.028583098
4.20E-05,15,0.05,0.028583098
4.24E-05,7,0.05,0.028583098
4.28E-05,16,0.05,0.028583098
4.32E-05,13,0.05,0.028583098
4.36E-05,15,0.05,0.028583098
4.40E-05,13,0.05,0.028583098
4.44E-05,16,0.05,0.028583098
4.48E-05,11,0.05,0.028583098
4.52E-05,13,0.05,0.028583098
4.56E-05,13,0.05,0.028583098
4.60E-05,15,0.05,0.028583098
4.64E-05,15,0.05,0.028583098
4.68E-05,9,0.05,0.028583098
4.72E-05,13,0.05,0.028583098
4.76E-05,16,0.05,0.028583098
4.80E-05,16,0.05,0.028583098
4.84E-05,18,0.05,0.028583098
4.88E-05,16,0.05,0.028583098
4.92E-05,20,0.05,0.028583098
4.96E-05,24,0.05,0.028583098
5.00E-05,20,0.05,0.028583098
5.04E-05,22,0.05,0.028583098
5.08E-05,20,0.05,0.028583098
5.12E-05,26,0.05,0.028583098
5.16E-05,20,0.05,0.028583098
5.20E-05,18,0.05,0.028583098
5.24E-05,18,0.05,0.028583098
5.28E-05,13,0.05,0.028583098
5.32E-05,22,0.05,0.028583098
5.36E-05,18,0.05,0.028583098
5.40E-05,20,0.05,0.028583098
5.44E-05,26,0.05,0.028583098
5.48E-05,28,0.05,0.028583098
5.52E-05,20,0.05,0.028583098
5.56E-05,18,0.05,0.028583098
5.60E-05,18,0.05,0.028583098
5.64E-05,18,0.05,0.028583098
5.68E-05,18,0.05,0.028583098
5.72E-05,18,0.05,0.028583098
5.76E-05,18,0.05,0.028583098
5.80E-05,28,0.05,0.028583098
5.84E-05,29,0.05,0.028583098
5.88E-05,26,0.05,0.028583098
5.92E-05,26,0.05,0.028583098
5.96E-05,39,0.05,0.028583098
6.00E-05,26,0.05,0.028583098
6.04E-05,35,0.05,0.028583098
6.08E-05,29,0.05,0.028583098
6.12E-05,31,0.05,0.028583098
6.16E-05,31,0.05,0.028583098
6.20E-05,26,0.05,0.028583098
6.24E-05,35,0.05,0.028583098
6.28E-05,29,0.05,0.028583098
6.32E-05,28,0.05,0.028583098
6.36E-05,37,0.05,0.028583098
6.40E-05,33,0.05,0.028583098
6.44E-05,31,0.05,0.028583098
6.48E-05,29,0.05,0.028583098
6.52E-05,39,0.05,0.028583098
6.56E-05,35,0.05,0.028583098
6.60E-05,33,0.05,0.028583098
6.64E-05,24,0.05,0.028583098
6.68E-05,37,0.05,0.028583098
6.72E-05,28,0.05,0.028583098
6.76E-05,29,0.05,0.028583098
6.80E-05,37,0.05,0.028583098
6.84E-05,33,0.05,0.028583098
6.88E-05,46,0.05,0.028583098
6.92E-05,39,0.05,0.028583098
6.96E-05,40,0.05,0.028583098
7.00E-05,44,0.05,0.028583098
7.04E-05,42,0.05,0.028583098
7.08E-05,50,0.05,0.028583098
7.12E-05,42,0.05,0.028583098
7.16E-05,40,0.05,0.028583098
7.20E-05,48,0.05,0.028583098
7.24E-05,48,0.05,0.028583098
7.28E-05,40,0.05,0.028583098
7.32E-05,39,0.05,0.028583098
7.36E-05,40,0.05,0.028583098
7.40E-05,42,0.05,0.028583098
7.44E-05,42,0.05,0.028583098
7.48E-05,39,0.05,0.028583098
7.52E-05,40,0.05,0.028583098
7.56E-05,44,0.05,0.028583098
7.60E-05,48,0.05,0.028583098
7.64E-05,42,0.05,0.028583098
7.68E-05,42,0.05,0.028583098
7.72E-05,46,0.05,0.028583098
7.76E-05,46,0.05,0.028583098
7.80E-05,40,0.05,0.028583098
7.84E-05,44,0.05,0.028583098
7.88E-05,44,0.05,0.028583098
