Time,OH_ppm,Relative_Uncertainty,W
4e-06,0.2,0.05,0.015845095
4.4e-06,0.5,0.05,0.015845095
4.8e-06,0.1,0.05,0.015845095
6e-06,0.1,0.05,0.015845095
6.4e-06,0.2,0.05,0.015845095
6.8e-06,0.3,0.05,0.015845095
7.2e-06,0.4,0.05,0.015845095
7.6e-06,0.3,0.05,0.015845095
8e-06,0.1,0.05,0.015845095
8.4e-06,0.4,0.05,0.015845095
1.04e-05,0.3,0.05,0.015845095
1.0800000000000002e-05,0.5,0.05,0.015845095
1.12e-05,0.6,0.05,0.015845095
1.1599999999999999e-05,0.2,0.05,0.015845095
1.2e-05,0.6,0.05,0.015845095
1.24e-05,0.1,0.05,0.015845095
1.4000000000000001e-05,0.1,0.05,0.015845095
1.4400000000000001e-05,0.4,0.05,0.015845095
1.92e-05,0.2,0.05,0.015845095
2e-05,0.2,0.05,0.015845095
2.0399999999999998e-05,0.2,0.05,0.015845095
2.08e-05,0.2,0.05,0.015845095
2.12e-05,0.4,0.05,0.015845095
2.3199999999999998e-05,0.2,0.05,0.015845095
2.72e-05,0.1,0.05,0.015845095
3.0799999999999996e-05,0.1,0.05,0.015845095
3.12e-05,0.1,0.05,0.015845095
3.16e-05,0.1,0.05,0.015845095
3.24e-05,0.2,0.05,0.015845095
3.28e-05,0.3,0.05,0.015845095
3.3600000000000004e-05,0.3,0.05,0.015845095
3.4399999999999996e-05,0.4,0.05,0.015845095
3.48e-05,0.3,0.05,0.015845095
3.52e-05,0.3,0.05,0.015845095
3.5600000000000005e-05,0.3,0.05,0.015845095
3.64e-05,0.1,0.05,0.015845095
4.2e-05,0.1,0.05,0.015845095
4.24e-05,0.4,0.05,0.015845095
4.28e-05,0.2,0.05,0.015845095
4.3200000000000007e-05,0.1,0.05,0.015845095
4.6399999999999996e-05,0.1,0.05,0.015845095
4.72e-05,0.3,0.05,0.015845095
4.7600000000000005e-05,0.4,0.05,0.015845095
4.84e-05,0.2,0.05,0.015845095
5.12e-05,0.1,0.05,0.015845095
5.16e-05,0.1,0.05,0.015845095
5.2000000000000004e-05,0.3,0.05,0.015845095
5.28e-05,0.2,0.05,0.015845095
5.3200000000000006e-05,0.1,0.05,0.015845095
5.44e-05,0.4,0.05,0.015845095
5.479999999999999e-05,0.6,0.05,0.015845095
5.520000000000001e-05,0.8,0.05,0.015845095
5.56e-05,0.3,0.05,0.015845095
5.6000000000000006e-05,0.1,0.05,0.015845095
5.7999999999999994e-05,0.1,0.05,0.015845095
5.8399999999999997e-05,0.3,0.05,0.015845095
5.88e-05,0.1,0.05,0.015845095
5.920000000000001e-05,0.3,0.05,0.015845095
5.96e-05,0.2,0.05,0.015845095
5.9999999999999995e-05,0.2,0.05,0.015845095
6.2e-05,0.4,0.05,0.015845095
6.24e-05,0.6,0.05,0.015845095
6.28e-05,0.3,0.05,0.015845095
6.32e-05,0.4,0.05,0.015845095
6.36e-05,0.2,0.05,0.015845095
6.4e-05,0.1,0.05,0.015845095
6.440000000000001e-05,0.1,0.05,0.015845095
6.96e-05,0.1,0.05,0.015845095
7.72e-05,0.2,0.05,0.015845095
7.759999999999999e-05,0.1,0.05,0.015845095
7.8e-05,0.1,0.05,0.015845095
8.04e-05,0.3,0.05,0.015845095
8.08e-05,0.3,0.05,0.015845095
8.120000000000001e-05,0.3,0.05,0.015845095
8.28e-05,0.1,0.05,0.015845095
8.36e-05,0.2,0.05,0.015845095
8.56e-05,0.1,0.05,0.015845095
8.640000000000001e-05,0.3,0.05,0.015845095
8.72e-05,0.2,0.05,0.015845095
8.840000000000001e-05,0.2,0.05,0.015845095
8.88e-05,0.1,0.05,0.015845095
8.92e-05,0.1,0.05,0.015845095
9.08e-05,0.4,0.05,0.015845095
9.120000000000001e-05,0.3,0.05,0.015845095
9.279999999999999e-05,0.1,0.05,0.015845095
9.559999999999999e-05,0.1,0.05,0.015845095
9.68e-05,0.2,0.05,0.015845095
9.8e-05,0.2,0.05,0.015845095
9.88e-05,0.2,0.05,0.015845095
0.0001,0.2,0.05,0.015845095
0.0001004,0.2,0.05,0.015845095
0.0001008,0.3,0.05,0.015845095
0.00010120000000000001,0.2,0.05,0.015845095
0.0001016,0.2,0.05,0.015845095
0.0001032,0.1,0.05,0.015845095
0.0001044,0.1,0.05,0.015845095
0.00010959999999999998,0.1,0.05,0.015845095
0.0001188,0.1,0.05,0.015845095
0.0001192,0.1,0.05,0.015845095
0.00011999999999999999,0.2,0.05,0.015845095
0.0001204,0.3,0.05,0.015845095
0.0001208,0.4,0.05,0.015845095
0.00012119999999999999,0.2,0.05,0.015845095
0.0001216,0.1,0.05,0.015845095
0.000122,0.4,0.05,0.015845095
0.0001224,0.5,0.05,0.015845095
0.0001228,0.2,0.05,0.015845095
0.00012319999999999999,0.2,0.05,0.015845095
0.0001236,0.2,0.05,0.015845095
0.000124,0.1,0.05,0.015845095
0.0001244,0.2,0.05,0.015845095
0.0001248,0.2,0.05,0.015845095
0.0001252,0.4,0.05,0.015845095
0.0001256,0.4,0.05,0.015845095
0.000126,0.2,0.05,0.015845095
0.0001264,0.1,0.05,0.015845095
0.0001272,0.2,0.05,0.015845095
0.0001276,0.4,0.05,0.015845095
0.000128,0.2,0.05,0.015845095
0.0001284,0.1,0.05,0.015845095
0.00013159999999999997,0.1,0.05,0.015845095
0.0001328,0.1,0.05,0.015845095
0.00013680000000000002,0.1,0.05,0.015845095
0.00014040000000000002,0.3,0.05,0.015845095
0.0001408,0.1,0.05,0.015845095
0.0001416,0.1,0.05,0.015845095
0.00014199999999999998,0.2,0.05,0.015845095
0.00014280000000000003,0.1,0.05,0.015845095
0.000144,0.2,0.05,0.015845095
0.00014439999999999999,0.2,0.05,0.015845095
0.00014480000000000002,0.1,0.05,0.015845095
0.0001456,0.1,0.05,0.015845095
0.000146,0.2,0.05,0.015845095
0.0001464,0.2,0.05,0.015845095
0.0001488,0.3,0.05,0.015845095
0.0001492,0.4,0.05,0.015845095
0.0001504,0.1,0.05,0.015845095
0.0001524,0.2,0.05,0.015845095
0.00015319999999999998,0.3,0.05,0.015845095
0.0001536,0.1,0.05,0.015845095
0.0001548,0.1,0.05,0.015845095
0.00015519999999999998,0.2,0.05,0.015845095
0.0001672,0.1,0.05,0.015845095
0.000168,0.1,0.05,0.015845095
0.00016840000000000003,0.4,0.05,0.015845095
0.0001688,0.2,0.05,0.015845095
0.0001692,0.2,0.05,0.015845095
0.0001696,0.1,0.05,0.015845095
0.00016999999999999999,0.1,0.05,0.015845095
0.0001704,0.2,0.05,0.015845095
0.00017080000000000003,0.1,0.05,0.015845095
0.000172,0.3,0.05,0.015845095
0.0001724,0.1,0.05,0.015845095
0.0001732,0.1,0.05,0.015845095
0.0001736,0.2,0.05,0.015845095
0.0001744,0.3,0.05,0.015845095
0.00017480000000000002,0.7,0.05,0.015845095
0.0001756,0.6,0.05,0.015845095
0.000176,0.4,0.05,0.015845095
0.0001764,0.1,0.05,0.015845095
0.00017680000000000001,0.2,0.05,0.015845095
0.00017719999999999997,0.3,0.05,0.015845095
0.0001776,0.3,0.05,0.015845095
0.000178,0.3,0.05,0.015845095
0.0001784,0.4,0.05,0.015845095
0.0001796,0.3,0.05,0.015845095
0.00018,0.1,0.05,0.015845095
0.0001808,0.6,0.05,0.015845095
0.00018119999999999999,0.2,0.05,0.015845095
0.0001816,0.1,0.05,0.015845095
0.000182,0.1,0.05,0.015845095
0.00018240000000000002,0.4,0.05,0.015845095
0.0001828,0.2,0.05,0.015845095
0.00018319999999999998,0.3,0.05,0.015845095
0.0001836,0.3,0.05,0.015845095
0.000184,0.3,0.05,0.015845095
0.0001844,0.2,0.05,0.015845095
0.00018480000000000002,0.6,0.05,0.015845095
0.00018519999999999998,0.6,0.05,0.015845095
0.00018559999999999998,0.5,0.05,0.015845095
0.00018600000000000002,0.1,0.05,0.015845095
0.0001864,0.5,0.05,0.015845095
0.00018680000000000001,0.6,0.05,0.015845095
0.0001872,0.7,0.05,0.015845095
0.00018759999999999998,0.9,0.05,0.015845095
0.000188,0.3,0.05,0.015845095
0.0001884,0.5,0.05,0.015845095
0.0001888,0.4,0.05,0.015845095
0.0001892,0.4,0.05,0.015845095
0.0001896,0.7,0.05,0.015845095
0.00018999999999999998,0.3,0.05,0.015845095
0.00019040000000000002,0.7,0.05,0.015845095
0.0001908,0.6,0.05,0.015845095
0.00019119999999999999,0.5,0.05,0.015845095
0.0001916,0.8,0.05,0.015845095
0.000192,0.8,0.05,0.015845095
0.00019240000000000001,0.6,0.05,0.015845095
0.00019280000000000002,0.7,0.05,0.015845095
0.0001932,0.3,0.05,0.015845095
0.0001936,0.5,0.05,0.015845095
0.000194,0.2,0.05,0.015845095
0.00019480000000000002,0.2,0.05,0.015845095
0.0001952,0.4,0.05,0.015845095
0.00019559999999999998,0.2,0.05,0.015845095
0.000196,0.2,0.05,0.015845095
0.0001968,0.4,0.05,0.015845095
0.0001972,0.1,0.05,0.015845095
0.0001976,0.4,0.05,0.015845095
0.0001984,0.4,0.05,0.015845095
0.0001992,0.4,0.05,0.015845095
0.0001996,0.5,0.05,0.015845095
0.0002,0.5,0.05,0.015845095
0.0002004,0.4,0.05,0.015845095
0.0002008,0.5,0.05,0.015845095
0.0002012,0.1,0.05,0.015845095
0.0002016,0.4,0.05,0.015845095
0.000202,0.2,0.05,0.015845095
0.0002028,0.3,0.05,0.015845095
0.000204,0.1,0.05,0.015845095
0.0002052,0.3,0.05,0.015845095
0.0002056,0.3,0.05,0.015845095
0.0002084,0.3,0.05,0.015845095
0.0002088,0.2,0.05,0.015845095
0.00020920000000000002,0.3,0.05,0.015845095
0.0002096,0.2,0.05,0.015845095
0.00021,0.4,0.05,0.015845095
0.00021040000000000002,0.4,0.05,0.015845095
0.0002108,0.4,0.05,0.015845095
0.0002112,0.4,0.05,0.015845095
0.00021160000000000002,0.3,0.05,0.015845095
0.000212,0.5,0.05,0.015845095
0.0002124,0.8,0.05,0.015845095
0.00021280000000000002,0.7,0.05,0.015845095
0.00021319999999999998,1.0,0.05,0.015845095
0.00021360000000000001,0.4,0.05,0.015845095
0.00021400000000000002,0.5,0.05,0.015845095
0.0002144,0.5,0.05,0.015845095
0.00021480000000000002,0.6,0.05,0.015845095
0.00021519999999999997,0.4,0.05,0.015845095
0.0002156,0.3,0.05,0.015845095
0.00021600000000000002,0.2,0.05,0.015845095
0.0002164,0.2,0.05,0.015845095
0.0002168,0.1,0.05,0.015845095
0.00021719999999999997,0.7,0.05,0.015845095
0.0002176,0.5,0.05,0.015845095
0.000218,0.6,0.05,0.015845095
0.00021840000000000002,0.5,0.05,0.015845095
0.0002188,0.2,0.05,0.015845095
0.00021919999999999996,0.2,0.05,0.015845095
0.00021959999999999997,0.1,0.05,0.015845095
0.00022,0.1,0.05,0.015845095
0.00022040000000000002,0.1,0.05,0.015845095
0.00022080000000000003,0.4,0.05,0.015845095
0.00022119999999999998,0.3,0.05,0.015845095
0.00022159999999999997,0.3,0.05,0.015845095
0.00022200000000000003,0.4,0.05,0.015845095
0.0002224,0.5,0.05,0.015845095
0.00022280000000000002,0.4,0.05,0.015845095
0.00022319999999999998,0.2,0.05,0.015845095
0.0002236,0.3,0.05,0.015845095
0.00022400000000000002,0.3,0.05,0.015845095
0.00022480000000000002,0.3,0.05,0.015845095
0.00022519999999999997,0.2,0.05,0.015845095
0.00022559999999999998,0.2,0.05,0.015845095
0.000226,0.3,0.05,0.015845095
0.00022640000000000003,0.4,0.05,0.015845095
0.0002268,0.1,0.05,0.015845095
0.0002272,0.2,0.05,0.015845095
0.00022840000000000002,0.3,0.05,0.015845095
0.00022880000000000003,0.1,0.05,0.015845095
0.0002292,0.2,0.05,0.015845095
0.00022959999999999997,0.2,0.05,0.015845095
0.00023040000000000002,0.2,0.05,0.015845095
0.00023080000000000003,0.5,0.05,0.015845095
0.00023119999999999998,0.2,0.05,0.015845095
0.0002316,0.2,0.05,0.015845095
0.00023239999999999998,0.2,0.05,0.015845095
0.00023280000000000002,0.1,0.05,0.015845095
0.00023359999999999999,0.1,0.05,0.015845095
0.000234,0.2,0.05,0.015845095
0.00023439999999999998,0.2,0.05,0.015845095
0.00023480000000000004,0.4,0.05,0.015845095
0.0002352,0.2,0.05,0.015845095
0.000236,0.1,0.05,0.015845095
0.0002396,0.1,0.05,0.015845095
0.00023999999999999998,0.2,0.05,0.015845095
0.0002408,0.1,0.05,0.015845095
0.00024119999999999998,0.1,0.05,0.015845095
0.0002428,0.1,0.05,0.015845095
0.0002432,0.1,0.05,0.015845095
0.00024359999999999999,0.2,0.05,0.015845095
0.000244,0.1,0.05,0.015845095
0.0002456,0.1,0.05,0.015845095
0.0002508,0.1,0.05,0.015845095
0.0002516,0.2,0.05,0.015845095
0.000252,0.1,0.05,0.015845095
0.0002524,0.4,0.05,0.015845095
0.00025320000000000003,0.1,0.05,0.015845095
0.000254,0.2,0.05,0.015845095
0.0002544,0.5,0.05,0.015845095
0.0002548,0.3,0.05,0.015845095
0.0002552,0.6,0.05,0.015845095
0.0002556,0.6,0.05,0.015845095
0.000256,0.3,0.05,0.015845095
0.00025639999999999994,0.5,0.05,0.015845095
0.0002568,0.4,0.05,0.015845095
0.0002572,0.4,0.05,0.015845095
0.00025760000000000003,0.4,0.05,0.015845095
0.000258,0.3,0.05,0.015845095
0.00025839999999999994,0.3,0.05,0.015845095
0.0002588,0.4,0.05,0.015845095
0.0002592,0.4,0.05,0.015845095
0.0002596,0.3,0.05,0.015845095
0.00026000000000000003,0.4,0.05,0.015845095
0.0002604,0.5,0.05,0.015845095
0.0002608,0.5,0.05,0.015845095
0.0002612,0.7,0.05,0.015845095
0.0002616,0.3,0.05,0.015845095
0.000262,0.3,0.05,0.015845095
0.0002624,0.2,0.05,0.015845095
0.0002628,0.4,0.05,0.015845095
0.00026319999999999995,0.5,0.05,0.015845095
0.0002636,0.3,0.05,0.015845095
0.000264,0.3,0.05,0.015845095
0.0002644,0.6,0.05,0.015845095
0.00026480000000000004,0.4,0.05,0.015845095
0.0002652,0.2,0.05,0.015845095
0.0002656,0.3,0.05,0.015845095
0.000266,0.6,0.05,0.015845095
0.00026639999999999997,0.6,0.05,0.015845095
0.00026680000000000003,0.7,0.05,0.015845095
0.0002672,0.8,0.05,0.015845095
0.0002676,0.9,0.05,0.015845095
0.000268,0.7,0.05,0.015845095
0.00026839999999999996,0.6,0.05,0.015845095
0.00026880000000000003,0.7,0.05,0.015845095
0.0002692,0.5,0.05,0.015845095
0.0002696,0.8,0.05,0.015845095
0.00027,0.6,0.05,0.015845095
0.00027039999999999996,0.5,0.05,0.015845095
0.0002708,0.5,0.05,0.015845095
0.0002712,0.5,0.05,0.015845095
0.00027160000000000004,0.6,0.05,0.015845095
0.000272,0.2,0.05,0.015845095
0.00027239999999999995,0.4,0.05,0.015845095
0.0002728,0.4,0.05,0.015845095
0.00027319999999999997,0.3,0.05,0.015845095
0.00027360000000000004,0.3,0.05,0.015845095
0.00027400000000000005,0.4,0.05,0.015845095
0.0002744,0.5,0.05,0.015845095
0.0002748,0.4,0.05,0.015845095
0.00027519999999999997,0.4,0.05,0.015845095
0.00027560000000000003,0.7,0.05,0.015845095
0.000276,0.8,0.05,0.015845095
0.0002764,0.7,0.05,0.015845095
0.0002768,0.3,0.05,0.015845095
0.00027719999999999996,0.7,0.05,0.015845095
0.0002776,0.8,0.05,0.015845095
0.000278,0.5,0.05,0.015845095
0.0002784,1.0,0.05,0.015845095
0.0002788,0.8,0.05,0.015845095
0.00027919999999999996,0.7,0.05,0.015845095
0.0002796,0.6,0.05,0.015845095
0.00028,0.6,0.05,0.015845095
0.0002804,0.7,0.05,0.015845095
0.00028080000000000005,0.7,0.05,0.015845095
0.0002812,0.4,0.05,0.015845095
0.0002816,0.7,0.05,0.015845095
0.00028199999999999997,0.4,0.05,0.015845095
0.0002824,0.5,0.05,0.015845095
0.00028280000000000004,0.2,0.05,0.015845095
0.0002832,0.4,0.05,0.015845095
0.0002836,0.1,0.05,0.015845095
0.00028399999999999996,0.3,0.05,0.015845095
0.0002844,0.4,0.05,0.015845095
0.00028480000000000004,0.2,0.05,0.015845095
0.0002852,0.3,0.05,0.015845095
0.000286,0.2,0.05,0.015845095
0.00028639999999999997,0.2,0.05,0.015845095
0.00028680000000000003,0.2,0.05,0.015845095
0.00028839999999999996,0.1,0.05,0.015845095
0.00028879999999999997,0.3,0.05,0.015845095
0.0002912,0.3,0.05,0.015845095
0.00029360000000000003,0.3,0.05,0.015845095
0.000294,0.1,0.05,0.015845095
0.0002944,0.1,0.05,0.015845095
0.0002948,0.1,0.05,0.015845095
0.0002952,0.2,0.05,0.015845095
0.000296,0.2,0.05,0.015845095
0.0002964,0.4,0.05,0.015845095
0.0002968,0.2,0.05,0.015845095
0.0002972,0.2,0.05,0.015845095
0.0002976,0.3,0.05,0.015845095
0.000298,0.2,0.05,0.015845095
0.0002988,0.1,0.05,0.015845095
0.0002992,0.5,0.05,0.015845095
0.0002996,0.3,0.05,0.015845095
0.0003,0.3,0.05,0.015845095
0.00030039999999999993,0.3,0.05,0.015845095
0.0003008,0.3,0.05,0.015845095
0.0003012,0.5,0.05,0.015845095
0.0003016,0.1,0.05,0.015845095
0.000302,0.3,0.05,0.015845095
0.0003024,0.6,0.05,0.015845095
0.0003028,0.4,0.05,0.015845095
0.0003032,0.1,0.05,0.015845095
0.0003036,0.5,0.05,0.015845095
0.000304,0.1,0.05,0.015845095
0.00030439999999999997,0.4,0.05,0.015845095
0.0003048,0.1,0.05,0.015845095
0.0003052,0.2,0.05,0.015845095
0.0003056,0.1,0.05,0.015845095
0.000306,0.3,0.05,0.015845095
0.00030639999999999997,0.1,0.05,0.015845095
0.00030680000000000003,0.1,0.05,0.015845095
0.0003072,0.2,0.05,0.015845095
0.0003076,0.3,0.05,0.015845095
0.000308,0.1,0.05,0.015845095
0.00030839999999999996,0.1,0.05,0.015845095
0.0003088,0.2,0.05,0.015845095
0.00030920000000000003,0.3,0.05,0.015845095
0.0003096,0.1,0.05,0.015845095
0.00031,0.1,0.05,0.015845095
0.00031039999999999996,0.1,0.05,0.015845095
0.0003108,0.1,0.05,0.015845095
0.00031120000000000003,0.5,0.05,0.015845095
0.0003116,0.5,0.05,0.015845095
0.00031239999999999995,0.1,0.05,0.015845095
0.00031319999999999997,0.1,0.05,0.015845095
0.00031360000000000003,0.3,0.05,0.015845095
0.00031439999999999994,0.1,0.05,0.015845095
0.00031519999999999996,0.4,0.05,0.015845095
0.00031560000000000003,0.2,0.05,0.015845095
0.00031600000000000004,0.2,0.05,0.015845095
0.0003168,0.2,0.05,0.015845095
0.0003176,0.1,0.05,0.015845095
0.00031800000000000003,0.3,0.05,0.015845095
0.0003184,0.4,0.05,0.015845095
0.0003188,0.3,0.05,0.015845095
0.00031919999999999995,0.3,0.05,0.015845095
0.0003196,0.4,0.05,0.015845095
0.00032,0.3,0.05,0.015845095
0.0003204,0.4,0.05,0.015845095
0.0003208,0.2,0.05,0.015845095
0.0003212,0.2,0.05,0.015845095
0.0003216,0.3,0.05,0.015845095
0.000322,0.4,0.05,0.015845095
0.0003224,0.2,0.05,0.015845095
0.00032280000000000004,0.3,0.05,0.015845095
0.0003232,0.2,0.05,0.015845095
0.0003236,0.6,0.05,0.015845095
0.000324,0.7,0.05,0.015845095
0.00032439999999999997,0.4,0.05,0.015845095
0.00032480000000000003,0.4,0.05,0.015845095
0.0003252,0.1,0.05,0.015845095
0.0003256,0.3,0.05,0.015845095
0.00032599999999999996,0.2,0.05,0.015845095
0.00032680000000000003,0.4,0.05,0.015845095
0.0003272,0.1,0.05,0.015845095
0.00032760000000000005,0.4,0.05,0.015845095
0.000328,0.3,0.05,0.015845095
0.00032839999999999996,0.3,0.05,0.015845095
0.0003288,0.3,0.05,0.015845095
0.0003292,0.3,0.05,0.015845095
0.00032960000000000004,0.3,0.05,0.015845095
0.00033,0.3,0.05,0.015845095
0.0003304,0.5,0.05,0.015845095
0.0003312,0.3,0.05,0.015845095
