Time,OH_ppm,Relative_Uncertainty,W
4.00E-06,0.1,0.05,1.00E-10
1.04E-05,0.1,0.05,1.00E-10
1.20E-05,0.2,0.05,1.00E-10
1.44E-05,0.2,0.05,1.00E-10
1.64E-05,0.3,0.05,1.00E-10
2.48E-05,0.6,0.05,1.00E-10
2.64E-05,0.4,0.05,1.00E-10
3.36E-05,0.2,0.05,1.00E-10
3.52E-05,0.2,0.05,1.00E-10
4.64E-05,0.1,0.05,1.00E-10
4.84E-05,0.1,0.05,1.00E-10
5.52E-05,0.4,0.05,1.00E-10
5.68E-05,0.3,0.05,1.00E-10
5.88E-05,0.1,0.05,1.00E-10
6.12E-05,0.3,0.05,1.00E-10
6.28E-05,0.3,0.05,1.00E-10
7.24E-05,0.2,0.05,1.00E-10
7.56E-05,0.1,0.05,1.00E-10
8.24E-05,0.1,0.05,1.00E-10
8.60E-05,0.2,0.05,1.00E-10
9.04E-05,0.2,0.05,1.00E-10
9.28E-05,0.2,0.05,1.00E-10
9.56E-05,0.4,0.05,1.00E-10
9.72E-05,0.2,0.05,1.00E-10
0.0001004,0.1,0.05,1.00E-10
0.0001024,0.2,0.05,1.00E-10
0.0001044,0.5,0.05,1.00E-10
0.0001064,0.2,0.05,1.00E-10
0.0001268,0.4,0.05,1.00E-10
0.0001284,0.7,0.05,1.00E-10
0.00013,0.4,0.05,1.00E-10
0.0001316,0.4,0.05,1.00E-10
0.0001332,0.3,0.05,1.00E-10
0.0001348,0.3,0.05,1.00E-10
0.0001364,0.5,0.05,1.00E-10
0.000138,0.5,0.05,1.00E-10
0.0001396,0.5,0.05,1.00E-10
0.0001412,0.4,0.05,1.00E-10
0.0001428,0.4,0.05,1.00E-10
0.0001444,0.4,0.05,1.00E-10
0.000146,0.3,0.05,1.00E-10
0.0001476,0.4,0.05,1.00E-10
0.0001496,0.2,0.05,1.00E-10
0.000152,0.1,0.05,1.00E-10
0.0001536,0.5,0.05,1.00E-10
0.000156,0.1,0.05,1.00E-10
0.0001612,0.1,0.05,1.00E-10
0.0001628,0.3,0.05,1.00E-10
0.0001648,0.7,0.05,1.00E-10
0.0001664,0.6,0.05,1.00E-10
0.000168,1,0.05,1.00E-10
0.0001696,1,0.05,1.00E-10
0.0001712,0.7,0.05,1.00E-10
0.0001728,0.8,0.05,1.00E-10
0.0001744,0.6,0.05,1.00E-10
0.000176,0.6,0.05,1.00E-10
0.0001776,0.5,0.05,1.00E-10
0.0001792,0.5,0.05,1.00E-10
0.0001812,0.6,0.05,1.00E-10
0.0001828,0.8,0.05,1.00E-10
0.0001844,0.6,0.05,1.00E-10
0.000186,0.9,0.05,1.00E-10
