Time,CH3_ppm
3.85365E-06,437.3038146
6.28457E-06,403.0296762
8.72369E-06,378.7555767
1.16523E-05,351.6266652
1.45832E-05,327.3549077
1.89778E-05,288.804406
2.63268E-05,254.5536868
2.92648E-05,238.8533913
3.56348E-05,210.3122963
4.39744E-05,184.637723
5.03527E-05,166.096667
5.67356E-05,153.2699191
6.656E-05,139.0309876
7.54031E-05,127.6445263
8.2279E-05,116.2486973
9.06338E-05,109.1456251
9.85004E-05,106.3259419
0.000103903,97.78024114
0.000112751,92.10808785
0.000121107,86.43359264
0.000137327,75.08226027
0.000148636,72.27897064
0.000164859,63.78479229
0.000178137,62.41944738
0.000192887,58.20397425
0.000206654,53.98381727
0.000220914,51.19457921
0.000234192,49.82923431
0.000251399,42.76831682
0.000265171,44.26246785
0.000275989,42.88541329
0.000288284,42.94396153
0.000297628,41.55988119
