Time,OH_ppm
2.68817E-05,	26.71755725
3.17204E-05,	33.58778626
3.57527E-05,	56.48854962
3.92473E-05,	86.25954198
4.35484E-05,	125.1908397
4.59677E-05,	161.8320611
4.89247E-05,	207.6335878
4.97312E-05,	251.1450382
5.21505E-05,	292.3664122
5.40323E-05,	340.4580153
5.53763E-05,	383.9694656
5.64516E-05,	434.351145
5.94086E-05,	487.0229008
6.02151E-05,	541.9847328
6.23656E-05,	603.8167939
6.50538E-05,	656.4885496
6.63978E-05,	711.4503817
6.80108E-05,	773.2824427
7.12366E-05,	823.6641221
7.33871E-05,	874.0458015
7.60753E-05,	919.8473282
7.90323E-05,	961.0687023
8.30645E-05,	1002.290076
8.70968E-05,	1022.900763
9.24731E-05,	1036.641221
9.78495E-05,	1054.961832
0.000104839,	1059.541985
0.000112634,	1073.282443
0.000119624,	1070.992366
