Time,H2O_ppm,Relative_Uncertainty,W
8.69e-06,3.28e-05,0.05,1e-10
9.66e-06,3.77e-05,0.05,1e-10
1.06e-05,4.270000000000001e-05,0.05,1e-10
1.1599999999999999e-05,4.7799999999999996e-05,0.05,1e-10
1.3300000000000001e-05,5.68e-05,0.05,1e-10
1.49e-05,6.59e-05,0.05,1e-10
1.66e-05,7.52e-05,0.05,1e-10
1.83e-05,8.45e-05,0.05,1e-10
2.09e-05,9.93e-05,0.05,1e-10
2.35e-05,0.000114151,0.05,1e-10
2.61e-05,0.000129166,0.05,1e-10
2.8699999999999996e-05,0.000144301,0.05,1e-10
3.14e-05,0.00015954899999999999,0.05,1e-10
3.54e-05,0.000183435,0.05,1e-10
4.270000000000001e-05,0.000226613,0.05,1e-10
4.77e-05,0.000257224,0.05,1e-10
5.27e-05,0.000288243,0.05,1e-10
5.7799999999999995e-05,0.000319671,0.05,1e-10
6.59e-05,0.00037103699999999995,0.05,1e-10
7.4e-05,0.00042349300000000005,0.05,1e-10
8.209999999999999e-05,0.000477063,0.05,1e-10
9.02e-05,0.00053177,0.05,1e-10
0.000105765,0.000639935,0.05,1e-10
0.00012131,0.000752533,0.05,1e-10
0.000136854,0.000869737,0.05,1e-10
0.000152398,0.000991726,0.05,1e-10
0.00017754200000000002,0.001199661,0.05,1e-10
0.000202685,0.001421446,0.05,1e-10
0.000227829,0.0016579639999999998,0.05,1e-10
0.000252972,0.001910159,0.05,1e-10
0.00027811599999999996,0.002179037,0.05,1e-10
0.000318312,0.002646223,0.05,1e-10
0.000358508,0.003163535,0.05,1e-10
0.000398704,0.0037361940000000004,0.05,1e-10
0.00043889999999999993,0.004369965,0.05,1e-10
0.000479095,0.005071217,0.05,1e-10
0.000519291,0.005846984,0.05,1e-10
0.000559487,0.006705032,0.05,1e-10
0.000599683,0.0076539419999999995,0.05,1e-10
0.000639879,0.008703192,0.05,1e-10
0.000680075,0.009863252,0.05,1e-10
0.0007202710000000001,0.011145695,0.05,1e-10
0.000760467,0.012563307,0.05,1e-10
0.0008006630000000001,0.014130225,0.05,1e-10
0.0008408589999999999,0.015862076,0.05,1e-10
0.0008685419999999999,0.01715965,0.05,1e-10
0.000896225,0.018549749,0.05,1e-10
0.000923909,0.020038964,0.05,1e-10
0.000971866,0.022874457999999997,0.05,1e-10
0.0010036119999999999,0.024946408,0.05,1e-10
0.0010353580000000001,0.027188647000000003,0.05,1e-10
0.001067104,0.02961523,0.05,1e-10
0.001098851,0.032241392,0.05,1e-10
0.001130597,0.03508364,0.05,1e-10
0.001162343,0.038159879,0.05,1e-10
0.001194089,0.041489535,0.05,1e-10
0.001225835,0.045093695,0.05,1e-10
0.001257581,0.048995249000000005,0.05,1e-10
0.001289328,0.053219055999999994,0.05,1e-10
0.001321074,0.057792116,0.05,1e-10
0.00135282,0.062743776,0.05,1e-10
0.001384566,0.06810594,0.05,1e-10
0.001416312,0.073913306,0.05,1e-10
0.001448059,0.08020363400000001,0.05,1e-10
0.001479805,0.08701802800000001,0.05,1e-10
0.001511551,0.094401259,0.05,1e-10
0.0015432970000000001,0.10240211800000001,0.05,1e-10
0.001575043,0.111073804,0.05,1e-10
0.001606789,0.12047436199999999,0.05,1e-10
0.0016385360000000001,0.130667155,0.05,1e-10
0.0016702820000000001,0.141721407,0.05,1e-10
0.001702028,0.153712786,0.05,1e-10
0.001733774,0.166724067,0.05,1e-10
0.00176552,0.180845869,0.05,1e-10
0.0017972670000000002,0.196177467,0.05,1e-10
0.0018290129999999998,0.21282770899999998,0.05,1e-10
0.001860759,0.230916032,0.05,1e-10
0.001892505,0.250573605,0.05,1e-10
0.001924251,0.271944597,0.05,1e-10
0.001955997,0.295187608,0.05,1e-10
0.001987744,0.320477257,0.05,1e-10
0.00201949,0.34800597200000005,0.05,1e-10
0.002051236,0.37798598899999997,0.05,1e-10
0.002082982,0.41065159100000004,0.05,1e-10
0.0021061870000000002,0.436375546,0.05,1e-10
0.002129392,0.463782295,0.05,1e-10
0.002152597,0.492990495,0.05,1e-10
0.002175802,0.524127941,0.05,1e-10
0.0021990070000000002,0.557332328,0.05,1e-10
0.0022222120000000003,0.592752081,0.05,1e-10
0.002245417,0.630547251,0.05,1e-10
0.002268622,0.670890471,0.05,1e-10
0.002291827,0.7139680009999999,0.05,1e-10
0.0023150320000000003,0.75998085,0.05,1e-10
0.002338237,0.8091459959999999,0.05,1e-10
0.002361441,0.861697686,0.05,1e-10
0.0023846460000000002,0.91788885,0.05,1e-10
0.002407851,0.977992601,0.05,1e-10
0.002431056,1.042303858,0.05,1e-10
0.002454261,1.111141068,0.05,1e-10
0.002477466,1.1848480479999999,0.05,1e-10
0.002500671,1.263795945,0.05,1e-10
0.002523876,1.3483853069999998,0.05,1e-10
0.002547081,1.439048281,0.05,1e-10
0.002570286,1.5362509180000001,0.05,1e-10
0.002593491,1.6404955959999998,0.05,1e-10
0.002616696,1.752323553,0.05,1e-10
0.0026399009999999996,1.87231752,0.05,1e-10
0.0026631059999999997,2.001104453,0.05,1e-10
0.002686311,2.139358344,0.05,1e-10
0.002709516,2.2878031080000003,0.05,1e-10
0.00273272,2.447215536,0.05,1e-10
0.002755925,2.61842829,0.05,1e-10
0.00277913,2.802332948,0.05,1e-10
0.002802335,2.999883067,0.05,1e-10
0.00282554,3.212097273,0.05,1e-10
0.002848745,3.440062381,0.05,1e-10
0.00287195,3.6849365310000004,0.05,1e-10
0.002895155,3.947952375,0.05,1e-10
0.00291836,4.230420341,0.05,1e-10
0.002941565,4.533731996,0.05,1e-10
0.00296477,4.859363589,0.05,1e-10
0.002987975,5.208879823,0.05,1e-10
0.00301118,5.5839379639999995,0.05,1e-10
0.003034385,5.986292354,0.05,1e-10
0.0030510909999999997,6.293911811,0.05,1e-10
0.003067798,6.617367463,0.05,1e-10
0.003084505,6.957416707,0.05,1e-10
0.0031012120000000003,7.314848472,0.05,1e-10
0.003117918,7.690484699,0.05,1e-10
0.003134625,8.085181986,0.05,1e-10
0.003151332,8.499833347000001,0.05,1e-10
0.0031680379999999998,8.935370118,0.05,1e-10
0.003184745,9.392764012999999,0.05,1e-10
0.003201452,9.873029333,0.05,1e-10
0.0032181590000000004,10.37722532,0.05,1e-10
0.003234865,10.90645867,0.05,1e-10
0.0032515720000000003,11.4618861,0.05,1e-10
0.0032682790000000002,12.04471713,0.05,1e-10
0.0032849859999999997,12.65621687,0.05,1e-10
0.003301692,13.29770897,0.05,1e-10
0.003318399,13.97057859,0.05,1e-10
0.0033351059999999996,14.67627541,0.05,1e-10
0.003351812,15.41631677,0.05,1e-10
0.0033685190000000004,16.19229074,0.05,1e-10
0.003385226,17.00585928,0.05,1e-10
0.0034019329999999998,17.85876139,0.05,1e-10
0.0034186390000000002,18.75281626,0.05,1e-10
0.0034353459999999997,19.68992652,0.05,1e-10
0.003452053,20.67208148,0.05,1e-10
0.00346876,21.70136035,0.05,1e-10
0.0034854659999999996,22.77993559,0.05,1e-10
0.003502173,23.91007626,0.05,1e-10
0.00351888,25.09415141,0.05,1e-10
0.003535587,26.33463366,0.05,1e-10
0.0035522929999999998,27.63410269,0.05,1e-10
0.0035689999999999997,28.99524892,0.05,1e-10
0.003585707,30.42087722,0.05,1e-10
0.003602413,31.91391067,0.05,1e-10
0.00361912,33.47739443,0.05,1e-10
0.0036358270000000003,35.11449964,0.05,1e-10
0.0036525340000000002,36.82852733,0.05,1e-10
0.00366924,38.62291236,0.05,1e-10
0.003685947,40.5012274,0.05,1e-10
0.003702654,42.46718686,0.05,1e-10
0.0037193609999999996,44.52465079,0.05,1e-10
0.003736067,46.67762869,0.05,1e-10
0.0037527740000000004,48.93028328,0.05,1e-10
0.003769481,51.28693414,0.05,1e-10
0.0037861870000000003,53.75206116,0.05,1e-10
0.0038028940000000002,56.33030789,0.05,1e-10
0.0038196009999999997,59.02648459,0.05,1e-10
0.003836308,61.84557111,0.05,1e-10
0.003853014,64.79271939,0.05,1e-10
0.0038697209999999996,67.87325573,0.05,1e-10
0.003886428,71.09268253,0.05,0.032025631
0.003903135,74.45667974,0.05,0.032025631
0.003919840999999999,77.97110573,0.05,0.032025631
0.003936548,81.64199758,0.05,0.032025631
0.003953255,85.47557081,0.05,0.032025631
0.0039699620000000005,89.47821843,0.05,0.032025631
0.003986668,93.6565092,0.05,0.032025631
0.004003375,98.01718504,0.05,0.032025631
0.004020082,102.5671575,0.05,0.032025631
0.0040367879999999995,107.3135034,0.05,0.032025631
0.004053495,112.2634591,0.05,0.032025631
0.004070202,117.42441409999998,0.05,0.032025631
0.0040869090000000005,122.80390249999999,0.05,0.032025631
0.004103615,128.4095944,0.05,0.032025631
0.004120322,134.2492841,0.05,0.032025631
0.004137029,140.330879,0.05,0.032025631
0.004153736,146.6623845,0.05,0.032025631
0.004170442,153.25188909999997,0.05,0.032025631
0.004187149,160.10754619999997,0.05,0.032025631
0.004203856,167.23755549999998,0.05,0.032025631
0.004220562,174.65014069999998,0.05,0.032025631
0.004237269,182.35352680000003,0.05,0.032025631
0.004253976,190.35591409999998,0.05,0.032025631
0.004270683,198.6654506,0.05,0.032025631
0.004287389,207.2902021,0.05,0.032025631
0.0043040959999999994,216.23812,0.05,0.032025631
0.004320803,225.5170069,0.05,0.032025631
0.004332883,232.4367603,0.05,0.032025631
0.004344963,239.53634879999998,0.05,0.032025631
0.004357043,246.81851150000003,0.05,0.032025631
0.004369123,254.28591,0.05,0.032025631
0.004381203,261.9411199,0.05,0.032025631
0.0043932829999999996,269.78662180000003,0.05,0.032025631
0.004405363,277.824792,0.05,0.032025631
0.004417444,286.0578936,0.05,0.032025631
0.004429524000000001,294.4880664,0.05,0.032025631
0.004441604,303.11731789999993,0.05,0.032025631
0.004453684,311.9475128,0.05,0.032025631
0.0044657640000000005,320.9803629,0.05,0.032025631
0.004477844,330.2174178,0.05,0.032025631
0.004489924,339.660054,0.05,0.032025631
0.004502004,349.3094647,0.05,0.032025631
0.004510504,356.2235461,0.05,0.032025631
0.004519004,363.2407882,0.05,0.032025631
0.004527504,370.36142789999997,0.05,0.032025631
0.004533751,375.6604397,0.05,0.032025631
0.0045399970000000005,381.01544920000003,0.05,0.032025631
0.0045462440000000005,386.4264943,0.05,0.032025631
0.00455249,391.8935956,0.05,0.032025631
0.004558737,397.41675710000004,0.05,0.032025631
0.004564984,402.9959652,0.05,0.032025631
0.0045694509999999995,407.0204925,0.05,0.032025631
0.004573919,411.0736543,0.05,0.032025631
0.004578385999999999,415.1554287,0.05,0.032025631
0.004582854,419.26578880000005,0.05,0.032025631
0.004587321,423.40470300000004,0.05,0.032025631
0.004591789000000001,427.5721347,0.05,0.032025631
0.004596256,431.768042,0.05,0.032025631
0.004600723,435.9923783,0.05,0.032025631
0.004605191,440.24509180000007,0.05,0.032025631
0.004608248,443.17148770000006,0.05,0.032025631
0.004611305,446.11112469999995,0.05,0.032025631
0.004614362,449.06398210000003,0.05,0.032025631
0.004616554,451.1896356000001,0.05,0.032025631
0.004618747,453.3220678,0.05,0.032025631
0.004620939,455.46127010000004,0.05,0.032025631
0.004623131,457.60723310000003,0.05,0.032025631
0.004625323,459.7599476,0.05,0.032025631
0.004627515,461.9194037,0.05,0.032025631
0.004629708,464.0855915,0.05,0.032025631
0.0046318999999999996,466.2585006,0.05,0.032025631
0.004634092,468.4381203,0.05,0.032025631
0.004636284,470.62443949999994,0.05,0.032025631
0.004638477,472.81744689999994,0.05,0.032025631
0.004640669,475.01713099999995,0.05,0.032025631
0.004642861,477.22347970000004,0.05,0.032025631
0.004645053,479.4364808,0.05,0.032025631
0.004647246,481.6561216,0.05,0.032025631
0.004649438,483.88238909999995,0.05,0.032025631
0.00465163,486.11527029999996,0.05,0.032025631
0.004653822,488.35475139999994,0.05,0.032025631
0.004656015,490.60081849999995,0.05,0.032025631
0.004658207,492.8534573,0.05,0.032025631
0.004660399,495.1126533,0.05,0.032025631
0.004662591,497.37839160000004,0.05,0.032025631
0.004664783,499.650657,0.05,0.032025631
0.004666976,501.9294338,0.05,0.032025631
0.004669168,504.21470619999997,0.05,0.032025631
0.00467136,506.5064579,0.05,0.032025631
0.004673552,508.80467239999996,0.05,0.032025631
0.004675745,511.1093327,0.05,0.032025631
0.004677937,513.4204217,0.05,0.032025631
0.004680129,515.7379216,0.05,0.032025631
0.004682321,518.0618147,0.05,0.032025631
0.004684514,520.3920827,0.05,0.032025631
0.004686706,522.7287069,0.05,0.032025631
0.004690255,526.5248031000001,0.05,0.032025631
0.004693804,530.3374255,0.05,0.032025631
0.004697353,534.1664893999999,0.05,0.032025631
0.004700902,538.0119082,0.05,0.032025631
0.004707394,545.0885390999999,0.05,0.032025631
0.004713886,552.2190357000001,0.05,0.032025631
0.004720378,559.4028059999999,0.05,0.032025631
0.00472687,566.6392317000001,0.05,0.032025631
0.004733363,573.9276686000001,0.05,0.032025631
0.004739855,581.2674463999999,0.05,0.032025631
0.004746347,588.6578687000001,0.05,0.032025631
0.004752839,596.0982134,0.05,0.032025631
0.0047593309999999995,603.5877326,0.05,0.032025631
0.004765824,611.1256529,0.05,0.032025631
0.0047723159999999995,618.7111756,0.05,0.032025631
0.004778808,626.3434767000001,0.05,0.032025631
0.0047853,634.0217073,0.05,0.032025631
0.0047917920000000004,641.744994,0.05,0.032025631
0.004798285,649.512439,0.05,0.032025631
0.0048047770000000005,657.3231206,0.05,0.032025631
0.004811269,665.1760932,0.05,0.032025631
0.004817760999999999,673.0703882,0.05,0.032025631
0.004824254,681.0050139,0.05,0.032025631
0.0048307459999999995,688.9789566000001,0.05,0.032025631
0.004837238,696.9911801,0.05,0.032025631
0.00484373,705.0406272999999,0.05,0.032025631
0.004850222,713.1262197000001,0.05,0.032025631
0.004856715,721.2468587000001,0.05,0.032025631
0.0048632070000000005,729.4014257,0.05,0.032025631
0.004869699,737.5887831,0.05,0.032025631
0.004876190999999999,745.8077745,0.05,0.032025631
0.004882683,754.0572255,0.05,0.032025631
0.004889175999999999,762.3359445,0.05,0.032025631
