Time,OH_ppm,Relative_Uncertainty,W
9.00E-06,0.018647709,0.25,1.00E-10
9.48E-06,0.020238667,0.25,1.00E-10
9.95E-06,0.021899139,0.25,1.00E-10
1.04E-05,0.023631675,0.25,1.00E-10
1.09E-05,0.025438926,0.25,1.00E-10
1.14E-05,0.027323647,0.25,1.00E-10
1.19E-05,0.029288698,0.25,1.00E-10
1.23E-05,0.031337054,0.25,1.00E-10
1.31E-05,0.034701075,0.25,1.00E-10
1.38E-05,0.038287047,0.25,1.00E-10
1.45E-05,0.042108009,0.25,1.00E-10
1.53E-05,0.046177798,0.25,1.00E-10
1.60E-05,0.050511103,0.25,1.00E-10
1.68E-05,0.055123519,0.25,1.00E-10
1.75E-05,0.060031597,0.25,1.00E-10
1.83E-05,0.065252903,0.25,1.00E-10
1.90E-05,0.070806078,0.25,1.00E-10
1.97E-05,0.076710905,0.25,1.00E-10
2.05E-05,0.082988376,0.25,1.00E-10
2.12E-05,0.089660764,0.25,1.00E-10
2.20E-05,0.096751705,0.25,1.00E-10
2.27E-05,0.104286273,0.25,1.00E-10
2.34E-05,0.112291071,0.25,1.00E-10
2.42E-05,0.120794325,0.25,1.00E-10
2.49E-05,0.129825975,0.25,1.00E-10
2.57E-05,0.139417785,0.25,1.00E-10
2.64E-05,0.149603448,0.25,1.00E-10
2.71E-05,0.160418705,0.25,1.00E-10
2.79E-05,0.171901466,0.25,1.00E-10
2.86E-05,0.184091941,0.25,1.00E-10
2.94E-05,0.19703278,0.25,1.00E-10
3.01E-05,0.210769213,0.25,1.00E-10
3.08E-05,0.225349215,0.25,1.00E-10
3.16E-05,0.24082366,0.25,1.00E-10
3.23E-05,0.257246502,0.25,1.00E-10
3.31E-05,0.274674954,0.25,1.00E-10
3.38E-05,0.293169687,0.25,1.00E-10
3.45E-05,0.312795034,0.25,1.00E-10
3.53E-05,0.333619208,0.25,1.00E-10
3.60E-05,0.355714536,0.25,1.00E-10
3.68E-05,0.3791577,0.25,1.00E-10
3.75E-05,0.404029999,0.25,1.00E-10
3.82E-05,0.43041762,0.25,1.00E-10
3.90E-05,0.45841193,0.25,1.00E-10
3.97E-05,0.488109783,0.25,1.00E-10
4.05E-05,0.519613842,0.25,1.00E-10
4.12E-05,0.553032921,0.25,1.00E-10
4.19E-05,0.588482352,0.25,1.00E-10
4.27E-05,0.626084362,0.25,1.00E-10
4.34E-05,0.66596848,0.25,1.00E-10
4.42E-05,0.708271965,0.25,1.00E-10
4.49E-05,0.753140255,0.25,1.00E-10
4.56E-05,0.800727445,0.25,1.00E-10
4.64E-05,0.851196789,0.25,1.00E-10
4.71E-05,0.904721231,0.25,1.00E-10
4.79E-05,0.961483961,0.25,1.00E-10
4.86E-05,1.021679012,0.25,1.00E-10
4.93E-05,1.085511873,0.25,1.00E-10
5.01E-05,1.153200152,0.25,1.00E-10
5.08E-05,1.224974261,0.25,1.00E-10
5.16E-05,1.301078142,0.25,1.00E-10
5.23E-05,1.381770036,0.25,1.00E-10
5.30E-05,1.467323282,0.25,1.00E-10
5.38E-05,1.558027163,0.25,1.00E-10
5.45E-05,1.654187798,0.25,1.00E-10
5.53E-05,1.756129066,0.25,1.00E-10
5.60E-05,1.864193593,0.25,1.00E-10
5.68E-05,1.97874377,0.25,1.00E-10
5.75E-05,2.100162834,0.25,1.00E-10
5.82E-05,2.22885599,0.25,1.00E-10
5.90E-05,2.365251589,0.25,1.00E-10
5.97E-05,2.509802359,0.25,1.00E-10
6.05E-05,2.662986693,0.25,1.00E-10
6.12E-05,2.825309987,0.25,1.00E-10
6.19E-05,2.99730604,0.25,1.00E-10
6.27E-05,3.179538507,0.25,1.00E-10
6.34E-05,3.372602416,0.25,1.00E-10
6.42E-05,3.577125733,0.25,1.00E-10
6.49E-05,3.793770998,0.25,1.00E-10
6.56E-05,4.023237001,0.25,1.00E-10
6.64E-05,4.266260533,0.25,1.00E-10
6.71E-05,4.523618172,0.25,1.00E-10
6.79E-05,4.796128135,0.25,1.00E-10
6.86E-05,5.084652173,0.25,1.00E-10
6.93E-05,5.390097508,0.25,1.00E-10
7.01E-05,5.713418811,0.25,1.00E-10
7.08E-05,6.055620216,0.25,1.00E-10
7.16E-05,6.417757354,0.25,1.00E-10
7.23E-05,6.800939402,0.25,1.00E-10
7.30E-05,7.206331148,0.25,1.00E-10
7.38E-05,7.635155031,0.25,1.00E-10
7.45E-05,8.088693169,0.25,1.00E-10
7.53E-05,8.568289342,0.25,1.00E-10
7.60E-05,9.075350917,0.25,1.00E-10
7.67E-05,9.611350682,0.25,1.00E-10
7.75E-05,10.17782857,0.25,1.00E-10
7.82E-05,10.77639327,0.25,1.00E-10
7.90E-05,11.40872358,0.25,1.00E-10
7.97E-05,12.07656964,0.25,1.00E-10
8.04E-05,12.78175389,0.25,1.00E-10
8.12E-05,13.52617165,0.25,0.047781848
8.19E-05,14.31179144,0.25,0.047781848
8.27E-05,15.14065483,0.25,0.047781848
8.34E-05,16.01487586,0.25,0.047781848
8.41E-05,16.93663986,0.25,0.047781848
8.49E-05,17.90820175,0.25,0.047781848
8.56E-05,18.93188359,0.25,0.047781848
8.64E-05,20.0100714,0.25,0.047781848
8.71E-05,21.14521116,0.25,0.047781848
8.77E-05,22.02343796,0.25,0.047781848
8.82E-05,22.93525804,0.25,0.047781848
8.87E-05,23.88171598,0.25,0.047781848
8.93E-05,24.86386788,0.25,0.047781848
8.98E-05,25.88277944,0.25,0.047781848
9.04E-05,26.93952386,0.25,0.047781848
9.09E-05,28.03517942,0.25,0.047781848
9.15E-05,29.17082695,0.25,0.047781848
9.20E-05,30.34754703,0.25,0.047781848
9.26E-05,31.56641693,0.25,0.047781848
9.31E-05,32.82850728,0.25,0.047781848
9.37E-05,34.13487847,0.25,0.047781848
9.42E-05,35.48657685,0.25,0.047781848
9.48E-05,36.88463057,0.25,0.047781848
9.53E-05,38.33004519,0.25,0.047781848
9.59E-05,39.82379899,0.25,0.047781848
9.64E-05,41.36683801,0.25,0.047781848
9.70E-05,42.9600708,0.25,0.047781848
9.75E-05,44.6043629,0.25,0.047781848
9.81E-05,46.30053108,0.25,0.047781848
9.86E-05,48.04933724,0.25,0.047781848
9.92E-05,49.85148217,0.25,0.047781848
9.97E-05,51.70759902,0.25,0.047781848
0.000100254,53.61824657,0.25,0.047781848
0.000100802,55.58390239,0.25,0.047781848
0.00010135,57.60495573,0.25,0.047781848
0.000101898,59.68170044,0.25,0.047781848
0.000102446,61.81432771,0.25,0.047781848
0.000102994,64.00291886,0.25,0.047781848
0.000103542,66.24743814,0.25,0.047781848
0.00010409,68.54772557,0.25,0.047781848
0.000104638,70.90349002,0.25,0.047781848
0.000105186,73.31430245,0.25,0.047781848
0.000105734,75.7795894,0.25,0.047781848
0.000106282,78.2986269,0.25,0.047781848
0.000106829,80.87053481,0.25,0.047781848
0.000107377,83.49427166,0.25,0.047781848
0.000107925,86.16863005,0.25,0.047781848
0.000108473,88.89223283,0.25,0.047781848
0.000109021,91.66352997,0.25,0.047781848
0.000109569,94.48079627,0.25,0.047781848
0.000110117,97.34213006,0.25,0.047781848
0.000110665,100.2454529,0.25,0.047781848
0.000111213,103.1885101,0.25,0.047781848
0.000111761,106.168873,0.25,0.047781848
0.000112309,109.1839417,0.25,0.047781848
0.000112857,112.2309494,0.25,0.047781848
0.000113404,115.3069681,0.25,0.047781848
0.000113952,118.4089155,0.25,0.047781848
0.0001145,121.5335629,0.25,0.047781848
0.000115048,124.677545,0.25,0.047781848
0.000115596,127.8373705,0.25,0.047781848
0.000116144,131.0094341,0.25,0.047781848
0.000116692,134.1900297,0.25,0.047781848
0.00011724,137.3753649,0.25,0.047781848
0.000117788,140.5615758,0.25,0.047781848
0.000118336,143.7447436,0.25,0.047781848
0.000118884,146.9209119,0.25,0.047781848
0.000119432,150.0861038,0.25,0.047781848
0.000119979,153.2363408,0.25,0.047781848
0.000120527,156.3676607,0.25,0.047781848
0.000121075,159.4761371,0.25,0.047781848
0.000121623,162.5578978,0.25,0.047781848
0.000122171,165.6091435,0.25,0.047781848
0.000122719,168.6261663,0.25,0.047781848
0.000123267,171.6053676,0.25,0.047781848
0.000123815,174.5432748,0.25,0.047781848
0.000124363,177.4365581,0.25,0.047781848
0.000124911,180.2820453,0.25,0.047781848
0.000125459,183.0767364,0.25,0.047781848
0.000126006,185.8178161,0.25,0.047781848
0.000126554,188.502665,0.25,0.047781848
0.000127102,191.1288702,0.25,0.047781848
0.00012765,193.6942329,0.25,0.047781848
0.000128198,196.1967755,0.25,0.047781848
0.000128746,198.6347465,0.25,0.047781848
0.000129294,201.0066236,0.25,0.047781848
0.000129842,203.3111158,0.25,0.047781848
0.00013039,205.547163,0.25,0.047781848
0.000130938,207.7139344,0.25,0.047781848
0.000131486,209.8108254,0.25,0.047781848
0.000132034,211.837453,0.25,0.047781848
0.000132581,213.7936494,0.25,0.047781848
0.000133129,215.6794554,0.25,0.047781848
