Time,H_ppm
2.74E-13,0.663999999
2.74E-09,0.66399258
3.01E-08,0.663918395
7.19E-08,0.663805382
1.43E-07,0.663613423
2.65E-07,0.663283756
4.76E-07,0.662712802
8.48E-07,0.661706159
1.58E-06,0.659728681
2.73E-06,0.656632491
3.89E-06,0.653550834
5.04E-06,0.650483643
6.19E-06,0.647430853
7.51E-06,0.643971096
8.82E-06,0.640529847
1.01E-05,0.637107002
1.24E-05,0.63134843
1.46E-05,0.625641943
1.68E-05,0.619987074
1.90E-05,0.614383358
2.25E-05,0.605758224
2.60E-05,0.597254303
2.94E-05,0.588869904
3.64E-05,0.57233377
4.34E-05,0.556262706
5.04E-05,0.540643688
5.74E-05,0.52546408
6.43E-05,0.510711612
7.13E-05,0.496374352
7.83E-05,0.482440687
8.53E-05,0.468899324
9.67E-05,0.447561019
0.000108138,0.427197245
0.000119561,0.407763733
0.000130985,0.389218202
0.000142409,0.371520272
0.000153833,0.354631378
0.000165257,0.338514694
0.000176681,0.323135058
0.000188105,0.308458895
0.000207266,0.285334005
0.000220622,0.270257201
0.000233978,0.255984037
0.000247334,0.242471789
0.00026069,0.229679992
0.000274046,0.217570338
0.000287402,0.206106556
0.000300758,0.195254287
0.000323112,0.178370499
0.000345466,0.162967375
0.00036782,0.148915291
