Temp,k_original,,Temp_optimized,k_optimized,,Michael_high_temp_T,Michael_k,,Baldwin_and_Walker_T,Baldwin_and_Walker_k,,,Temp_Kyser,k_Kyser,,Temp_Srindharan,k_Sridharan,,Baldwin_and_Walker_T_reinturp,Baldwin_and_Walker_k_reinturp,,,Balch_T,Balch_k,,,,Temp_B,k_B,,,Temp_B_low,k_B_low
250,1.84476E+12,,250,3.72498E+12,,2097,3.3976E+13,,773,2.7585E+13,,,300,1.09619E+12,,298,5.79413E+12,,773,9.26119E+12,,,784.4842773,2.82171E+13,1.42109E+13,,1.034918469,966.2596912,7.10395E+13,,1.032584157,968.4440662,1.79439E+13
251,1.84954E+12,,251,3.72779E+12,,1927,3.3595E+13,,,,,,300,9.31758E+12,,298,4.45702E+12,,,,,,788.5140492,1.40062E+13,1.42109E+13,,1.069807809,934.7473365,6.92241E+13,,1.067473497,936.7914073,1.74853E+13
252,1.85436E+12,,252,3.7307E+12,,1897,4.2383E+13,,,,,,300,2.74047E+12,,298,4.01132E+12,,,,,,780.3444024,5.44119E+13,-2.61948E+13,,1.118952563,893.6929346,6.60597E+13,,1.116615314,895.5635724,1.66572E+13
253,1.8592E+12,,253,3.7337E+12,,1907,8.7095E+13,,,,,,300,1.09619E+12,,298,3.11991E+12,,,,,,,,,,1.168092842,856.0963344,6.28738E+13,,1.16575853,857.8105792,1.58813E+13
254,1.86408E+12,,254,3.7368E+12,,1848,6.9946E+13,,,,,,300,4.38474E+12,,298,3.56562E+12,,,,,,,,,,1.202981063,831.2682809,6.12268E+13,,1.200643394,832.8867712,1.54347E+13
255,1.86898E+12,,255,3.73998E+12,,2063,3.5387E+13,,,,,,300,2.19237E+12,,298,4.01132E+12,,,,,,,,,,1.252124978,798.6423221,5.8399E+13,,1.249787729,800.1358765,1.47255E+13
256,1.87392E+12,,256,3.74325E+12,,1981,4.0004E+13,,,,,,260,2.51159E+12,,298,4.90272E+12,,,,,,,,,,1.3012605,768.4856335,5.5427E+13,,1.298922832,769.8686755,1.39726E+13
257,1.87888E+12,,257,3.74661E+12,,1826,8.4113E+13,,,,,,260,5.02318E+11,,298,6.23983E+12,,,,,,,,,,1.336145364,748.4215615,5.38683E+13,,1.333809934,749.732008,1.35976E+13
258,1.88388E+12,,258,3.75006E+12,,1960,2.9143E+13,,,,,,245,2.55676E+12,,298,3.11991E+12,,,,,,,,,,1.385288161,721.8714694,5.13465E+13,,1.38295245,723.09066,1.29589E+13
259,1.8889E+12,,259,3.75359E+12,,1819,2.857E+13,,,,,,,,,298,3.11991E+12,,,,,,,,,,1.434421445,697.1451826,4.86692E+13,,1.428907949,699.8351439,1.22685E+13
260,1.89395E+12,,260,3.75721E+12,,1851,2.0469E+13,,,,,,,,,298,2.67421E+12,,,,,,,,,,1.469306309,680.59328,4.73005E+13,,1.463795051,683.155746,1.19392E+13
261,1.89904E+12,,261,3.76091E+12,,1891,5.4314E+13,,,,,,,,,298,4.45702E+11,,,,,,,,,,1.515261668,659.9520211,4.47767E+13,,1.512925957,660.9708791,1.13008E+13
262,1.90415E+12,,262,3.76469E+12,,1810,7.7165E+13,,,,,,,,,298,1.33711E+12,,,,,,,,,,1.564403205,639.2213957,4.26488E+13,,1.562068893,640.1766301,1.07727E+13
263,1.90928E+12,,263,3.76855E+12,,1679,1.6305E+14,,,,,,,,,298,2.22851E+12,,,,,,,,,,1.599288069,625.2782219,4.14495E+13,,1.596952638,626.1926472,1.04628E+13
264,1.91445E+12,,264,3.77249E+12,,1948,4.7786E+13,,,,,,,,,298,1.78281E+12,,,,,,,,,,1.648421773,606.6408589,3.92979E+13,,1.646086062,607.5016506,9.91808E+12
265,1.91965E+12,,265,3.77652E+12,,1974,2.8934E+13,,,,,,,,,298,2.67421E+12,,,,,,,,,,1.697560792,589.0805235,3.73749E+13,,1.687498486,592.5931243,9.85547E+12
266,1.92487E+12,,266,3.78062E+12,,1963,3.7059E+13,,,,,,,,,298,1.78281E+12,,,,,,,,,,1.732445656,577.218683,3.63239E+13,,1.726501369,579.2060279,9.51514E+12
267,1.93012E+12,,267,3.78479E+12,,2002,3.0125E+13,,,,,,,,,298,5.79413E+12,,,,,,,,,,1.781581878,561.298929,3.44895E+13,,1.790291004,558.5684102,8.35124E+12
268,1.9354E+12,,268,3.78905E+12,,1881,4.2773E+13,,,,,,,,,298,5.79413E+12,,,,,,,,,,1.830716141,546.2343273,3.271E+13,,1.825188098,547.8887361,8.17511E+12
269,1.94071E+12,,269,3.79337E+12,,1844,6.5077E+13,,,,,,,,,298,6.23983E+12,,,,,,,,,,1.865598767,536.0209374,3.17482E+13,,1.860083033,537.6104089,7.99252E+12
270,1.94604E+12,,270,3.79778E+12,,1698,4.0523E+13,,,,,,,,,298,5.79413E+12,,,,,,,,,,1.914738906,522.2644179,3.02146E+13,,1.894941376,527.7208111,7.64726E+12
271,1.9514E+12,,271,3.80225E+12,,1838,3.1929E+13,,,,,,,,,298,6.68553E+12,,,,,,,,,,1.963870372,509.1985777,2.86084E+13,,1.929856491,518.1732447,7.56592E+12
272,1.95678E+12,,272,3.8068E+12,,1819,2.3213E+13,,,,,,,,,298,6.68553E+12,,,,,,,,,,1.998752998,500.3119451,2.77673E+13,,1.964714126,508.9799004,7.23607E+12
273,1.9622E+12,,273,3.81142E+12,,1785,2.401E+13,,,,,,,,,298,5.79413E+12,,,,,,,,,,2.044704719,489.0681723,2.62294E+13,,1.998034315,500.4919048,7.12942E+12
274,1.96763E+12,,274,3.81611E+12,,1662,6.1968E+13,,,,,,,,,298,5.34842E+12,,,,,,,,,,2.093844298,477.5904306,2.49541E+13,,2.042759236,489.533951,6.76724E+12
275,1.9731E+12,,275,3.82087E+12,,1704,3.8218E+13,,,,,,,,,298,6.23983E+12,,,,,,,,,,2.128728043,469.7640937,2.42364E+13,,2.097598615,476.7356314,6.30975E+12
276,1.97859E+12,,276,3.8257E+12,,1950,2.8247E+13,,,,,,,,,298,4.90272E+12,,,,,,,,,,2.177861747,459.1659692,2.29783E+13,,2.13588023,468.1910465,6.01733E+12
277,1.98411E+12,,277,3.83059E+12,,1822,3.4809E+13,,,,,,,,,298,3.56562E+12,,,,,,,,,,2.22699629,449.0353236,2.17963E+13,,2.175519882,459.6602441,5.7783E+12
278,1.98965E+12,,278,3.83556E+12,,,,,,,,,,,,,,,,,,,,,,,2.261876678,442.1107524,2.11275E+13,,2.224656384,449.5076216,5.4874E+12
279,1.99522E+12,,279,3.84059E+12,,,,,,,,,,,,,,,,,,,,,,,2.311014159,432.7104601,2.00755E+13,,2.259537891,442.5683695,5.32254E+12
280,2.00081E+12,,280,3.84569E+12,,,,,,,,,,,,,,,,,,,,,,,2.360146045,423.7025935,1.9013E+13,,2.30867691,433.1485257,5.06209E+12
281,2.00643E+12,,281,3.85085E+12,,,,,,,,,,,,,,,,,,,,,,,2.39502867,417.5315362,1.8454E+13,,2.357808376,424.1226769,4.793E+12
282,2.01207E+12,,282,3.85608E+12,,,,,,,,,,,,,,,,,,,,,,,2.44098305,409.6710135,1.74592E+13,,2.392694359,417.9388798,4.66129E+12
283,2.01774E+12,,283,3.86137E+12,,,,,,,,,,,,,,,,,,,,,,,2.49012109,401.5868963,1.65953E+13,,2.438645801,410.0636507,4.4024E+12
284,2.02343E+12,,284,3.86673E+12,,,,,,,,,,,,,,,,,,,,,,,2.525002597,396.0391966,1.60967E+13,,2.487786779,401.9637087,4.19181E+12
285,2.02915E+12,,285,3.87214E+12,,,,,,,,,,,,,,,,,,,,,,,2.574133923,388.4801762,1.52398E+13,,2.522667167,396.4058411,4.06319E+12
286,2.03489E+12,,286,3.87762E+12,,,,,,,,,,,,,,,,,,,,,,,2.623273082,381.2031644,1.44953E+13,,2.571799752,388.8327617,3.84974E+12
287,2.04066E+12,,287,3.88316E+12,,,,,,,,,,,,,,,,,,,,,,,2.658156827,376.2005273,1.40783E+13,,2.620933176,381.5434935,3.6493E+12
288,2.04645E+12,,288,3.88876E+12,,,,,,,,,,,,,,,,,,,,,,,2.70729249,369.3727234,1.3363E+13,,2.655814683,376.5322959,3.53966E+12
289,2.05226E+12,,289,3.89443E+12,,,,,,,,,,,,,,,,,,,,,,,2.756425075,362.7887474,1.2661E+13,,2.704958318,369.6914638,3.37563E+12
290,2.0581E+12,,290,3.90015E+12,,,,,,,,,,,,,,,,,,,,,,,2.791307701,358.2550214,1.22887E+13,,2.754089644,363.0963873,3.19592E+12
291,2.06396E+12,,291,3.90592E+12,,,,,,,,,,,,,,,,,,,,,,,2.84044644,352.0573336,1.16854E+13,,2.78897227,358.5550171,3.10195E+12
292,2.06984E+12,,292,3.91176E+12,,,,,,,,,,,,,,,,,,,,,,,2.886399001,346.452448,1.10437E+13,,2.838112268,352.346879,2.95187E+12
293,2.07575E+12,,293,3.91766E+12,,,,,,,,,,,,,,,,,,,,,,,2.921283865,342.3152443,1.07331E+13,,2.884063571,346.7329951,2.78769E+12
294,2.08169E+12,,294,3.92361E+12,,,,,,,,,,,,,,,,,,,,,,,2.97041687,336.653084,1.01718E+13,,2.918947316,342.5892597,2.70751E+12
