Time,O_ppm
4.87E-14,1.010003035
4.87E-10,1.010002318
5.36E-09,1.009995149
2.41E-08,1.009967548
6.68E-08,1.009904678
1.48E-07,1.009784451
2.95E-07,1.009568363
5.54E-07,1.009187279
1.02E-06,1.008506081
1.99E-06,1.00707695
2.96E-06,1.005649843
3.93E-06,1.004224759
4.91E-06,1.002801695
6.87E-06,0.999932575
8.84E-06,0.997071666
1.08E-05,0.994218945
1.28E-05,0.991374388
1.47E-05,0.988537972
1.87E-05,0.982862789
2.64E-05,0.971822763
3.11E-05,0.96522206
3.58E-05,0.958666195
4.04E-05,0.952154866
4.51E-05,0.945687771
5.38E-05,0.933864769
6.78E-05,0.91497995
8.18E-05,0.896477103
9.58E-05,0.878348497
0.000109795,0.860586563
0.000123806,0.843183884
0.000145142,0.817355719
0.000166479,0.792318888
0.000187816,0.768049149
0.000209152,0.744522999
0.000230489,0.721717658
0.000251825,0.69961104
0.000273162,0.678181737
0.000301738,0.650506447
0.000330314,0.623960848
0.00035889,0.59849883
0.000387466,0.574076165
0.000416043,0.550650422
0.000444619,0.528180908
0.000473195,0.506628588
0.000523827,0.470578866
0.000582114,0.432244781
0.000620339,0.408818028
0.000658563,0.386661515
0.000696787,0.365706373
0.000735012,0.345887465
0.000773236,0.327143181
0.00081146,0.309415251
0.000849685,0.292648567
0.000887909,0.276791008
0.000926133,0.261793281
0.000964358,0.247608764
0.001002582,0.234193363
0.001040806,0.221505374
