Time,OH_ppm
3.41557E-05,394.1951206
4.41157E-05,386.895211
5.13157E-05,368.7522247
5.71664E-05,354.2372881
6.48079E-05,332.4717286
7.29033E-05,310.7034309
8.32401E-05,280.7768133
9.04339E-05,260.8239095
9.89831E-05,239.0528737
0.000110222,207.3108622
0.000123288,179.1777334
0.000134106,157.3930068
0.000147172,129.2598779
0.000159346,105.6570192
0.000170618,83.8695545
0.000185988,65.67728156
0.000197744,52.93666658
0.000212231,41.98954026
0.000228986,31.0287232
0.000243034,24.60912899
0.000257992,19.08901728
0.000272503,15.38156129
0.000284748,12.59275485
