Time,OH_ppm
3.52118E-06,1.067309348
6.57835E-06,8.128452714
9.87183E-06,17.19432229
1.2695E-05,25.2507864
1.52952E-05,48.30279034
1.67147E-05,62.33117889
1.90848E-05,91.37858182
2.05113E-05,114.4071112
2.21795E-05,146.4404764
2.38447E-05,174.4737789
2.43478E-05,217.4838417
2.60231E-05,258.5173477
2.67579E-05,297.5320428
2.86585E-05,326.5700559
3.05646E-05,362.6081785
3.05928E-05,398.6087419
3.32173E-05,452.661231
3.3952E-05,491.6759261
3.75006E-05,526.7468974
4.15241E-05,568.8273682
4.31822E-05,587.8605299
4.55383E-05,598.9076511
4.74201E-05,603.9452887
5.02418E-05,610.0017215
5.16526E-05,613.0299379
5.30619E-05,614.058123
5.47074E-05,617.0910343
5.70557E-05,618.137999
6.01097E-05,621.1990798
6.31622E-05,622.2601293
6.59807E-05,624.3164995
6.76239E-05,624.3493638
7.04409E-05,624.4057027
7.20841E-05,624.4385671
